NM_PARR,ID_PARR,number,rc_usd,night,fatalities,collapsed,losses,col_dry,col_wet,loss_dry,loss_wet,str_lr,col_lr,occ_lr,dryl_total,str_lr_dry,dryc_total,col_lr_dry,wetl_total,str_lr_wet,wetc_total,col_lr_wet
CHIMBACALLE,1.0,4300.0,780826265,41019.7,0.0,0.0,0,0.031320783,21.0,551.2055977,371075.0,0.0,0.0,0.0,551.0,7.0592604556e-05,0.031320783,0.000728390302326,371075.0,0.047523363294108,21.0,0.490332277790698
LA LIBERTAD,2.0,2825.0,385733696,27497.7,0.0,0.0,0,0.028773027,19.0,325.7561873,219297.0,0.0,0.0,0.0,326.0,8.4451057959e-05,0.028773027,0.001018514230088,219297.0,0.056851999644237,19.0,0.685621914265487
COTOCOLLAO,3.0,3838.0,715905633,30843.4,0.0,0.0,0,0.029105343,20.0,418.0921112,281577.0,0.0,0.0,0.0,418.0,5.8400450034e-05,0.029105343,0.000758346612819,281577.0,0.039331608848496,20.0,0.510605152371027
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,0.0,0.0,0,0.01966203,13.0,690.0860512,466146.0,0.0,0.0,0.0,690.0,4.7664572697e-05,0.01966203,0.000743928490352,466146.0,0.032196940179453,13.0,0.501081369882709
LA MAGDALENA,5.0,3647.0,781109400,28352.0,0.0,0.0,0,0.947351288,17.0,10967.8528843,337452.0,0.0,0.0,0.0,10968.0,0.00140413786821,0.947351288,0.025976180093227,337452.0,0.043201645847727,17.0,0.468067464418152
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,0.0,0.0,0,0.036443988,25.0,950.0847224,639641.0,0.0,0.0,0.0,950.0,8.6316850463e-05,0.036443988,0.000963107505285,639641.0,0.05811252885019,25.0,0.648346097040169
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,0.0,0.0,0,2137.628840584,2507.0,18081574.5701678,27004599.0,0.0,0.0,0.0,18081575.0,1.323217346691719,2137.628840584,25.405619688424057,27004599.0,1.976208114357234,2507.0,29.791904532458872
SOLANDA,8.0,9002.0,1277371113,78250.0,0.0,0.0,0,1444.7827668,1765.0,21111260.6972,36768749.0,0.0,0.0,0.0,21111261.0,1.652711610482084,1444.7827668,16.049575281048657,36768749.0,2.878470380558827,1765.0,19.604504593320595
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,0.0,0.0,0,0.02907765,20.0,518.3539005,349226.0,0.0,0.0,0.0,518.0,5.1206237877e-05,0.02907765,0.000639350263852,349226.0,0.034498742362154,20.0,0.430562690941073
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN ISIDRO,11.0,4473.0,980491758,41692.8,0.0,0.0,0,0.009831015,7.0,228.4354408,154700.0,0.0,0.0,0.0,228.0,2.329804803e-05,0.009831015,0.000219785714286,154700.0,0.015777825247835,7.0,0.148207126156942
JIPI JAPA,12.0,3757.0,1218171533,32794.0,0.0,0.0,0,0.025505253,17.0,584.7001078,395518.0,0.0,0.0,0.0,585.0,4.7998175285e-05,0.025505253,0.000678872850679,395518.0,0.032468171955096,17.0,0.457318226670216
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,0.0,0.0,0,304.159008051,396.0,4148871.220099,6666558.0,0.0,0.0,0.0,4148871.0,0.385187396617058,304.159008051,4.580018190799579,6666558.0,0.618933207537113,396.0,5.963600262883602
