NM_BARR,ID_BARR,number,rc_usd,night,fatalities,collapsed,losses,col_dry,col_wet,loss_dry,loss_wet,str_lr,col_lr,occ_lr,dryl_total,str_lr_dry,dryc_total,col_lr_dry,wetl_total,str_lr_wet,wetc_total,col_lr_wet
SANTA MARTHA,1.0,4.0,295889,13.999999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAYÓN CENTRO,2.0,977.0,139613033,6167.3,0.0,0.0,0,0.004486266,3.0,39.6269963,26722.0,0.0,0.0,0.0,40.0,2.8383450603e-05,0.004486266,0.000459187922211,26722.0,0.019140191647616,3.0,0.309209316581372
ORGANIZACIÓN ARA,3.0,38.0,1867125,56.7,0.0,0.0,0,25.2922808,29.0,114495.152,133441.0,0.0,0.0,0.0,114495.0,6.132162436688835,25.2922808,66.55863368421052,133441.0,7.146867342663459,29.0,75.9226256848421
SANTA ANA,4.0,59.0,8841705,324.7,0.0,0.0,0,0.00027693,0.0,0.9222486,621.0,0.0,0.0,0.0,1.0,1.0430664898e-05,0.00027693,0.000469372881356,621.0,0.007025413292439,0.0,0.316212354237288
NINALLACTA,5.0,59.0,53653784,2483.7,0.0,0.0,0,18.0833992,21.0,157930.71600000001,782155.0,0.0,0.0,0.0,157931.0,0.294351496527348,18.0833992,30.649829152542367,782155.0,1.457780847491109,21.0,36.069759188271185
ALLPALLACTA,6.0,193.0,23893549,1794.0,0.0,0.0,0,18.5361308,22.0,159512.639,249262.0,0.0,0.0,0.0,159513.0,0.667597098562549,18.5361308,9.604212849740932,249262.0,1.043219871183167,22.0,11.315369380880828
LA CRISTALINA,7.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO DE HUARCAY,8.0,199.0,17497074,1208.4,0.0,0.0,0,60.5343254,70.0,399823.93,498470.0,0.0,0.0,0.0,399824.0,2.285090286837868,60.5343254,30.419258994974875,498470.0,2.848876519583464,70.0,34.95277548933669
LA VICTORIA,9.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NÉSTOR ROMERO DÍAZ,10.0,335.0,39553813,2106.0,24.0,3.0,323183,46.2389526,59.0,328280.618,697431.0,0.817071165550533,0.895522388059702,1139.6011396011397,651463.0,1.647030641045236,49.2389526,14.69819480597015,1020614.0,2.580318298969179,62.0,18.546867479985075
LA INDEPENDENCIA,11.0,228.0,16218429,1104.0,0.0,0.0,0,21.7935408,29.0,102139.353,238895.0,0.0,0.0,0.0,102139.0,0.629773424466856,21.7935408,9.558570526315789,238895.0,1.472984968655937,29.0,12.779823792
UNIÓN Y PROGRESO,12.0,208.0,26567631,1325.0,0.0,0.0,0,14.4733952,17.0,96518.886,196836.0,0.0,0.0,0.0,96519.0,0.363295037555676,14.4733952,6.958363076923077,196836.0,0.740888086276877,17.0,8.308849680610578
MARTHA BUCARAM DE ROLDÓS,13.0,678.0,73630344,4120.0,408.0,75.0,6854299,57.1691022,75.0,414129.6613,924218.0,9.309068832619518,11.061946902654867,9902.912621359224,7268429.0,9.871513117249265,132.1691022,19.493967876106193,7778517.0,10.564281787540393,150.0,22.12201731675664
LAS ORQUIDEAS,14.0,461.0,56544529,3009.0,149.0,20.0,2787186,40.9018314,56.0,337754.995,828175.0,4.929188678339561,4.338394793926247,4951.811232967763,3124941.0,5.52651436767059,60.9018314,13.210809414316701,3615361.0,6.393830443467756,76.0,16.51495386370933
LA DELICIA,15.0,602.0,70271109,3814.0,31.0,4.0,697519,60.712347799999996,76.0,304954.266,697422.0,0.992611347835346,0.664451827242525,812.7949659150498,1002473.0,1.426579547988171,64.7123478,10.749559435215946,1394941.0,1.98508452391236,80.0,13.357895286609637
LA MERCED,16.0,445.0,44440790,2543.0,777.0,150.0,14139312,53.4367078,66.0,309799.2823,570920.0,31.816067743791006,33.70786516853933,30554.46323240267,14449111.0,32.51317344612964,203.4367078,45.71611411235955,14710232.0,33.10074402113528,216.0,48.60069594181348
FLORIDA,17.0,478.0,56938305,3070.0,4.0,1.0,69262,32.2880096,45.0,173802.904,629257.0,0.121644295330745,0.209205020920502,130.29315960912052,243065.0,0.426892060829343,33.2880096,6.964018744769874,698520.0,1.226800843635544,46.0,9.643074132355649
SAN JUAN DE CHILLO,18.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPEJO,19.0,105.0,13057137,804.1,206.0,26.0,3387565,19.2242704,28.0,192242.0469,488890.0,25.944162045930025,24.761904761904763,25618.70414127596,3579807.0,27.416475967958874,45.2242704,43.070733714285716,3876455.0,29.68839813527438,54.0,51.28870186860952
ZONA DE PROTECCIÓN LA ECUATORIANA,20.0,3.0,238275,10.5,0.0,0.0,0,0.0222528,1.0,917.349,35338.0,0.0,0.0,0.0,917.0,0.384995811143642,0.0222528,0.74176,35338.0,14.830777649662538,1.0,28.573999001
RUMIHUCO,21.0,87.0,12385730,652.0,43.0,5.0,777058,17.2476566,23.0,176608.2286,359134.0,6.273815239892357,5.747126436781609,6595.092024539877,953666.0,7.699716113779825,22.2476566,25.572019080459768,1136192.0,9.1733965486405,28.0,32.01505084111494
LA CONCEPCIÓN,22.0,36.0,4577629,186.2,0.0,0.0,0,0.000304623,0.0,2.6872379,1818.0,0.0,0.0,0.0,3.0,5.8703701527e-05,0.000304623,0.000846175,1818.0,0.03971739935959,0.0,0.570436327777778
CHINCHILOMA,23.0,4.0,666341,30.1,0.0,0.0,0,8.3079e-05,0.0,1.4290334,962.0,0.0,0.0,0.0,1.0,0.000214459776818,8.3079e-05,0.002076975,962.0,0.14436375886166,0.0,1.3981125
PATICHUBAMBA,24.0,40.0,1267054,52.5,0.0,0.0,0,0.000498474,0.0,1.4381697,968.0,0.0,0.0,0.0,1.0,0.000113505029605,0.000498474,0.001246185,968.0,0.07640581332258,0.0,0.8388675
SAN ANDRÉS,25.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO,26.0,101.0,26082218,957.8,0.0,0.0,0,0.000886176,1.0,8.172119499999999,5536.0,0.0,0.0,0.0,8.0,3.1332148986e-05,0.000886176,0.000877401980198,5536.0,0.021227048305884,1.0,0.590919384158416
SAN JUANITO,27.0,8.0,2985062,123.9,0.0,0.0,0,5.5386e-05,0.0,3.955808,2663.0,0.0,0.0,0.0,4.0,0.000132520127228,5.5386e-05,0.000692325,2663.0,0.089205918444516,0.0,0.4660375
COMUNA RUMILOMA,28.0,6.0,837178,756.0,0.0,0.0,0,5.5386e-05,0.0,0.793763,534.0,0.0,0.0,0.0,1.0,9.4814097237e-05,5.5386e-05,0.0009231,534.0,0.063824042251456,0.0,0.621383333333333
SAN CARLOS,29.0,518.0,153608974,4317.1,0.0,0.0,0,0.002270826,2.0,36.2816994,24648.0,0.0,0.0,0.0,36.0,2.3619518163e-05,0.002270826,0.000438383397683,24648.0,0.016046101236833,2.0,0.296083557142857
JACARANDA,30.0,639.0,164505922,2401.9,0.0,0.0,0,0.000609246,0.0,10.9653387,8032.0,0.0,0.0,0.0,11.0,6.665619416e-06,0.000609246,9.5343661972e-05,8032.0,0.00488220543419,0.0,0.066273665258216
COMUNA SAN JUAN BAUTISTA DE ANGAMARCA,31.0,2.0,67499,2.8,0.0,0.0,0,2.7693e-05,0.0,0.0699725,47.0,0.0,0.0,0.0,0.0,0.000103663807631,2.7693e-05,0.00138465,47.0,0.069781309329187,0.0,0.932075
BARRIO CENTRAL,32.0,360.0,50256435,3024.0,0.0,0.0,0,0.002409291,2.0,26.7414408,18046.0,0.0,0.0,0.0,27.0,5.3209983843e-05,0.002409291,0.0006692475,18046.0,0.035908067090157,2.0,0.4506281575
SANTA  ANA,33.0,104.0,6337676,262.5,0.0,0.0,0,0.000996948,1.0,2.7183499,1835.0,0.0,0.0,0.0,3.0,4.2891902014e-05,0.000996948,0.000958603846154,1835.0,0.02894880566541,1.0,0.645427200961538
ANGAMARCA,34.0,82.0,10763752,420.0,0.0,0.0,0,0.000720018,0.0,6.5369967,4459.0,0.0,0.0,0.0,7.0,6.0731582996e-05,0.000720018,0.000878070731707,4459.0,0.041430278034827,0.0,0.592171626829268
CERRO NEGRO,35.0,3.0,421579,16.799999999999997,0.0,0.0,0,5.5386e-05,0.0,1.018971,686.0,0.0,0.0,0.0,1.0,0.000241703596303,5.5386e-05,0.0018462,686.0,0.162702697894521,0.0,1.242766666666667
LA PRAGA,36.0,22.0,31407027,121.0,0.0,0.0,0,0.000221544,0.0,17.980338,12117.0,0.0,0.0,0.0,18.0,5.7249411826e-05,0.000221544,0.001007018181818,12117.0,0.038579247550522,0.0,0.679238990909091
SAN JUAN LOMA,37.0,51.0,8889411,585.0,0.0,0.0,0,0.000193851,0.0,3.686758999999999,2482.0,0.0,0.0,0.0,4.0,4.1473603814e-05,0.000193851,0.0003801,2482.0,0.027917942673627,0.0,0.255863725490196
CURIQUINGUE,38.0,54.0,5594256,216.1,0.0,0.0,0,0.000581553,0.0,4.9941406,3362.0,0.0,0.0,0.0,5.0,8.9272648461e-05,0.000581553,0.00107695,3362.0,0.060093861058331,0.0,0.724947222222222
LA PRIMAVERA,39.0,937.0,225189221,4111.7,0.0,0.0,0,0.001689273,1.0,20.847341,14924.0,0.0,0.0,0.0,21.0,9.257699337e-06,0.001689273,0.000180285272145,14924.0,0.006627137137204,1.0,0.123427831483458
ACOSTA SOBERÓN,40.0,268.0,47146671,1304.7,0.0,0.0,0,26.1311678,61.0,622600.919,3242998.0,0.0,0.0,0.0,622601.0,1.320561779537283,26.1311678,9.750435746268657,3242998.0,6.878530582867523,61.0,22.8253182034403
SANTO DOMINGO,41.0,72.0,4447708,191.79999999999998,0.0,0.0,0,0.00083079,1.0,5.4380236,3661.0,0.0,0.0,0.0,5.0,0.000122265738339,0.00083079,0.001153875,3661.0,0.08230313485452,1.0,0.776729166666667
LA GRANJA,42.0,130.0,47247040,967.0,0.0,0.0,0,29.8230476,51.0,757212.677,2489607.0,0.0,0.0,0.0,757213.0,1.602666896786073,29.8230476,22.940805846153843,2489607.0,5.269339435406203,51.0,39.568335562899996
LA MOYA,43.0,293.0,80760475,1455.2,0.0,0.0,0,71.3734062,116.0,2531581.0186,7601583.0,0.0,0.0,0.0,2531581.0,3.134678205597935,71.3734062,24.3595243003413,7601583.0,9.412503700531834,116.0,39.479681151614336
INGA,44.0,10.0,5172673,91.0,0.0,0.0,0,0.000138465,0.0,10.236019,6890.0,0.0,0.0,0.0,10.0,0.000197886443315,0.000138465,0.00138465,6890.0,0.133207100988338,0.0,0.932075
COMUNA LA TOGLLA,45.0,6.0,880306,35.7,0.0,0.0,0,8.3079e-05,0.0,1.133803,763.0,0.0,0.0,0.0,1.0,0.000128796528333,8.3079e-05,0.00138465,763.0,0.086699327447165,0.0,0.932075
LA MANDARINA,46.0,170.0,85187467,1330.1,0.0,0.0,0,0.000581553,0.0,36.008372099999995,24449.0,0.0,0.0,0.0,36.0,4.2269565309e-05,0.000581553,0.00034209,24449.0,0.028700163113152,0.0,0.231338216470588
SANTA  ROSA,47.0,61.0,16939876,331.09999999999997,0.0,0.0,0,0.00055386,0.0,25.615435899999998,17270.0,0.0,0.0,0.0,26.0,0.000151213829365,0.00055386,0.000907967213115,17270.0,0.101947860012937,0.0,0.611689472131148
ONTANEDA BAJA,48.0,208.0,57018340,990.4,0.0,0.0,0,44.1683102,98.0,1267258.2713,6785281.0,0.0,0.0,0.0,1267258.0,2.222545020081649,44.1683102,21.23476451923077,6785281.0,11.900173292925102,98.0,46.901360717168274
SOLIDARIDAD,49.0,646.0,73684470,3864.0,0.0,0.0,0,21.8491728,31.0,139427.77,446101.0,0.0,0.0,0.0,139428.0,0.189222735551708,21.8491728,3.382224891640867,446101.0,0.605420865502431,31.0,4.842392704047987
ROJAS,50.0,201.0,44323061,979.1,0.0,0.0,0,0.001246185,1.0,14.9360623,10077.0,0.0,0.0,0.0,15.0,3.3698174004e-05,0.001246185,0.000619992537313,10077.0,0.022735739654468,1.0,0.417720868159204
SAN PEDRO DE EL VALLE,51.0,263.0,48228002,1768.6,0.0,0.0,0,0.001080027,1.0,5.2102011,3559.0,0.0,0.0,0.0,5.0,1.0803269684e-05,0.001080027,0.000410656653992,3559.0,0.007379882486766,1.0,0.277004330798479
SAN ANDRÉS DE CONOCOTO,52.0,19.0,1416425,60.9,0.0,0.0,0,5.4261324,6.0,34650.81,45998.0,0.0,0.0,0.0,34651.0,2.446356469139966,5.4261324,28.558591578947368,45998.0,3.247440333870926,6.0,33.827424422947374
MUYULLACTA,53.0,372.0,51130472,1930.3,0.0,0.0,0,32.2405418,43.0,1279602.69,1895910.0,0.0,0.0,0.0,1279603.0,2.502622476268614,32.2405418,8.666812311827957,1895910.0,3.70798426166853,43.0,11.630251731067204
TACURI,54.0,236.0,68442178,2743.7,0.0,0.0,0,0.000636939,0.0,6.2230499,4245.0,0.0,0.0,0.0,6.0,9.092419478e-06,0.000636939,0.00026988940678,4245.0,0.006201620477431,0.0,0.182057726271186
COMUNA SAN PEDRO DEL TINGO,55.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
