#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:20:00', checksum=1828265878, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,1.44319E+02,7.84235E+01,2.06739E+01,8.10280E+00,1.16173E+01,1.23560E+00,4.69565E-03,2.81479E-01,2.75433E-04,7.70386E+01,7.53839E-02,1.66842E+01,1.63258E-02,8.51296E+05,8.08994E-02
structural,LOS MORÁN,3.58405E+01,1.70289E+01,3.69188E+00,1.21496E+00,1.22375E+00,1.81717E-01,3.07995E-03,5.34506E-02,1.66139E-04,1.17982E+01,3.66720E-02,2.18355E+00,6.78709E-03,1.57657E+06,2.03853E-02
structural,ALTOS DE VIREYA,9.22051E+02,4.22349E+02,8.37599E+01,2.58101E+01,2.30298E+01,2.38791E+00,1.61673E-03,8.72805E-01,1.28789E-04,2.35688E+02,3.47776E-02,3.79619E+01,5.60157E-03,2.69535E+07,5.07925E-02
structural,LOS CIRUELITOS,1.47070E+03,5.82198E+02,1.13724E+02,3.51954E+01,3.21811E+01,4.74563E+00,2.12427E-03,2.87991E-01,2.12265E-04,4.17644E+01,3.07827E-02,7.09962E+00,5.23282E-03,5.83694E+06,4.70325E-02
structural,LAS COLINAS,1.43097E+03,5.89622E+02,1.10846E+02,3.38986E+01,3.06630E+01,3.10816E+00,1.41537E-03,1.21194E+00,1.25276E-04,2.92753E+02,3.02613E-02,4.79559E+01,4.95712E-03,2.59025E+07,4.69045E-02
structural,ENSANCHE BOLIVAR,1.00331E+03,3.77766E+02,7.26391E+01,2.26863E+01,2.16017E+01,2.95578E+00,1.97315E-03,2.39652E+00,1.59542E-04,4.19772E+02,2.79452E-02,7.31985E+01,4.87300E-03,9.92222E+06,3.40052E-02
structural,MEJORAMIENTO SOCIAL,1.20949E+03,4.65249E+02,8.79328E+01,2.71427E+01,2.51861E+01,3.19990E+00,1.76303E-03,1.58863E+00,1.27756E-04,3.35829E+02,2.70071E-02,5.78650E+01,4.65345E-03,7.56077E+06,4.11422E-02
structural,BARACOA,7.11119E+02,2.77329E+02,5.34276E+01,1.63994E+01,1.47247E+01,2.06857E+00,1.92784E-03,9.44482E-01,1.65394E-04,1.50804E+02,2.64082E-02,2.48392E+01,4.34974E-03,9.48809E+06,3.60262E-02
structural,CENTRO DE LA CIUDAD,1.43389E+03,1.13556E+03,3.34427E+02,1.25995E+02,1.43122E+02,1.71439E+01,5.40306E-03,4.80716E+00,5.97959E-04,6.42166E+02,7.98786E-02,1.25674E+02,1.56325E-02,6.68184E+07,1.02129E-01
structural,GURABO,2.76715E+03,1.15652E+03,2.28095E+02,7.19603E+01,6.92741E+01,8.84128E+00,2.05946E-03,4.54464E-01,1.58167E-04,8.03619E+01,2.79683E-02,1.35891E+01,4.72940E-03,4.78065E+07,4.35733E-02
structural,LA TRINITARIA,3.54250E+02,6.27999E+01,1.01412E+01,2.74610E+00,2.06262E+00,1.59280E-01,3.68704E-04,4.06238E-02,1.66436E-05,1.75356E+01,7.18437E-03,2.59017E+00,1.06120E-03,9.54440E+06,1.13731E-02
structural,LOS JARDINES METROPOLITANOS,1.08569E+03,3.15204E+02,5.18424E+01,1.48870E+01,1.23724E+01,1.11992E+00,7.56705E-04,2.78845E-01,6.21466E-05,7.81509E+01,1.74176E-02,1.23876E+01,2.76083E-03,1.62139E+07,2.98598E-02
structural,LA ZURZA,6.72133E+02,2.64687E+02,4.65743E+01,1.33112E+01,1.12942E+01,9.47995E-01,9.40471E-04,2.53724E-01,5.20632E-05,9.69640E+01,1.98966E-02,1.46758E+01,3.01142E-03,1.30807E+07,3.52697E-02
structural,URBANIZACIÓN HENRÍQUEZ,9.71341E+02,3.81216E+02,7.09377E+01,2.14467E+01,1.90583E+01,2.55335E+00,1.74409E-03,1.16750E+00,1.33152E-04,2.19134E+02,2.49918E-02,3.57345E+01,4.07546E-03,1.06095E+07,3.93626E-02
structural,PARQUE METROPOLITANO DE SANTIAGO,2.52154E+00,3.71614E-01,6.46602E-02,2.05189E-02,2.16670E-02,2.16670E-03,7.22233E-04,9.10705E-02,2.46024E-05,7.07799E+01,1.91209E-02,1.28490E+01,3.47110E-03,5.64496E+05,7.00717E-03
structural,LOS SANTOS,4.67796E+02,2.17837E+02,4.64518E+01,1.58948E+01,1.80202E+01,1.99852E+00,2.60903E-03,1.46882E+00,1.96855E-04,3.24050E+02,4.34299E-02,6.43339E+01,8.62217E-03,3.90076E+06,6.04919E-02
structural,URBANIZACIÓN  LOS REYES,1.99086E+03,9.02242E+02,1.77850E+02,5.55209E+01,5.15280E+01,5.79856E+00,1.82459E-03,3.31588E+00,1.97491E-04,5.83886E+02,3.47757E-02,9.97539E+01,5.94126E-03,4.46174E+07,5.30707E-02
structural,EL  ENSUEÑO,1.72792E+03,5.88697E+02,1.01477E+02,3.01056E+01,2.67960E+01,3.11267E+00,1.25764E-03,1.50802E+00,1.08515E-04,2.99822E+02,2.15747E-02,4.95198E+01,3.56336E-03,1.02572E+07,3.57895E-02
structural,ENSANCHE BERMÚDEZ,9.88160E+02,3.94870E+02,7.84776E+01,2.48642E+01,2.36286E+01,3.26603E+00,2.16294E-03,2.01360E+00,2.03430E-04,3.15647E+02,3.18894E-02,5.55559E+01,5.61272E-03,5.67649E+06,4.47916E-02
structural,ALTOS DE RAFEY,9.56811E+02,3.97421E+02,8.08675E+01,2.65053E+01,2.73955E+01,3.18258E+00,2.13739E-03,8.90812E-01,1.21545E-04,2.44096E+02,3.33052E-02,4.54806E+01,6.20550E-03,2.51692E+07,4.00620E-02
structural,LA TERRAZA,3.23069E+02,1.39427E+02,2.76045E+01,8.84080E+00,9.05856E+00,9.45426E-01,1.86107E-03,3.88755E-01,9.69086E-05,1.30648E+02,3.25678E-02,2.35112E+01,5.86086E-03,7.85286E+06,4.85807E-02
structural,NIBAJE,4.11620E+02,1.67659E+02,3.46647E+01,1.16022E+01,1.24546E+01,1.48146E+00,2.32204E-03,9.15563E-01,2.65438E-04,1.29056E+02,3.74156E-02,2.48090E+01,7.19258E-03,2.58569E+06,4.81853E-02
