#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T16:34:16', checksum=4154814019, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,6.31334E+01,3.04757E+01,7.48271E+00,3.01937E+00,4.88884E+00,4.96200E-01,4.55229E-03,9.52531E-01,3.14305E-04,2.62218E+02,8.65234E-02,5.94184E+01,1.96061E-02,3.23609E+06,7.73891E-02
structural,NAYON,5.63388E+02,1.29429E+03,5.09041E+02,2.45067E+02,5.19217E+02,6.10573E+01,1.95009E-02,6.51444E+01,2.65554E-03,5.80566E+03,2.36662E-01,1.34535E+03,5.48419E-02,2.06924E+08,2.62130E-01
structural,LLOA,1.33550E+02,4.21103E+01,9.04830E+00,3.58515E+00,5.70601E+00,5.72944E-01,2.95332E-03,2.58691E-01,3.25357E-04,4.72081E+01,5.93738E-02,9.97301E+00,1.25431E-02,7.39263E+05,8.08237E-02
structural,QUITUMBE,4.67811E+03,4.50330E+03,1.12453E+03,4.34288E+02,6.11771E+02,7.12835E+01,6.27937E-03,9.30773E+01,1.16395E-03,8.87697E+03,1.11008E-01,1.80288E+03,2.25454E-02,2.54837E+08,1.41088E-01
structural,LA ECUATORIANA,5.34454E+03,3.66079E+03,7.70853E+02,2.77829E+02,3.58992E+02,4.18996E+01,4.02378E-03,4.15343E+01,6.78835E-04,4.41259E+03,7.21193E-02,8.56868E+02,1.40046E-02,1.08818E+08,9.91686E-02
structural,ALANGASI,8.62073E+02,1.37988E+03,4.69656E+02,2.11468E+02,3.97920E+02,4.61880E+01,1.39079E-02,3.68235E+01,1.73558E-03,3.80534E+03,1.79355E-01,8.51630E+02,4.01394E-02,1.80986E+08,2.10430E-01
structural,PINTAG,6.97993E+02,2.43880E+02,5.41110E+01,2.09372E+01,3.10785E+01,3.29386E+00,3.14300E-03,2.72364E+00,2.77659E-04,4.40674E+02,4.49242E-02,8.86892E+01,9.04134E-03,7.87566E+06,6.46643E-02
structural,LA MERCED,6.58393E+02,5.30899E+02,1.53902E+02,6.78941E+01,1.29911E+02,1.41652E+01,9.19219E-03,7.38240E+00,9.67866E-04,9.81562E+02,1.28687E-01,2.20996E+02,2.89735E-02,3.55841E+07,1.50830E-01
structural,GUANGOPOLO,5.08745E+00,1.14216E+01,5.08484E+00,2.65585E+00,6.75023E+00,7.67567E-01,2.47602E-02,6.22755E+00,3.14729E-03,5.65864E+02,2.85977E-01,1.35963E+02,6.87135E-02,1.20677E+06,3.18154E-01
structural,CUMBAYA,8.72954E+02,2.33875E+03,9.90606E+02,4.87561E+02,1.03113E+03,1.23431E+02,2.15750E-02,1.01609E+02,3.10416E-03,8.85570E+03,2.70542E-01,2.08271E+03,6.36269E-02,5.14413E+08,2.84837E-01
structural,TUMBACO,1.85231E+03,2.75973E+03,9.65927E+02,4.52196E+02,9.43837E+02,1.07459E+02,1.54085E-02,9.57939E+01,1.71886E-03,1.03077E+04,1.84954E-01,2.36774E+03,4.24851E-02,3.79366E+08,2.16650E-01
structural,CONOCOTO,3.86008E+03,5.67112E+03,1.83386E+03,8.15748E+02,1.51218E+03,1.76807E+02,1.29122E-02,1.58749E+02,1.88937E-03,1.49296E+04,1.77686E-01,3.34126E+03,3.97665E-02,6.31820E+08,2.05677E-01
structural,PIFO,6.45714E+02,4.67681E+02,1.16431E+02,4.70743E+01,7.60992E+01,8.19443E+00,6.05649E-03,8.17192E+00,4.86424E-04,1.91358E+03,1.13903E-01,4.27338E+02,2.54368E-02,4.53056E+07,1.35225E-01
structural,NANEGALITO,7.47660E+01,1.13754E+01,1.27122E+00,3.36008E-01,2.51375E-01,2.19828E-02,2.49805E-04,2.23937E-02,1.60230E-05,5.64113E+00,4.03630E-03,8.33333E-01,5.96260E-04,1.92028E+05,1.54256E-02
structural,NANEGAL,7.21341E+01,9.14064E+00,1.14974E+00,3.16023E-01,2.59502E-01,2.45730E-02,2.96061E-04,4.82944E-02,4.30585E-05,1.23106E+01,1.09759E-02,2.13413E+00,1.90275E-03,1.96124E+05,1.75713E-02
structural,NONO,5.61600E+01,3.16035E+01,9.08326E+00,3.83721E+00,6.31601E+00,6.25156E-01,5.84258E-03,2.38085E-01,1.76203E-04,9.93964E+01,7.35616E-02,2.16833E+01,1.60474E-02,2.12939E+06,8.61709E-02
structural,SAN ANTONIO,1.68965E+03,1.25612E+03,2.67452E+02,9.83210E+01,1.35459E+02,1.53370E+01,4.44938E-03,1.85920E+01,5.81179E-04,2.18356E+03,6.82572E-02,4.26277E+02,1.33253E-02,7.45869E+07,9.40016E-02
structural,CALDERON,5.63641E+03,8.38204E+03,3.19683E+03,1.56074E+03,3.41898E+03,3.93750E+02,1.77405E-02,4.32603E+02,2.87731E-03,3.79520E+04,2.52425E-01,9.01126E+03,5.99353E-02,9.69390E+08,2.69946E-01
structural,LLANO CHICO,3.68771E+02,6.15242E+02,2.53276E+02,1.34319E+02,3.80392E+02,4.15374E+01,2.37086E-02,2.47167E+01,3.04547E-03,2.41990E+03,2.98168E-01,6.09558E+02,7.51066E-02,5.81616E+07,3.19998E-01
structural,ZAMBIZA,7.99219E+01,1.66782E+02,7.27471E+01,3.83420E+01,1.03207E+02,1.15196E+01,2.49883E-02,9.48210E+00,3.20916E-03,9.04749E+02,3.06207E-01,2.25946E+02,7.64700E-02,1.86613E+07,3.22196E-01
structural,PERUCHO,1.33540E+02,1.76792E+01,1.83791E+00,5.02851E-01,4.40100E-01,4.64910E-02,3.01890E-04,9.35734E-03,1.96748E-05,2.55762E+00,5.37767E-03,4.22822E-01,8.89029E-04,1.63776E+05,1.23251E-02
structural,SAN JOSE DE MINAS,5.42683E+02,9.77298E+01,1.25656E+01,3.64223E+00,3.37897E+00,3.54306E-01,5.36827E-04,1.40062E-01,3.94053E-05,3.67817E+01,1.03482E-02,6.40686E+00,1.80252E-03,1.32501E+06,2.11133E-02
structural,PUELLARO,3.23865E+02,7.48937E+01,9.06095E+00,2.63502E+00,2.54528E+00,2.63780E-01,6.38693E-04,1.39414E-01,4.81152E-05,3.29880E+01,1.13850E-02,5.73576E+00,1.97956E-03,1.34523E+06,2.49497E-02
structural,CHAVEZPAMBA,5.87064E+01,9.46556E+00,1.16486E+00,3.39632E-01,3.23510E-01,3.36218E-02,4.80312E-04,1.21576E-02,2.62187E-05,3.63272E+00,7.83421E-03,6.42313E-01,1.38519E-03,1.84495E+05,1.67345E-02
structural,TURUBAMBA,5.01857E+03,3.31713E+03,7.04425E+02,2.53918E+02,3.29959E+02,3.76507E+01,3.91217E-03,3.26196E+01,6.11093E-04,3.64853E+03,6.83512E-02,7.04768E+02,1.32031E-02,1.07275E+08,9.29726E-02
structural,AMAGUAÑA,1.98010E+03,1.29896E+03,2.92558E+02,1.11900E+02,1.64485E+02,1.82963E+01,4.75476E-03,1.18650E+01,5.30161E-04,1.66738E+03,7.45033E-02,3.44036E+02,1.53725E-02,6.47001E+07,9.84005E-02
structural,GUAMANI,7.12250E+03,4.01979E+03,7.59080E+02,2.62267E+02,3.23362E+02,3.72009E+01,2.97917E-03,3.25147E+01,4.75687E-04,3.64987E+03,5.33974E-02,6.88993E+02,1.00799E-02,1.09012E+08,8.04919E-02
structural,PUENGASI,1.37173E+03,3.23252E+03,1.36369E+03,6.82931E+02,1.51013E+03,1.78166E+02,2.18314E-02,2.17380E+02,3.43921E-03,1.79360E+04,2.83769E-01,4.28937E+03,6.78630E-02,3.43438E+08,3.01451E-01
structural,CHILLOGALLO,3.39280E+03,3.00532E+03,7.02962E+02,2.67634E+02,3.82279E+02,4.35022E+01,5.61247E-03,4.68791E+01,8.33736E-04,5.10826E+03,9.08496E-02,1.02951E+03,1.83097E-02,1.13836E+08,1.22190E-01
structural,CHIMBACALLE,5.95141E+02,1.68538E+03,7.60197E+02,3.87335E+02,8.71946E+02,1.02092E+02,2.37424E-02,1.50663E+02,3.67295E-03,1.26270E+04,3.07827E-01,3.06069E+03,7.46151E-02,2.51374E+08,3.21933E-01
structural,SAN BARTOLO,1.77197E+03,3.55188E+03,1.33237E+03,6.15860E+02,1.14192E+03,1.35966E+02,1.61595E-02,1.59229E+02,2.48458E-03,1.41856E+04,2.21350E-01,3.19330E+03,4.98277E-02,3.14949E+08,2.30481E-01
