#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T16:34:16', checksum=4154814019"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,1.12064E+05,3.78816E+04,1.75596E+04,3.33147E+04,3.88493E+03,4.64258E+03,4.21235E+05,9.58158E+04,1.30722E+10,structural
1,1.10113E+05,3.54211E+04,1.61998E+04,3.27587E+04,3.80444E+03,4.38682E+03,3.90824E+05,9.07781E+04,1.27740E+10,structural
2,1.13838E+05,3.93310E+04,1.74842E+04,3.17659E+04,3.68966E+03,4.40827E+03,4.04889E+05,9.13641E+04,1.24310E+10,structural
3,1.08825E+05,3.75718E+04,1.79315E+04,3.74821E+04,4.39371E+03,5.17579E+03,4.54776E+05,1.07516E+05,1.38959E+10,structural
4,1.07442E+05,3.69262E+04,1.75667E+04,3.81210E+04,4.45581E+03,5.31170E+03,4.58661E+05,1.09663E+05,1.35661E+10,structural
5,1.12019E+05,3.77016E+04,1.72151E+04,3.63980E+04,4.24702E+03,5.05964E+03,4.40996E+05,1.04748E+05,1.36926E+10,structural
6,1.07608E+05,3.82656E+04,1.83975E+04,3.99368E+04,4.64971E+03,5.52640E+03,4.79191E+05,1.14480E+05,1.40930E+10,structural
7,1.10995E+05,3.80901E+04,1.76520E+04,3.63501E+04,4.25362E+03,5.08309E+03,4.47368E+05,1.04650E+05,1.33721E+10,structural
8,1.07858E+05,3.81142E+04,1.82392E+04,3.74327E+04,4.38080E+03,5.08357E+03,4.49625E+05,1.05014E+05,1.31688E+10,structural
9,1.08829E+05,3.65982E+04,1.70025E+04,3.50666E+04,4.08684E+03,5.04511E+03,4.38136E+05,1.03845E+05,1.36147E+10,structural
10,1.16066E+05,4.03996E+04,1.79781E+04,3.29693E+04,3.83232E+03,4.38838E+03,4.11447E+05,9.25677E+04,1.33297E+10,structural
11,1.12815E+05,3.68547E+04,1.66481E+04,3.29439E+04,3.84059E+03,4.54437E+03,4.05985E+05,9.42284E+04,1.32527E+10,structural
12,1.10832E+05,3.95688E+04,1.84002E+04,3.65418E+04,4.25986E+03,4.86531E+03,4.43177E+05,1.02264E+05,1.31000E+10,structural
13,1.12631E+05,3.75024E+04,1.71674E+04,3.46853E+04,4.03648E+03,4.92821E+03,4.34006E+05,1.01897E+05,1.39187E+10,structural
14,1.10693E+05,3.85866E+04,1.79603E+04,3.57695E+04,4.15594E+03,4.89121E+03,4.37851E+05,1.01774E+05,1.33910E+10,structural
15,1.12944E+05,3.68177E+04,1.68016E+04,3.27745E+04,3.82742E+03,4.39096E+03,3.96237E+05,9.05547E+04,1.29553E+10,structural
16,1.12348E+05,3.94074E+04,1.81331E+04,3.56603E+04,4.16764E+03,5.13984E+03,4.56876E+05,1.05716E+05,1.37032E+10,structural
