NM_PARR,ID_PARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,595.14128842,1685.3793057,760.19766172,387.335391753,871.946294191,102.0922033839,150.6632598496,251374009,12626.96751434,3060.690249054,32.193334208795164,2.374237287997675,367.29488477390134,30782.691034649208,7461.513002420788
LA LIBERTAD,2.0,2825.0,385733696,27497.7,678.93709711,1182.6249823,401.3772123,185.059805648,377.000864738,43.0223847812,47.09946557312,81668414,5014.68260523,1158.395772299,21.172226991836883,1.522916275440708,171.2851095659637,18236.734727740866,4212.700597864548
COTOCOLLAO,3.0,3838.0,715905633,30843.4,1041.44515344,1644.08728329,526.14010174,228.6434768,397.683922549,46.5677783543,58.365495504100004,145500415,5379.20249045,1179.967862122,20.323965643504497,1.213334506365294,189.23171733369213,17440.368086689534,3825.67376528528
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,310.131375947,812.49134441,469.15806726,272.99196948,778.22723816,90.640511628,69.5764495665,560861364,5386.75022903,1405.29939057,38.73896193586898,3.429455604540295,510.4093428199391,39516.92938436709,10309.205814253752
LA MAGDALENA,5.0,3647.0,781109400,28352.0,547.115945417,1470.10430189,633.98333691,315.000087152,680.796318571,79.3237488823,92.921464016,231421448,7982.62652315,1898.466934657,29.62727728303673,2.175041099048533,327.74218402934537,28155.426506595653,6696.060012193143
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,379.554361262,1183.35773103,678.21098073,396.165463848,1146.711506316,135.1576034354,182.6771171297,449225147,16334.36556874,4296.89450729,40.812886357191154,3.571818272605708,447.4890615508039,40012.947621641884,10525.747947318525
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,1771.96718551,3551.87891972,1332.37135386,615.86041967,1141.922016072,135.9665186075,159.2292475417,314949291,14185.640663661,3193.308526724,23.04812360511074,1.615955771422629,248.4579517557383,22134.97380695149,4982.7711185170165
SOLANDA,8.0,9002.0,1277371113,78250.0,1759.10805483,4051.69967787,1475.610807172,653.938257937,1061.643140879,124.0776754967,187.13442685806,284941889,16019.61284039,3487.8308405817,22.30689935195803,1.378334542287269,239.14942729464536,20472.348677814698,4457.291809050096
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,865.60726124,1990.3902418,736.4307764,338.679473459,616.892254915,75.3289319097,82.3143038511,235215135,6834.04270224,1535.584907145,23.23602106985115,1.656308968990765,256.76360595382175,21317.47904524243,4789.961155718938
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,1045.98795698,2300.3959683,956.64416266,479.54709618,1086.42506138,125.42612055,158.3822318792,289639485,13187.23021825,3159.807057281,29.012509935648435,2.137095255580167,343.25034703642456,28579.7295262007,6848.021120242123
SAN ISIDRO,11.0,4473.0,980491758,41692.8,672.68620523,1678.2398885,774.0029637,403.77684978999997,944.29418992,109.607032833,161.8462069621,339889927,13417.60912598,3276.168190925,34.66525081210736,2.450414326693494,388.18742555573147,32182.07730346726,7857.875198895252
JIPI JAPA,12.0,3757.0,1218171533,32794.0,386.1323127,1331.57645753,708.13974722,388.25778876,942.89362679,113.833995702,175.4714603769,464152336,12946.56510944,3267.666723943,38.10237914121487,3.029917372957146,535.0718435594927,39478.45675867537,9964.221272010123
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,1388.88313662,2787.0235197,1021.97906899,478.393651598,964.720664612,111.858674682,152.98780672046001,259864034,14265.97793885,3287.188057992,24.126164796691107,1.684364925191989,234.10564778287343,21830.145017589926,5030.13479437918
PONCEANO,14.0,5960.0,1623701668,54338.6,1233.67129032,2411.9011681,953.02165413,457.394614037,904.011293745,106.6204484898,166.7629182667,439352575,13916.51600606,3224.565991748,27.058700736167747,1.788933699493289,306.8958682533227,25610.73712988557,5934.208816104942
KENNEDY,15.0,8635.0,1747759641,69186.8,1310.63508205,3247.2022783,1489.36630289,776.11480398,1811.68153364,214.174287038,304.0782735876,604159411,23780.47880764,5872.70457047,34.5676485680302,2.480304424296468,439.50330639312693,34371.41016442443,8488.18643219516
LA  ARGELIA,16.0,7198.0,1000393637,57912.3,2512.38661,3009.9854161,812.762268992,330.932591702,531.933301147,60.8707262587,71.68296109734,151159531,7182.515296332,1506.3444579914,15.11000521433625,0.845661659609614,123.77847382566397,12402.400347304458,2601.0786274960587
