barrio,id_barrio,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ciudadela Floralia,610.0,6839.0,322746305,38325.0,5840.9010105,838.32112782,108.024881312,28.777556318,22.975337326000002,2.5641263612,1.61497240106,5012038,298.35555396,47.404426637,1.552934340377757,0.037492708893113,4.213887543535551,778.4880729549902,123.69061092498369
Brisas de Los Alamos,219.0,1821.0,191934730,13842.0,1583.3793095,202.91868928,23.950032749,6.122014913,4.629972897,0.4852796757,0.45752016246,2613553,87.0055369,12.516241727,1.361688193203105,0.026649076095552,3.305303875596012,628.5618906227423,90.4222058011848
Menga,216.0,161.0,169122686,835.0,155.9979006,4.679372402,0.2549345674,0.0451866782,0.02260502475,0.002521815331,0.0009907098584,339906,0.2436655658,0.02633528154,0.200981787359418,0.001566344926087,0.118647887233533,29.181504886227547,3.153925932934132
Paso del Comercio,603.0,1636.0,77065478,9292.0,1404.9488916,193.86835035,25.217579331,6.681068445,5.284170694,0.57377473,0.37784507583,1211648,71.67651162,11.216300922,1.572231937589049,0.035071805012225,4.066348211687473,771.3787303056392,120.70922214808438
Los Guaduales,608.0,1850.0,121062905,10487.0,1591.2230832,221.11099346,25.940215805,6.634340379,5.091371097,0.57053407836,0.39357307826,1674690,68.02711442,10.425487306,1.383322355976318,0.030839679911351,3.752961554877467,648.6804083150568,99.41343860017165
Área en Desarrollo - Parque del Amor,298.0,133.0,301609965,6696.0,121.1221865,10.307048368,1.1358236654,0.26580285837,0.16913746484,0.016606700126,0.037996666389,1224122,9.0127603688,1.2978417332,0.405862616217041,0.012486240696241,0.567453201747312,134.5991691875747,19.382343685782555
Urbanización La Flora,295.0,1694.0,461938463,9165.0,1496.6413729,171.82418948400002,17.829354405,4.4312593534,3.2737858919,0.34995354128,0.204238380866,4888304,37.281108387,5.5184369608,1.058215458958481,0.020658414479339,2.22846023858156,406.77696003273326,60.212078132024
Altos de Menga,296.0,683.0,25390842,6092.0,663.8515792,17.29513788,1.406632721,0.2866633579,0.1599811707,0.01617779215,0.012689121923,62441,4.216525219,0.5489591955,0.245918090236116,0.002368637210835,0.208291561441234,69.2141368844386,9.011148974064348
Urbanización Calimio,697.0,1152.0,65763429,8300.0,996.5381083,131.48741539,16.400287331,4.278574151,3.295589868,0.3543875537,0.33680055686,899826,57.1987606,8.614993111,1.368277181857827,0.030762808480903,4.057838034457832,689.1416939759036,103.79509772289158
San Luis II,696.0,1738.0,127723318,11400.0,1487.6785415,211.45270949,26.549071096,6.937586966,5.382083676,0.6025364312,0.48565509759,1905322,84.184470634,13.078092148,1.491757209758007,0.034668379240506,4.260132435,738.4602687192981,114.72010656140351
Sector Puente del Comercio,698.0,892.0,73022208,8184.0,777.8521133,96.5713283,12.052930705,3.123787451,2.399845559,0.2592588656,0.34583524991,1081859,56.7533259,8.451802064,1.481547592863379,0.029064895246637,4.225748410434995,693.466836510264,103.27226373411536
Los Alcazares,604.0,201.0,86219821,10406.0,163.43635609999998,31.25702315,4.407049921,1.129549049,0.770017044,0.0959507215,0.699026153,1621413,98.3572028,14.07183144,1.880557055474756,0.047736677363184,6.717529819335,945.1970286373245,135.22805535268117
Ciudad de Los Alamos,217.0,1782.0,211380472,14132.0,1557.6962941,192.65255487,22.026171665,5.545548977,4.079423183999999,0.4286226075,0.468845576496,2715250,81.235146134,11.7129655082,1.284532065523787,0.024052896043771,3.317616589980187,574.8312067223324,82.88257506510048
La Flora,212.0,1419.0,406997277,4503.0,1349.4620068,62.2770771788,5.2509254783,1.19883293009,0.81115087765,0.0903623311022,0.0311928309508,1757743,6.1890425408,0.88263587575,0.431880889492801,0.006368028971261,0.692712212986898,137.4426502509438,19.601063196757718
Calima,421.0,923.0,102033555,4871.0,812.4081512,93.16201542,11.833825531,3.124615518,2.471392623,0.270639527,0.16516944249,1387383,32.224906183,5.002463916,1.35973255286714,0.029321725568797,3.390873383083556,661.5665404023815,102.69891020324368
