#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-13T09:05:31', checksum=363049226"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,3.09225E+04,4.11190E+03,1.28706E+03,1.35168E+03,1.45074E+02,8.62385E+01,1.54592E+04,2.72525E+03,5.09333E+08,structural
1,3.20080E+04,3.30468E+03,7.24664E+02,4.21968E+02,4.53129E+01,3.14911E+01,7.13380E+03,9.44442E+02,3.96177E+08,structural
2,3.36028E+04,3.89873E+03,9.95955E+02,7.41154E+02,7.90649E+01,5.24023E+01,1.04074E+04,1.58859E+03,4.81757E+08,structural
3,2.82812E+04,2.98953E+03,7.14194E+02,4.77787E+02,5.16481E+01,3.38316E+01,7.07259E+03,1.00216E+03,4.50550E+08,structural
4,3.31506E+04,3.80178E+03,9.24918E+02,6.14755E+02,6.54593E+01,4.04604E+01,8.80364E+03,1.24608E+03,4.61539E+08,structural
5,3.27173E+04,3.76106E+03,9.49987E+02,7.06575E+02,7.66240E+01,5.47207E+01,1.04224E+04,1.58877E+03,5.30561E+08,structural
6,3.00021E+04,2.98313E+03,6.63314E+02,4.04187E+02,4.38794E+01,3.02871E+01,6.45641E+03,8.78526E+02,4.56989E+08,structural
7,2.83661E+04,2.62587E+03,5.80278E+02,3.68177E+02,3.98777E+01,3.05313E+01,6.24023E+03,8.80502E+02,3.66236E+08,structural
8,3.14028E+04,3.49000E+03,8.75953E+02,6.92677E+02,7.36144E+01,4.56442E+01,9.02512E+03,1.40359E+03,4.11064E+08,structural
9,2.87796E+04,2.66538E+03,5.40033E+02,2.84730E+02,3.09679E+01,2.44797E+01,5.65422E+03,7.08901E+02,4.27123E+08,structural
10,2.93409E+04,3.65941E+03,1.05541E+03,9.80865E+02,1.05494E+02,6.16672E+01,1.11721E+04,1.84562E+03,5.20981E+08,structural
11,3.11878E+04,3.71280E+03,9.26914E+02,6.41627E+02,6.91479E+01,5.84871E+01,1.14180E+04,1.69390E+03,5.31169E+08,structural
12,3.35239E+04,3.99020E+03,9.74624E+02,6.56199E+02,7.06706E+01,4.10694E+01,8.86637E+03,1.26171E+03,5.08382E+08,structural
13,3.03493E+04,3.17796E+03,7.43502E+02,4.82946E+02,5.24209E+01,3.61437E+01,7.33274E+03,1.04741E+03,4.13347E+08,structural
14,2.89322E+04,3.34338E+03,8.50169E+02,6.20248E+02,6.64075E+01,4.08104E+01,8.70327E+03,1.29003E+03,4.51604E+08,structural
15,3.42422E+04,3.61789E+03,8.06043E+02,4.88869E+02,5.25443E+01,3.22555E+01,7.40984E+03,9.94792E+02,4.48246E+08,structural
16,3.19907E+04,3.29454E+03,7.45522E+02,4.66108E+02,5.04807E+01,3.55851E+01,7.80645E+03,1.07875E+03,4.78726E+08,structural
17,2.52964E+04,2.20519E+03,4.62809E+02,2.65820E+02,2.84363E+01,1.96310E+01,4.61964E+03,5.79266E+02,3.96016E+08,structural
18,2.92181E+04,3.10163E+03,7.70678E+02,5.62404E+02,6.05273E+01,4.55613E+01,8.66200E+03,1.30691E+03,5.06025E+08,structural
19,3.82568E+04,4.94031E+03,1.35491E+03,1.18544E+03,1.24075E+02,7.56333E+01,1.51733E+04,2.44685E+03,5.41435E+08,structural
20,3.12617E+04,3.35502E+03,8.00986E+02,5.28337E+02,5.63639E+01,3.77306E+01,8.54832E+03,1.18583E+03,4.60210E+08,structural
21,3.51693E+04,4.16621E+03,1.01985E+03,7.00417E+02,7.51794E+01,4.44210E+01,9.48710E+03,1.35513E+03,5.44809E+08,structural
22,3.37662E+04,4.96633E+03,1.46138E+03,1.27122E+03,1.36481E+02,8.07551E+01,1.54470E+04,2.46889E+03,5.64749E+08,structural
23,2.94844E+04,2.86248E+03,6.83221E+02,4.86961E+02,5.19483E+01,3.52070E+01,7.22784E+03,1.06287E+03,3.92168E+08,structural
24,3.57167E+04,4.81136E+03,1.31293E+03,1.03411E+03,1.11892E+02,6.53173E+01,1.32190E+04,2.03796E+03,6.39456E+08,structural
25,3.19031E+04,4.31797E+03,1.30120E+03,1.34464E+03,1.43452E+02,8.54898E+01,1.51508E+04,2.64093E+03,5.32219E+08,structural
26,3.00000E+04,2.98162E+03,6.55859E+02,3.85340E+02,4.12995E+01,3.12755E+01,6.97132E+03,9.29768E+02,4.42829E+08,structural
27,3.26524E+04,3.98750E+03,1.05249E+03,8.38521E+02,8.98744E+01,6.59180E+01,1.21548E+04,1.93936E+03,5.29184E+08,structural
28,3.58356E+04,4.57235E+03,1.25829E+03,1.05189E+03,1.09400E+02,5.37177E+01,1.18170E+04,1.84097E+03,4.85121E+08,structural
29,3.05735E+04,3.49177E+03,9.09526E+02,7.12328E+02,7.73026E+01,4.83380E+01,9.26852E+03,1.41966E+03,5.18931E+08,structural
30,2.66019E+04,3.16904E+03,8.42699E+02,6.57220E+02,7.16703E+01,4.25104E+01,8.26965E+03,1.24872E+03,4.79370E+08,structural
31,3.06079E+04,3.86456E+03,1.08166E+03,9.56598E+02,1.02365E+02,6.54699E+01,1.19535E+04,1.96182E+03,4.74081E+08,structural
32,3.12594E+04,3.82450E+03,9.62749E+02,6.65160E+02,7.15724E+01,5.36657E+01,1.08202E+04,1.58224E+03,5.53884E+08,structural
33,3.52490E+04,4.13344E+03,1.07060E+03,8.71704E+02,9.39279E+01,5.94513E+01,1.12557E+04,1.73363E+03,6.06357E+08,structural
34,3.71518E+04,4.66126E+03,1.16468E+03,8.08432E+02,8.74986E+01,5.48872E+01,1.13531E+04,1.63595E+03,6.34158E+08,structural
35,3.58682E+04,3.81509E+03,9.21750E+02,6.68322E+02,7.23880E+01,4.66913E+01,9.27502E+03,1.37746E+03,4.48626E+08,structural
36,3.20540E+04,4.02276E+03,1.12232E+03,9.77337E+02,1.03673E+02,5.20494E+01,1.05127E+04,1.65219E+03,5.48197E+08,structural
37,2.93844E+04,3.61217E+03,1.11288E+03,1.26350E+03,1.35337E+02,8.23416E+01,1.34671E+04,2.48561E+03,5.28652E+08,structural
38,3.48343E+04,4.69395E+03,1.39579E+03,1.49897E+03,1.58045E+02,8.79854E+01,1.65607E+04,2.98677E+03,5.78232E+08,structural
39,3.50219E+04,4.22267E+03,1.11374E+03,9.29461E+02,9.88654E+01,5.09537E+01,1.01241E+04,1.54386E+03,6.42122E+08,structural
