#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-13T09:05:31', checksum=363049226, investigation_time=None, risk_investigation_time=None"
loss_type,COMUNA,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,15,2.46610E+04,2.58772E+03,3.24027E+02,8.55772E+01,6.76388E+01,6.94177E+00,2.50370E-04,3.11047E+00,2.56564E-05,6.97250E+02,5.75118E-03,1.09241E+02,9.01057E-04,1.44580E+07,1.21771E-02
structural,16,1.22578E+04,1.42975E+03,1.74469E+02,4.56057E+01,3.53815E+01,3.77927E+00,2.71051E-04,2.98162E+00,3.18070E-05,5.75888E+02,6.14339E-03,8.91801E+01,9.51345E-04,1.55548E+07,1.26363E-02
structural,13,2.19502E+04,2.54338E+03,3.23102E+02,8.58874E+01,6.84763E+01,7.21143E+00,2.88792E-04,4.43748E+00,3.22923E-05,9.10862E+02,6.62850E-03,1.43767E+02,1.04622E-03,2.22523E+07,1.44065E-02
structural,14,2.33189E+04,2.46708E+03,3.24189E+02,8.79899E+01,7.28468E+01,7.55890E+00,2.87728E-04,4.29818E+00,2.90663E-05,9.56446E+02,6.46793E-03,1.53631E+02,1.03893E-03,1.53982E+07,1.30083E-02
structural,12,8.87747E+03,9.58870E+02,1.17643E+02,3.05467E+01,2.34737E+01,2.54724E+00,2.54521E-04,1.90421E+00,2.87376E-05,3.80061E+02,5.73573E-03,5.84836E+01,8.82611E-04,1.06787E+07,1.21874E-02
structural,11,1.26149E+04,1.47261E+03,1.82756E+02,4.77705E+01,3.70039E+01,4.08737E+00,2.84735E-04,3.25266E+00,3.29130E-05,6.17494E+02,6.24830E-03,9.54451E+01,9.65789E-04,1.85622E+07,1.24920E-02
structural,4,9.85194E+03,1.15723E+03,1.44043E+02,3.82270E+01,3.05608E+01,3.35633E+00,2.99085E-04,1.83259E+00,3.49424E-05,3.50589E+02,6.68475E-03,5.49437E+01,1.04762E-03,3.66957E+07,1.31917E-02
structural,6,1.99734E+04,2.73550E+03,3.48642E+02,9.23346E+01,7.31060E+01,8.07675E+00,3.47791E-04,6.21079E+00,4.25528E-05,1.09990E+03,7.53585E-03,1.71114E+02,1.17237E-03,2.22033E+07,1.49889E-02
structural,5,1.26869E+04,1.71621E+03,2.06941E+02,5.28241E+01,3.91274E+01,4.39429E+00,2.98891E-04,4.42223E+00,4.06328E-05,7.34930E+02,6.75276E-03,1.06980E+02,9.82965E-04,2.70612E+07,1.39599E-02
structural,2,1.75500E+04,1.38012E+03,1.42300E+02,3.50035E+01,2.56048E+01,2.75599E+00,1.44044E-04,1.85198E+00,1.68363E-05,3.50301E+02,3.18458E-03,5.10900E+01,4.64459E-04,4.06715E+07,4.73878E-03
structural,21,2.00836E+04,2.35291E+03,2.97472E+02,7.87039E+01,6.23071E+01,6.47162E+00,2.82912E-04,3.77588E+00,3.00496E-05,7.91300E+02,6.29740E-03,1.24489E+02,9.90721E-04,9.78259E+06,1.25724E-02
structural,7,1.14707E+04,1.24406E+03,1.55700E+02,4.13475E+01,3.31800E+01,3.54707E+00,2.74010E-04,2.00882E+00,2.95245E-05,4.12375E+02,6.06086E-03,6.47389E+01,9.51497E-04,1.73889E+07,1.20954E-02
structural,8,1.60701E+04,1.86493E+03,2.24292E+02,5.74852E+01,4.32379E+01,4.80350E+00,2.63061E-04,2.96254E+00,3.12735E-05,5.64188E+02,5.95574E-03,8.54783E+01,9.02336E-04,3.28280E+07,1.23355E-02
structural,17,1.49545E+04,1.51571E+03,1.50663E+02,3.53564E+01,2.38124E+01,2.53872E+00,1.52201E-04,2.89117E+00,1.80801E-05,5.50055E+02,3.43980E-03,7.47359E+01,4.67365E-04,7.07540E+07,8.93611E-03
structural,10,1.36714E+04,1.50828E+03,1.76527E+02,4.49801E+01,3.37788E+01,3.66707E+00,2.37581E-04,2.87403E+00,2.91061E-05,5.40524E+02,5.47405E-03,8.05770E+01,8.16028E-04,2.54429E+07,1.20884E-02
structural,9,1.02797E+04,9.56322E+02,1.11077E+02,2.83343E+01,2.15797E+01,2.37950E+00,2.08783E-04,8.51205E-01,2.41916E-05,1.75238E+02,4.98033E-03,2.69577E+01,7.66148E-04,1.55411E+07,1.01895E-02
structural,22,5.65934E+03,4.03108E+02,3.38932E+01,7.63551E+00,5.02015E+00,5.71313E-01,9.35198E-05,2.24807E-01,9.51726E-06,4.12711E+01,1.74722E-03,5.71507E+00,2.41949E-04,1.91008E+07,5.50434E-03
structural,19,1.68646E+04,1.45259E+03,1.37316E+02,3.16042E+01,2.08935E+01,2.32437E+00,1.25594E-04,1.30789E+00,1.27388E-05,2.46750E+02,2.40333E-03,3.38708E+01,3.29900E-04,6.07704E+07,6.32263E-03
structural,3,8.78651E+03,6.66516E+02,6.79147E+01,1.60632E+01,1.09947E+01,1.22537E+00,1.28338E-04,4.37864E-01,1.38446E-05,9.54697E+01,3.01861E-03,1.38370E+01,4.37506E-04,2.48110E+07,6.58954E-03
structural,18,1.38377E+04,8.01103E+02,7.65729E+01,1.73822E+01,1.12621E+01,1.18002E+00,8.00343E-05,8.70402E-01,8.02473E-06,2.02300E+02,1.86512E-03,2.77988E+01,2.56293E-04,9.38697E+06,5.32600E-03
structural,1,7.28454E+03,4.91129E+02,5.10060E+01,1.20961E+01,8.23154E+00,8.80599E-01,1.12221E-04,5.90006E-01,1.01802E-05,1.31311E+02,2.26571E-03,1.88028E+01,3.24432E-04,3.39134E+06,5.03657E-03
structural,20,8.43305E+03,3.33659E+02,3.08896E+01,6.93062E+00,4.46965E+00,4.60600E-01,5.22874E-05,2.78498E-01,4.97985E-06,7.62500E+01,1.36343E-03,1.07209E+01,1.91701E-04,1.91053E+06,4.15103E-03
