#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T23:20:49', checksum=1168242191, investigation_time=None, risk_investigation_time=None"
loss_type,COMUNA,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,15,2.61568E+04,1.38731E+03,1.32157E+02,3.01353E+01,1.96256E+01,2.01537E+00,7.26887E-05,9.18563E-01,7.57665E-06,2.28425E+02,1.88413E-03,3.22686E+01,2.66164E-04,6.29170E+06,5.29910E-03
structural,16,1.30974E+04,7.51296E+02,6.90731E+01,1.54567E+01,9.75516E+00,1.04355E+00,7.48439E-05,8.32606E-01,8.88198E-06,1.80791E+02,1.92862E-03,2.49747E+01,2.66422E-04,6.62141E+06,5.37908E-03
structural,13,2.34120E+04,1.37519E+03,1.33028E+02,3.06259E+01,2.02070E+01,2.13013E+00,8.53040E-05,1.33072E+00,9.68388E-06,3.02570E+02,2.20186E-03,4.31325E+01,3.13883E-04,9.94924E+06,6.44130E-03
structural,14,2.46831E+04,1.38597E+03,1.43236E+02,3.44165E+01,2.42417E+01,2.51683E+00,9.58028E-05,1.44271E+00,9.75631E-06,3.49989E+02,2.36679E-03,5.16144E+01,3.49041E-04,7.12900E+06,6.02252E-03
structural,12,9.44193E+03,5.03499E+02,4.60082E+01,1.01819E+01,6.37739E+00,6.93236E-01,6.92682E-05,5.27629E-01,7.96277E-06,1.17882E+02,1.77903E-03,1.62218E+01,2.44813E-04,4.50926E+06,5.14631E-03
structural,11,1.35075E+04,7.54455E+02,6.85262E+01,1.51301E+01,9.42184E+00,1.04338E+00,7.26843E-05,8.48047E-01,8.58122E-06,1.81395E+02,1.83550E-03,2.48901E+01,2.51858E-04,7.48036E+06,5.03413E-03
structural,4,1.05307E+04,6.12544E+02,5.72231E+01,1.30403E+01,8.48980E+00,9.33580E-01,8.31920E-05,5.26851E-01,1.00456E-05,1.12728E+02,2.14941E-03,1.57888E+01,3.01049E-04,1.61349E+07,5.80035E-03
structural,6,2.14630E+04,1.54658E+03,1.53554E+02,3.58259E+01,2.40564E+01,2.66019E+00,1.14550E-04,2.07606E+00,1.42240E-05,4.04392E+02,2.77066E-03,5.73245E+01,3.92754E-04,1.03691E+07,6.99989E-03
structural,5,1.36401E+04,9.44522E+02,8.66270E+01,1.90641E+01,1.16896E+01,1.31384E+00,8.93645E-05,1.36102E+00,1.25054E-05,2.55015E+02,2.34316E-03,3.29878E+01,3.03102E-04,1.24058E+07,6.39970E-03
structural,2,1.83719E+04,6.88527E+02,5.40252E+01,1.15180E+01,7.01014E+00,7.51771E-01,3.92918E-05,5.45487E-01,4.95901E-06,1.15486E+02,1.04988E-03,1.50648E+01,1.36954E-04,1.65071E+07,1.92330E-03
structural,21,2.13298E+04,1.35548E+03,1.36068E+02,3.19763E+01,2.16539E+01,2.25046E+00,9.83806E-05,1.32932E+00,1.05791E-05,3.03081E+02,2.41201E-03,4.39006E+01,3.49374E-04,4.66673E+06,5.99759E-03
structural,7,1.21680E+04,6.84712E+02,6.64400E+01,1.54624E+01,1.04053E+01,1.11305E+00,8.59826E-05,6.38527E-01,9.38472E-06,1.44583E+02,2.12500E-03,2.06572E+01,3.03608E-04,7.82689E+06,5.44425E-03
structural,8,1.71848E+04,9.61552E+02,8.44418E+01,1.82404E+01,1.10110E+01,1.22567E+00,6.71232E-05,7.84559E-01,8.28206E-06,1.68544E+02,1.77920E-03,2.25723E+01,2.38281E-04,1.35332E+07,5.08527E-03
structural,17,1.58148E+04,7.89560E+02,5.77859E+01,1.15082E+01,6.32450E+00,6.71519E-01,4.02590E-05,8.17243E-01,5.11068E-06,1.78490E+02,1.11620E-03,2.13823E+01,1.33715E-04,3.27403E+07,4.13505E-03
structural,10,1.46318E+04,7.23308E+02,5.98990E+01,1.25953E+01,7.35476E+00,7.99477E-01,5.17964E-05,6.44082E-01,6.52281E-06,1.40751E+02,1.42542E-03,1.80960E+01,1.83264E-04,9.75055E+06,4.63267E-03
structural,9,1.09095E+04,4.40122E+02,3.55158E+01,7.43895E+00,4.40540E+00,4.87245E-01,4.27521E-05,1.78192E-01,5.06429E-06,4.21622E+01,1.19827E-03,5.63959E+00,1.60279E-04,5.64914E+06,3.70384E-03
structural,22,5.87472E+03,2.15990E+02,1.40016E+01,2.75804E+00,1.53437E+00,1.74627E-01,2.85852E-05,7.18702E-02,3.04264E-06,1.45722E+01,6.16916E-04,1.82858E+00,7.74133E-05,9.06091E+06,2.61111E-03
structural,19,1.78175E+04,6.38140E+02,4.01597E+01,7.42766E+00,3.77623E+00,4.20658E-01,2.27297E-05,2.60517E-01,2.53742E-06,5.73449E+01,5.58536E-04,6.74280E+00,6.56745E-05,2.24796E+07,2.33881E-03
structural,3,9.23536E+03,2.87497E+02,1.95580E+01,3.68117E+00,1.90389E+00,2.12899E-01,2.22978E-05,7.57836E-02,2.39617E-06,1.95773E+01,6.19007E-04,2.40980E+00,7.61943E-05,9.22189E+06,2.44924E-03
structural,18,1.43378E+04,3.72680E+02,2.59649E+01,4.93546E+00,2.58212E+00,2.70854E-01,1.83704E-05,2.04245E-01,1.88305E-06,5.40010E+01,4.97865E-04,6.55644E+00,6.04475E-05,3.69059E+06,2.09398E-03
structural,1,7.66352E+03,1.70370E+02,1.04297E+01,1.81866E+00,8.57507E-01,9.21982E-02,1.17495E-05,6.65422E-02,1.14815E-06,1.81800E+01,3.13686E-04,2.11970E+00,3.65743E-05,9.06821E+05,1.34674E-03
structural,20,8.68415E+03,1.16274E+02,6.82591E+00,1.18663E+00,5.68271E-01,5.88716E-02,6.68312E-06,3.82270E-02,6.83540E-07,1.21294E+01,2.16888E-04,1.44542E+00,2.58456E-05,5.43830E+05,1.18159E-03
