lon,lat,vs30,z1pt0,z2pt5,vs30measured
-76.573,3.4623,600.14,125.72,0.8,1
-76.573,3.4691,779.23,36.02,0.59,1
-76.573,3.4758,780.49,35.69,0.59,1
-76.573,3.4825,718.74,55.44,0.65,1
-76.573,3.4893,734.39,49.59,0.63,1
-76.573,3.496,876.4,18.18,0.52,1
-76.573,3.5028,876.4,18.18,0.52,1
-76.573,3.5095,852.61,21.45,0.53,1
-76.573,3.5163,772.57,37.77,0.6,1
-76.573,3.523,813.24,28.29,0.56,1
-76.5662,3.3072,567.14,155.23,0.85,1
-76.5662,3.3139,567.02,155.34,0.85,1
-76.5662,3.3207,567.02,155.34,0.85,1
-76.5662,3.3274,552.07,170.25,0.87,1
-76.5662,3.3342,557.4,164.84,0.87,1
-76.5662,3.3409,495.66,234.17,0.99,1
-76.5662,3.3476,515.61,210.32,0.95,1
-76.5662,3.3544,571.43,151.13,0.84,1
-76.5662,3.3611,571.43,151.13,0.84,1
-76.5662,3.3679,515.43,210.54,0.95,1
-76.5662,3.3746,547.37,175.13,0.88,1
-76.5662,3.3814,591.41,133.07,0.81,1
-76.5662,3.3881,657.83,85.12,0.72,1
-76.5662,3.3949,657.83,85.12,0.72,1
-76.5662,3.4016,608.13,119.28,0.78,1
-76.5662,3.4084,469.45,266.99,1.05,1
-76.5662,3.4151,677.19,74.37,0.69,1
-76.5662,3.4219,900,15.46,0.5,1
-76.5662,3.4286,900,15.46,0.5,1
-76.5662,3.4353,467.74,269.17,1.06,1
-76.5662,3.4421,684.37,70.71,0.68,1
-76.5662,3.4488,515.59,210.35,0.95,1
-76.5662,3.4556,555.81,166.44,0.87,1
-76.5662,3.4623,555.81,166.44,0.87,1
-76.5662,3.4691,675.45,75.28,0.69,1
-76.5662,3.4758,839.66,23.48,0.54,1
-76.5662,3.4825,900,15.46,0.5,1
-76.5662,3.4893,859.1,20.5,0.53,1
-76.5662,3.496,805.42,29.9,0.57,1
-76.5662,3.5028,805.42,29.9,0.57,1
-76.5662,3.5095,825.21,26,0.55,1
-76.5662,3.5163,706.52,60.46,0.66,1
-76.5662,3.523,899.68,15.49,0.5,1
-76.5595,3.3072,502.54,225.81,0.97,1
-76.5595,3.3139,543.74,178.96,0.89,1
-76.5595,3.3207,543.74,178.96,0.89,1
-76.5595,3.3274,553.9,168.38,0.87,1
-76.5595,3.3342,507.99,219.29,0.96,1
-76.5595,3.3409,467.13,269.95,1.06,1
-76.5595,3.3476,490.76,240.19,1,1
-76.5595,3.3544,493.3,237.06,0.99,1
-76.5595,3.3611,493.3,237.06,0.99,1
-76.5595,3.3679,436.28,309.7,1.15,1
-76.5595,3.3746,518.81,206.61,0.94,1
-76.5595,3.3814,607.21,120,0.78,1
-76.5595,3.3881,612.56,115.82,0.78,1
-76.5595,3.3949,612.56,115.82,0.78,1
-76.5595,3.4016,572.45,150.17,0.84,1
-76.5595,3.4084,451.5,290.04,1.1,1
-76.5595,3.4151,535.31,188.05,0.91,1
-76.5595,3.4219,868.5,19.2,0.52,1
-76.5595,3.4286,868.5,19.2,0.52,1
-76.5595,3.4353,844.58,22.69,0.54,1
-76.5595,3.4421,658.22,84.89,0.72,1
-76.5595,3.4488,555.44,166.82,0.87,1
-76.5595,3.4556,426.87,321.81,1.17,1
-76.5595,3.4623,426.87,321.81,1.17,1
-76.5595,3.4691,487.31,244.47,1.01,1
-76.5595,3.4758,559.59,162.63,0.86,1
-76.5595,3.4825,615.19,113.81,0.77,1
-76.5595,3.4893,717.68,55.85,0.65,1
-76.5595,3.496,819.42,27.08,0.56,1
-76.5595,3.5028,819.42,27.08,0.56,1
-76.5594,3.5095,707.57,60.01,0.66,1
-76.5594,3.5163,731.35,50.68,0.63,1
-76.5594,3.523,900,15.46,0.5,1
-76.5527,3.3072,402.07,353.16,1.26,1
-76.5527,3.3139,459.25,280.05,1.08,1
-76.5527,3.3207,459.25,280.05,1.08,1
-76.5527,3.3274,451.84,289.6,1.1,1
-76.5527,3.3342,446.89,296,1.11,1
-76.5527,3.3409,416.25,335.36,1.21,1
-76.5527,3.3476,473.4,261.96,1.04,1
-76.5527,3.3544,469.03,267.52,1.05,1
-76.5527,3.3611,469.03,267.52,1.05,1
-76.5527,3.3679,448.79,293.55,1.11,1
-76.5527,3.3746,500.87,227.83,0.98,1
-76.5527,3.3814,498.06,231.24,0.98,1
-76.5527,3.3881,429.05,319,1.17,1
-76.5527,3.3949,429.05,319,1.17,1
-76.5527,3.4016,417.26,334.08,1.2,1
-76.5527,3.4084,374.47,386.24,1.36,1
-76.5527,3.4151,385.25,373.61,1.32,1
-76.5527,3.4219,586.12,137.68,0.82,1
-76.5527,3.4286,586.12,137.68,0.82,1
-76.5527,3.4353,793.81,32.47,0.58,1
-76.5527,3.4421,663.48,81.84,0.71,1
-76.5527,3.4488,487.32,244.45,1.01,1
-76.5527,3.4556,600.68,125.27,0.79,1
-76.5527,3.4623,600.68,125.27,0.79,1
-76.5527,3.4691,702.84,62.06,0.66,1
-76.5527,3.4758,546.07,176.49,0.89,1
-76.5527,3.4825,441.11,303.46,1.13,1
-76.5527,3.4893,658.22,84.89,0.72,1
-76.5527,3.496,714.04,57.32,0.65,1
-76.5527,3.5028,714.04,57.32,0.65,1
-76.5527,3.5095,746.44,45.5,0.62,1
-76.5527,3.5163,858.48,20.59,0.53,1
-76.5527,3.523,900,15.46,0.5,1
-76.546,3.3072,402.07,353.16,1.26,1
-76.546,3.3139,459.25,280.05,1.08,1
-76.546,3.3207,459.25,280.05,1.08,1
-76.546,3.3274,451.84,289.6,1.1,1
-76.546,3.3342,446.89,296,1.11,1
-76.546,3.3409,416.25,335.36,1.21,1
-76.546,3.3476,473.4,261.96,1.04,1
-76.546,3.3544,469.03,267.52,1.05,1
-76.546,3.3611,469.03,267.52,1.05,1
-76.546,3.3679,448.79,293.55,1.11,1
-76.546,3.3746,500.87,227.83,0.98,1
-76.546,3.3814,498.06,231.24,0.98,1
-76.546,3.3881,429.05,319,1.17,1
-76.546,3.3949,429.05,319,1.17,1
-76.546,3.4016,417.26,334.08,1.2,1
-76.546,3.4084,374.47,386.24,1.36,1
-76.546,3.4151,385.25,373.61,1.32,1
-76.546,3.4219,586.12,137.68,0.82,1
-76.5459,3.4286,586.12,137.68,0.82,1
-76.5459,3.4353,793.81,32.47,0.58,1
-76.5459,3.4421,663.48,81.84,0.71,1
-76.5459,3.4488,487.32,244.45,1.01,1
-76.5459,3.4556,600.68,125.27,0.79,1
-76.5459,3.4623,600.68,125.27,0.79,1
-76.5459,3.4691,702.84,62.06,0.66,1
-76.5459,3.4758,546.07,176.49,0.89,1
-76.5459,3.4825,441.11,303.46,1.13,1
-76.5459,3.4893,658.22,84.89,0.72,1
-76.5459,3.496,714.04,57.32,0.65,1
-76.5459,3.5028,714.04,57.32,0.65,1
-76.5459,3.5095,746.44,45.5,0.62,1
-76.5459,3.5163,858.48,20.59,0.53,1
-76.5459,3.523,900,15.46,0.5,1
-76.5392,3.3072,353.01,409.98,1.46,1
-76.5392,3.3139,385.19,373.69,1.32,1
-76.5392,3.3207,385.19,373.69,1.32,1
-76.5392,3.3274,399.51,356.32,1.27,1
-76.5392,3.3342,405.44,348.97,1.25,1
-76.5392,3.3409,421.82,328.27,1.19,1
-76.5392,3.3476,486.5,245.48,1.01,1
-76.5392,3.3544,466.15,271.2,1.06,1
-76.5392,3.3611,466.15,271.2,1.06,1
-76.5392,3.3679,425.74,323.25,1.18,1
-76.5392,3.3746,389.87,368.08,1.3,1
-76.5392,3.3814,310.68,450.18,1.69,1
-76.5392,3.3881,272.93,477.65,1.96,1
-76.5392,3.3949,272.93,477.65,1.96,1
-76.5392,3.4016,229.89,499.43,2.38,1
-76.5392,3.4084,258.77,485.89,2.08,1
-76.5392,3.4151,273.91,477.04,1.95,1
-76.5392,3.4219,367.77,393.86,1.39,1
-76.5392,3.4286,367.77,393.86,1.39,1
-76.5392,3.4353,504.44,223.53,0.97,1
-76.5392,3.4421,531.43,192.33,0.91,1
-76.5392,3.4488,534.57,188.86,0.91,1
-76.5392,3.4556,723.27,53.68,0.64,1
-76.5392,3.4623,723.27,53.68,0.64,1
-76.5392,3.4691,773.14,37.61,0.6,1
-76.5392,3.4758,696.55,64.89,0.67,1
-76.5392,3.4825,696.37,64.97,0.67,1
-76.5392,3.4893,801.37,30.77,0.57,1
-76.5392,3.496,900,15.46,0.5,1
-76.5392,3.5028,900,15.46,0.5,1
-76.5392,3.5095,900,15.46,0.5,1
-76.5392,3.5163,874.58,18.41,0.52,1
-76.5392,3.523,900,15.46,0.5,1
-76.5324,3.3072,336.46,426.82,1.54,1
-76.5324,3.3139,363.66,398.45,1.41,1
-76.5324,3.3207,363.66,398.45,1.41,1
-76.5324,3.3274,384.94,373.98,1.32,1
-76.5324,3.3342,393.49,363.7,1.29,1
-76.5324,3.3409,440.68,304.02,1.13,1
-76.5324,3.3476,459.96,279.14,1.08,1
-76.5324,3.3544,400.45,355.17,1.26,1
-76.5324,3.3611,400.45,355.17,1.26,1
-76.5324,3.3679,349.18,414,1.48,1
-76.5324,3.3746,312.28,448.84,1.68,1
-76.5324,3.3814,291.78,464.95,1.81,1
-76.5324,3.3881,284.73,469.94,1.87,1
-76.5324,3.3949,284.73,469.94,1.87,1
-76.5324,3.4016,264.5,482.69,2.03,1
-76.5324,3.4084,266.83,481.33,2.01,1
-76.5324,3.4151,267.64,480.86,2,1
-76.5324,3.4219,253.17,488.85,2.13,1
-76.5324,3.4286,253.17,488.85,2.13,1
-76.5324,3.4353,306.01,454.02,1.72,1
-76.5324,3.4421,395.25,361.55,1.28,1
-76.5324,3.4488,420.82,329.54,1.19,1
-76.5324,3.4556,556.29,165.95,0.87,1
-76.5324,3.4623,556.29,165.95,0.87,1
-76.5324,3.4691,799.26,31.23,0.57,1
-76.5324,3.4758,884.46,17.2,0.51,1
-76.5324,3.4825,813.97,28.14,0.56,1
-76.5324,3.4893,854.1,21.23,0.53,1
-76.5324,3.496,900,15.46,0.5,1
-76.5324,3.5028,900,15.46,0.5,1
-76.5324,3.5095,900,15.46,0.5,1
-76.5324,3.5163,874.43,18.43,0.52,1
-76.5324,3.523,791.94,32.9,0.58,1
-76.5257,3.3072,331.35,431.74,1.57,1
-76.5257,3.3139,345.63,417.66,1.49,1
-76.5257,3.3207,345.63,417.66,1.49,1
-76.5257,3.3274,365.2,396.73,1.4,1
-76.5257,3.3342,381.38,378.18,1.34,1
-76.5257,3.3409,404.21,350.49,1.25,1
-76.5257,3.3476,395.09,361.75,1.28,1
-76.5257,3.3544,342.27,421.07,1.51,1
-76.5257,3.3611,342.27,421.07,1.51,1
-76.5257,3.3679,301.5,457.61,1.75,1
-76.5257,3.3746,303.06,456.38,1.74,1
-76.5257,3.3814,291.13,465.42,1.82,1
-76.5257,3.3881,277.83,474.54,1.92,1
-76.5257,3.3949,277.83,474.54,1.92,1
-76.5257,3.4016,259.46,485.51,2.08,1
-76.5257,3.4084,250.24,490.33,2.16,1
-76.5257,3.4151,242.52,494.02,2.24,1
-76.5257,3.4219,250.95,489.98,2.16,1
-76.5257,3.4286,250.95,489.98,2.16,1
-76.5257,3.4353,276.78,475.22,1.93,1
-76.5257,3.4421,318.05,443.88,1.64,1
-76.5257,3.4488,333.5,429.69,1.56,1
-76.5257,3.4556,395.69,361.02,1.28,1
-76.5257,3.4623,395.69,361.02,1.28,1
-76.5257,3.4691,471.59,264.25,1.05,1
-76.5257,3.4758,516.04,209.82,0.94,1
-76.5257,3.4825,514.31,211.85,0.95,1
-76.5257,3.4893,565.53,156.79,0.85,1
-76.5257,3.496,653.31,87.82,0.72,1
-76.5257,3.5028,653.31,87.82,0.72,1
-76.5257,3.5095,776.19,36.8,0.59,1
-76.5257,3.5163,767.37,39.19,0.6,1
-76.5257,3.523,578.95,144.13,0.83,1
-76.5189,3.3072,322.56,439.88,1.62,1
-76.5189,3.3139,330.56,432.48,1.57,1
-76.5189,3.3207,330.56,432.48,1.57,1
-76.5189,3.3274,345.7,417.59,1.49,1
-76.5189,3.3342,363.24,398.9,1.41,1
-76.5189,3.3409,363.07,399.09,1.41,1
-76.5189,3.3476,352.12,410.92,1.46,1
-76.5189,3.3544,320.45,441.76,1.63,1
-76.5189,3.3611,320.45,441.76,1.63,1
-76.5189,3.3679,282.81,471.24,1.88,1
-76.5189,3.3746,273.34,477.39,1.95,1
-76.5189,3.3814,277.43,474.8,1.92,1
-76.5189,3.3881,264.15,482.89,2.03,1
-76.5189,3.3949,264.15,482.89,2.03,1
-76.5189,3.4016,242.88,493.86,2.24,1
-76.5189,3.4084,235.32,497.2,2.32,1
-76.5189,3.4151,238.64,495.77,2.28,1
-76.5189,3.4219,252.86,489.01,2.14,1
-76.5189,3.4286,252.86,489.01,2.14,1
-76.5189,3.4353,270.05,479.42,1.98,1
-76.5189,3.4421,283.55,470.74,1.87,1
-76.5189,3.4488,303.43,456.09,1.73,1
-76.5189,3.4556,287.68,467.88,1.84,1
-76.5189,3.4623,287.68,467.88,1.84,1
-76.5189,3.4691,250.19,490.36,2.16,1
-76.5189,3.4758,260.39,485,2.07,1
-76.5189,3.4825,290.72,465.72,1.82,1
-76.5189,3.4893,354.55,408.34,1.45,1
-76.5189,3.496,412.09,340.63,1.22,1
-76.5189,3.5028,412.09,340.63,1.22,1
