#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
3,0.0584,1.4172,1.3877,1.6437,1.9884,1.7005,1.7564,1.9353,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0918,1.4125,1.3694,1.6358,1.9823,1.7203,1.7855,1.9414,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.1443,1.4038,1.338,1.6269,1.9714,1.7545,1.8261,1.9378,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.2267,1.3711,1.3088,1.6207,1.9484,1.8245,1.8482,1.9616,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.3562,1.3294,1.2714,1.6189,1.8926,1.9505,1.8504,2.0104,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.5598,1.3035,1.2115,1.6216,1.8236,2.1043,1.9244,2.069,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.8796,1.2588,1.1255,1.6378,1.7521,2.1968,2.1516,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,1.3823,1.2175,1.0574,1.648,1.6991,2.2519,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,2.1721,1.1763,0.9997,1.5979,1.6517,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,3.4133,1.1385,0.9563,1.5026,1.6051,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,5.3636,1.1019,0.917,1.4139,1.5628,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.001,1.3841,1.4683,1.6656,1.9994,1.665,1.6841,1.9092,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0016,1.3931,1.4611,1.6642,1.9986,1.6659,1.6856,1.9106,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0025,1.4044,1.454,1.6629,1.9979,1.6671,1.6869,1.9122,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0039,1.4144,1.4477,1.6619,1.9973,1.669,1.6906,1.9146,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0061,1.4143,1.4417,1.6613,1.9967,1.671,1.6951,1.9179,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0096,1.4159,1.4336,1.6599,1.996,1.6732,1.6985,1.9215,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0151,1.4176,1.4244,1.6578,1.9954,1.6774,1.704,1.9262,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0237,1.4164,1.4167,1.6551,1.9944,1.682,1.7153,1.9279,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0372,1.4157,1.4059,1.6502,1.9921,1.6893,1.7329,1.9353,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0584,1.4172,1.3877,1.6437,1.9884,1.7005,1.7564,1.9353,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.0918,1.4125,1.3694,1.6358,1.9823,1.7203,1.7855,1.9414,0.3,0.3,0.3,0.3,0.3,0.3,0.3
