#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T16:18:00', checksum=1779208469, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,6.08323E+01,3.13415E+01,8.00248E+00,3.29459E+00,5.52914E+00,5.61193E-01,5.14856E-03,1.08885E+00,3.59285E-04,2.92193E+02,9.64142E-02,6.70472E+01,2.21234E-02,3.55806E+06,8.50887E-02
structural,NAYON,5.82687E+02,1.30449E+03,5.03445E+02,2.40142E+02,5.00232E+02,5.88444E+01,1.87941E-02,6.28144E+01,2.56056E-03,5.62993E+03,2.29498E-01,1.29757E+03,5.28939E-02,2.01294E+08,2.54997E-01
structural,LLOA,1.33198E+02,4.22780E+01,9.13493E+00,3.62520E+00,5.76407E+00,5.80122E-01,2.99032E-03,2.67468E-01,3.36395E-04,4.81418E+01,6.05481E-02,1.01673E+01,1.27874E-02,7.44252E+05,8.13690E-02
structural,QUITUMBE,2.82636E+03,4.62821E+03,1.65666E+03,7.68835E+02,1.47194E+03,1.71147E+02,1.50764E-02,2.16450E+02,2.70675E-03,1.82844E+04,2.28650E-01,4.17697E+03,5.22338E-02,4.50861E+08,2.49615E-01
structural,LA ECUATORIANA,3.67940E+03,4.12036E+03,1.21502E+03,5.18572E+02,8.79649E+02,1.02489E+02,9.84245E-03,1.00834E+02,1.64803E-03,9.48053E+03,1.54950E-01,2.06247E+03,3.37090E-02,2.00270E+08,1.82512E-01
structural,ALANGASI,5.49875E+02,1.27898E+03,5.53869E+02,2.81145E+02,6.57132E+02,7.64271E+01,2.30133E-02,6.40402E+01,3.01837E-03,5.99905E+03,2.82750E-01,1.44788E+03,6.82422E-02,2.60597E+08,3.02993E-01
structural,PINTAG,5.24937E+02,3.08014E+02,9.07046E+01,4.12385E+01,8.31065E+01,8.81755E+00,8.41369E-03,8.11879E+00,8.27663E-04,1.09742E+03,1.11875E-01,2.46412E+02,2.51203E-02,1.64189E+07,1.34810E-01
structural,LA MERCED,4.28385E+02,5.44887E+02,2.03857E+02,1.03061E+02,2.60809E+02,2.85990E+01,1.85588E-02,1.59207E+01,2.08728E-03,1.81671E+03,2.38179E-01,4.46567E+02,5.85469E-02,6.04291E+07,2.56141E-01
structural,GUANGOPOLO,4.21181E+00,1.07884E+01,5.23106E+00,2.85418E+00,7.91451E+00,9.01494E-01,2.90805E-02,7.50745E+00,3.79413E-03,6.56080E+02,3.31571E-01,1.62066E+02,8.19054E-02,1.36557E+06,3.60019E-01
structural,CUMBAYA,7.87353E+02,2.26996E+03,1.01373E+03,5.12521E+02,1.13744E+03,1.36244E+02,2.38148E-02,1.10837E+02,3.38606E-03,9.50124E+03,2.90263E-01,2.26596E+03,6.92250E-02,5.49392E+08,3.04205E-01
