NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,11634.66742637,21382.97633935,7617.586784856,3478.1986725888,6454.5704499513,752.17837054485,986.229283504582,1819661894,88497.438232452,19969.72021203802,22.870411023207147,1.487459204526282,230.0135931862262,20639.8391287758,4657.443434017777
LA DELICIA,2.0,44628.0,7771897362,337268.6,13203.56537632,18144.564817379,5868.7287702862,2615.27408105261,4795.867036943909,558.963050881633,675.4541208176655,1631998049,61142.640533945,13750.501204851575,20.998708204685993,1.252494063999357,200.2718666420964,18128.76755616888,4077.017903490445
AEROPUERTO,3.0,6227.0,1307419419,69220.1,2293.27650836,2250.67932055,706.735153664,322.0331412132,654.2759121556,71.26443174019,79.920145657618,257561507,11666.109363233,2724.8013573324,19.699990901856275,1.14444245608142,115.45800375558252,16853.644191835894,3936.4308305425734
CENTRO,4.0,24490.0,4881306790,219732.8,4924.141207081,9818.30772835,3854.101760679,1882.019814023,4011.429388393,470.5096757212,569.62370957322,1361217489,52303.43748011,12460.9601922581,27.88633346940239,1.921231832262964,259.23472033907547,23803.19983184577,5670.960453904971
CHILLOS,5.0,23482.0,4951012813,147034.4,4805.51879161,8886.61209267,3632.6049296878,1831.4252315657,4325.839049718,498.803989312033,426.2110946373894,1461832566,39329.9916725555,9539.71517908079,29.525929772534205,2.124197211958236,289.87168624307606,26748.83678415085,6488.083862742862
NORCENTRAL,6.0,1561.0,172740642,8643.2,1275.7535147,239.6384019334,29.214981651447,8.44156164877273,7.951530100031975,0.82914346022075,0.352459364810959,3756638,93.13531348758247,16.32744174174273,2.174727341934948,0.053116172980189,4.077880470323021,1077.555922431304,188.90505532375428
NORTE,7.0,47022.0,14695707103,391841.8,9385.68755739,18737.5137299,7525.191325492,3682.219073725,7691.388396164,908.5813594918,1193.80670572819,4143614751,97675.018626046,23259.754406161,28.196089662680972,1.932247372489048,304.66548125498355,24927.15647642646,5936.006420489341
QUITUMBE,8.0,51627.0,6343312878,319111.3,15422.95086859,20446.51516209,6779.792646323,3082.202779836,5895.538431088,678.84012353005,689.76642398385,1425099062,62203.083485851,14088.9605719075,22.46616380414003,1.314893609022508,216.15230296885443,19492.59818936246,4415.061632699156
TUMBACO,9.0,12695.0,3557048499,88464.3,2100.69508453,4904.94764321,2107.73639741,1069.981300277,2511.63959529,292.965082944,257.1219620562,1050624180,24084.06706616,5800.325745878,29.53640299917508,2.307720227995274,290.6505359294088,27224.617236738435,6556.685290990828
NOROCCIDENTE,10.0,633.0,48090042,4494.6,577.1547687,48.52291913543,5.119386431488711,1.2796106963219,0.92331380414769,0.084860193326867,0.089855173656074,558671,23.38849888212153,3.777984685272374,1.161719324824575,0.013406033700927,1.999180653585936,520.3688622373855,84.05608252730774
CALDERON,11.0,23947.0,3772812761,158465.7,5873.16610888,9071.89546106,3488.248375054,1711.394401645,3802.295623233,435.3081932997,454.66730246119,1023855317,40356.298861857,9582.7392293769,27.137718783996554,1.817798443645133,286.9184324817232,25466.898427771433,6047.200895447343
