NM_PARR,ID_PARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,749.70463541,1789.1068778,718.02175816,345.070122163,698.09657576,81.6302289938,120.689708994,214902819,10531.7408229,2467.210084857,27.52248850146245,1.898377418460465,294.2237729529958,25674.836293049437,6014.6955849433325
LA LIBERTAD,2.0,2825.0,385733696,27497.7,855.9708712,1191.71936714,351.521898155,151.843903826,273.943887706,31.190058675,33.28130567718,64359467,3759.446406507,833.4408104954,16.68494799122345,1.104072873451327,121.03305249959087,13671.857669939669,3030.9473537619506
COTOCOLLAO,3.0,3838.0,715905633,30843.4,991.08396827,1637.8015969,542.19132734,239.56475586,427.35834494,50.031796302800004,63.4612126025,154033680,5765.64164064,1278.329087524,21.515919513273403,1.303590315341324,205.75297341570644,18693.27519222913,4144.579026709117
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,383.25809826,890.53367924,462.70147535,255.11813796,651.38860025,75.746031408,59.192169791,496998066,4707.76899581,1196.110468826,34.32789346891813,2.865911139160045,434.23078744818986,34535.95712731541,8774.60638099989
LA MAGDALENA,5.0,3647.0,781109400,28352.0,642.38761655,1530.2603053,606.56970876,289.037991043,578.744396109,67.3501284483,79.29998038063,206165808,6992.988108605,1623.31675049,26.393973428742356,1.846726856273649,279.6980120648631,24664.88469457181,5725.581089482223
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,534.81201468,1332.2734728,664.43912252,360.388462955,892.0868505359999,105.1178618104,140.8093056859,371547516,13223.73006635,3338.436871397,33.75573842290763,2.777956178921776,344.9289382767431,32393.08048304007,8177.893356874974
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,1756.02023809,3546.87415406,1337.59792144,619.971504436,1153.5362154929999,137.2094785017,163.25476516009,322845718,14473.056556337,3270.047660276,23.6259874813365,1.630728292152365,254.73928434798006,22583.451489907467,5102.513240245291
SOLANDA,8.0,9002.0,1277371113,78250.0,1440.00935901,3889.99706939,1589.0705255999999,746.803219095,1336.119765272,156.1915054797,238.09748442853,338712804,19569.26821716,4430.345656377,26.516397650262192,1.735075599641191,304.2779353719233,25008.64947879872,5661.783586424281
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,884.85714488,2001.1888733,730.55410586,333.4433444,597.956604101,73.0786619207,81.50037060646,231220265,6768.5833804,1516.382907831,22.841382814776797,1.606830737042656,254.2246980712075,21113.291307114516,4730.064219770793
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,1151.08633837,2355.371691,930.56037474,454.20613167,977.77555048,112.829460701,141.8876583727,271944814,12044.16296508,2835.197933793,27.240076151124793,1.922464827074459,307.50285179565645,26102.442606567998,6144.519262954062
SAN ISIDRO,11.0,4473.0,980491758,41692.8,750.4283448,1734.9227385,757.32229353,383.48056646,846.84602231,98.256032522,145.24684991109999,314065435,12288.69929891,2946.386106955,32.03142019954785,2.196647273015873,348.3739396516904,29474.391978734937,7066.89430058667
JIPI JAPA,12.0,3757.0,1218171533,32794.0,451.10408993,1406.66956067,696.41589774,368.06080694999997,834.74960821,100.783692074,157.5951003892,427151838,11848.9582872,2934.173696885,35.0649991992025,2.682557680968858,480.5607744989938,36131.48224431298,8947.288213956821
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,1458.0683537300001,2819.6636415,1002.25719781,461.17718678,899.8335812180001,104.1935408871,142.2375682361,248477607,13470.01878668,3068.074786567,23.06903191848498,1.56894354595844,217.65537244295706,20612.1490418195,4694.84235869833
PONCEANO,14.0,5960.0,1623701668,54338.6,1200.50565856,2399.6206754,963.19232898,465.871246021,930.810151503,109.7593432285,173.3198994672,450858504,14385.85192555,3350.792143489,27.767324082379087,1.841599718598993,318.96276213814855,26474.461847655257,6166.504369801577
KENNEDY,15.0,8635.0,1747759641,69186.8,1446.45403672,3354.520154,1461.38002187,740.36571105,1632.28011876,193.002865662,274.4348099325,562364098,21846.78321875,5298.82204076,32.176283539148535,2.235122937602779,396.65775831878335,31576.51924752987,7658.718195898639
LA  ARGELIA,16.0,7198.0,1000393637,57912.3,1813.12992161,3028.2851957000003,1015.98150961,458.750786491,881.852526577,101.0113029412,116.9939196598,211541234,10907.648179150001,2440.627872815,21.145799658292148,1.403324575454293,202.01912142981715,18834.769434386133,4214.351481144765
LLANO CHICO,17.0,1752.0,181756281,8115.9,396.43234919,625.4491825,248.63982119,129.44642632,352.03221388,38.400283554,22.4951045602,54497408,2249.00092551,559.230546878,29.983782490093358,2.191797006506849,277.1732594068434,27711.047764388426,6890.554921549059
ZAMBIZA,18.0,461.0,57919150,2954.7,86.49773326,170.6810096,71.4275897,36.88733962,95.50632605,10.644391652,8.614780875,17474494,839.29561942,206.944513661,30.170494323140634,2.30897866637744,291.5619479134937,28405.442834128673,7003.90948864521
CHILIBULO,19.0,5126.0,869344433,48791.3,1507.27404139,2193.88443881,657.237557088,280.675683192,486.9281542147,55.660500444360004,68.20369416811,152532993,7000.068484814,1515.5165387727,17.545749144522983,1.085846672734296,139.7865893470967,14346.960390098235,3106.1204328900844
LA MENA,20.0,6046.0,794620550,44212.7,2134.87549718,2542.62661699,681.715678985,273.086983139,413.6951628077,48.35156312236,57.18469491214,123738660,5504.507279457,1144.4136099028,15.572043722461956,0.799728136327489,129.33997451442687,12450.059099437492,2588.4273294840627
CARCELEN,21.0,7979.0,1203740583,55415.3,1745.38076739,3423.9722734,1229.72564438,560.504720118,1019.416490283,122.4094524691,141.5464755029,291956385,12055.06911723,2718.366969225,24.25409503233282,1.534145287242762,255.42851072339226,21754.044672193417,4905.444830624394
PERUCHO,22.0,154.0,13287952,475.6,133.0250215,18.074709258,1.90831149519,0.526182600933,0.4657753308455,0.04918894887148,0.009886787168574,169348,2.687364881905,0.4465770069529,1.274444135634209,0.031940875890571,2.078803021146762,565.0472838320017,93.89760448967618
GUANGOPOLO,23.0,31.0,3793046,1978.7,4.211805060000001,10.7884398,5.23106002,2.85418165,7.91451362,0.901494157,7.507450733,1365570,656.0804392,162.06618319,36.00193947538732,2.908045667741936,379.4132881689998,33157.145560216304,8190.538393389598
RUMIPAMBA,24.0,3508.0,1517196293,28308.2,757.66964177,1481.65512776,555.76643598,255.598292472,457.310561017,55.4723819862,82.02217246902,360936897,6364.170346011,1485.464497363,23.789729711075868,1.581310774977195,289.747043150112,22481.72030016391,5247.47068822108
ITCHIMBIA,25.0,4025.0,994320733,33931.2,553.313649211,1573.6087967,714.26104166,364.905780511,818.910673281,96.0268307828,116.6454830285,317068583,10070.34505528,2431.813043925,31.887958533297965,2.385759771001243,343.77057996327864,29678.717685434058,7166.893725907129
PUENGASI,26.0,8161.0,1139284656,63206.3,1704.98215453,3417.4749977,1273.40276383,597.393635246,1167.746406561,137.7976211542,168.6281573491,286224590,14520.804283810001,3333.979507328,25.123184872056992,1.688489414951599,266.7901100825393,22973.66604881159,5274.758223987166
CHAVEZPAMBA,27.0,70.0,11024840,463.7,58.3916482,9.695949057,1.21253000712,0.3563368623782,0.3435354198904,0.03570597061556,0.012935075923448,191253,3.835961935089,0.68182559908597,1.734750116446359,0.0510085294508,2.789535459014017,827.2507947140392,147.04024133835884
BELISARIO QUEVEDO,28.0,5368.0,1346079857,44574.1,1291.63864284,2316.72533407,782.85438703,349.431484795,627.350135578,74.1909131027,74.93099009241,288503610,7044.14835208,1548.0017948079999,21.43287472604663,1.382095996697094,168.10432536475219,15803.231814170113,3472.872800141786
QUITUMBE,29.0,11352.0,1806225117,79966.9,2826.34884863,4628.2062012,1656.66278251,768.836212124,1471.945871771,171.1476827337,216.45122072914,450861573,18284.44227151,4176.986070089,24.961538235036972,1.507643434933932,270.67601811391967,22865.013238614978,5223.3937667822565
IÑAQUITO,30.0,5297.0,3609643787,45074.9,940.33475568,1848.94332446,922.3538386500001,489.066456044,1096.301639518,128.2797232766,186.1596844562,1104371264,13947.25861272,3508.310496862,30.59502069893171,2.421742935182179,413.0007708418654,30942.40611231528,7783.290693627718
CHILLOGALLO,31.0,7751.0,931633339,56227.7,2788.39275016,3123.64647037,874.0509873350001,363.947851646,600.96191532,68.52799645525,75.91559691475,156811998,7659.484930407,1642.1339886838,16.831943551330127,0.884118132566766,135.0145869646989,13622.262568817507,2920.5071320431034
NAYON,32.0,3131.0,789397336,24531.5,582.68646775,1304.493827,503.44495026,240.14231601,500.23243425,58.8443996,62.8144169046,201293759,5629.9347468,1297.567816842,25.49967549035627,1.879412315554136,256.05616005788477,22949.818587530317,5289.394520685649
TURUBAMBA,33.0,9624.0,1153835415,53379.1,2373.85396618,3691.5551593,1402.78469226,683.33064905,1472.47558194,168.168950937,149.2574938647,313557231,13262.93917735,3125.074421999,27.175212944354303,1.747391427026184,279.61785392541276,24846.689392196567,5854.490656453557
GUAMANI,34.0,12487.0,1354320151,68353.0,3754.95816361,4882.7457431,1631.27647001,747.515293887,1470.504239576,168.5058959172,147.30769699204,303598182,13515.66717756,3082.287090811,22.417017244857036,1.349450595957396,215.51021460951242,19773.33427583281,4509.366217738797
SAN JUAN,35.0,5695.0,1261273325,54274.9,1275.06251746,2303.23109401,850.476934514,407.48803148499996,858.741570309,100.3773032988,110.25945783254,322017333,10729.111668163,2523.2899591127,25.53113009069934,1.76255141876734,203.14999720412197,19768.091084761094,4649.091862191732
POMASQUI,36.0,3927.0,796730654,31179.7,1277.53126059,1654.211876429,471.77113745,196.575770435,326.9098600606,38.61322996818,45.359381370343996,131157449,4517.443851226,980.103276817,16.46195595596106,0.983275527582888,145.4772860878841,14488.413458840207,3143.401882689699
COCHAPAMBA,37.0,5201.0,968964540,57034.9,1810.7586015,2227.1801013,580.970329522,230.624617964,351.46634612,40.2822662876,61.2953603007,139235026,6389.417767945,1321.590065368,14.36946555524822,0.77451002283407,107.46991806893672,11202.645692277887,2317.1603095087394
LA ECUATORIANA,38.0,10413.0,1097298856,61184.6,3679.39714001,4120.36158812,1215.017714208,518.572773129,879.650822481,102.4895974869,100.83441548322,200270078,9480.549929024,2062.4790003247,18.25118807938954,0.984246590674157,164.80358698630047,15494.993722315747,3370.911962037343
TABABELA,39.0,78.0,19805895,1410.3,27.49719362,27.0692957,9.07036552,4.357467542,10.005677959,1.073055937,2.09055277075,3630732,230.30951512000001,52.049975690000004,18.331570815678706,1.37571273974359,148.2346146741828,16330.533582925622,3690.7023817627455
CUMBAYA,40.0,5721.0,1805991449,32733.2,787.35067818,2269.956484,1013.7346864,512.52087718,1137.43728413,136.244528033,110.8367366029,549391968,9501.24958156,2265.955827956,30.420518794166334,2.381481000402028,338.60648089065535,29026.33895115662,6922.500177055711
ALANGASI,41.0,3321.0,860076609,21216.8,549.87466512,1278.9787869,553.86939262,281.14494473,657.13222333,76.427079131,64.0402352975,260597492,5999.0534279,1447.882280432,30.299334870561516,2.301327284884071,301.837389698258,28275.015213887113,6824.225521435844
LA MERCED,42.0,1541.0,235921217,7627.5,428.38534711,544.8869098,203.85745441,103.061219592,260.809071658,28.5990520929,15.92070273715,60429134,1816.707330726,446.5670739334,25.614115929274284,1.855876190324464,208.72766617043592,23817.860776479843,5854.697790015078
PUEMBO,43.0,609.0,189241634,9060.9,177.65108688,225.720637,78.23864445,37.847432633,89.542196904,9.7341081415,14.83404406516,45773895,1958.922743328,470.277719005,24.188067970436805,1.598375721100164,163.71490762683618,21619.516199582824,5190.187718714476
CONOCOTO,44.0,13693.0,3071911171,84022.1,2509.2704263,5345.54047326,2200.49994913,1102.922306123,2534.76691984,296.676917953,266.0966872169,920921657,23005.89243657,5534.944446451,29.978785370575544,2.166631986803476,316.6984486425595,27380.76343791693,6587.486442794216
EL CONDADO,45.0,13392.0,1573501467,82977.8,5072.79331404,5339.1612236,1436.092847926,587.859036489,956.0937874150001,107.6499674359,88.58177701898,247942339,9649.480057415,2039.1520978258,15.757363100867222,0.803837869145012,106.75358592175257,11628.98999179901,2457.4670548337026
GUAYLLABAMBA,46.0,1804.0,324104635,13715.4,652.13464198,688.6120856,209.234450462,91.05057507,162.9682507778,18.4016873568,17.944969526893,52952316,1895.646216448,414.1857472628,16.338031056443647,1.020049188292683,130.83810553751988,13821.297347857153,3019.859043577293
AMAGUAÑA,47.0,3848.0,657517842,22380.0,788.83978814,1398.4038475,578.44249583,300.20405585,782.10980818,87.38189221100001,64.5272238317,202099801,6754.83821824,1701.842948835,30.736778265776877,2.270839194672557,288.32539692448614,30182.47639964254,7604.302720442359
TUMBACO,48.0,6974.0,1751057050,55731.1,1313.34440635,2634.99115921,1094.00171101,557.460423097,1374.20231116,156.720554911,146.2852254533,501232211,14582.8174846,3534.369917922,28.624550603306847,2.247211857054775,262.48400884479224,26166.390910281694,6341.826947470981
YARUQUI,49.0,1188.0,202221566,9989.4,447.6719299,417.48635142,132.614956766,61.492419628,128.734352428,13.8414230572,9.86701164692,36368909,1571.8806255069999,372.3338691968,17.984683944193684,1.165102950942761,98.77481777604261,15735.485870092298,3727.289618964102
PUELLARO,50.0,413.0,53917846,2897.5,320.571886,77.233579172,9.59105996456,2.82432736632,2.779144402581,0.2878061689549,0.15341063554569,1417676,35.715000553879,6.2515563259797,2.629325473971202,0.069686723717893,5.294586213828818,1232.6143418077309,215.75690512440727
EL QUINCHE,51.0,740.0,131286902,12136.699999999999,374.0676749,232.2025141,60.236556844,25.786358067,47.7068997716,4.98690436732,9.58195012324,20861292,1383.790029614,296.1264872834,15.889850230870264,0.673905995583784,78.95020988604811,11401.699223133144,2439.925904763239
CALDERON,52.0,22195.0,3591056480,150349.8,5476.73375969,8446.44627856,3239.608553864,1581.947975325,3450.263409353,396.9079097457,432.17219790099,969357909,38107.297936347,9023.5086824989,26.99366926591309,1.788276232240144,287.44447807778266,25345.75898095442,6001.676545295637
ATAHUALPA,53.0,264.0,31752846,1252.0,223.4081055,35.235380961,3.563427503407,0.9614581147457,0.83162491849104,0.086245788966294,0.029741738099345,614916,12.6424076358106,2.25853221943367,1.93657070005172,0.03266885945693,2.375538186848642,1009.7769677165014,180.39394723911101
CHECA,54.0,455.0,105720419,6107.4,178.78679951,158.07581820000001,49.296039706,22.587164246,46.2541718186,4.90394919194,6.1406132124,16361754,834.745777999,188.2170787521,15.47643700526025,1.077791031195604,100.54381917673642,13667.776435127878,3081.78731951567
SAN ANTONIO,55.0,3447.0,793464061,31990.1,1651.2363051,1270.65319581,277.380357425,103.13663157763,144.593439063776,16.3785930765588,19.92391896804691,78111815,2316.71704585065,455.735415540188,9.844404891836774,0.475155006572637,62.2815151188865,7241.981256234429,1424.6139134925743
GUALEA,56.0,68.0,4000364,346.3,62.0319881,5.1286723751,0.584824602313,0.14659047577766,0.10792351471829,0.01033087377064,0.002733222259943,33602,1.0175693806851,0.15936942472903,0.839966091280609,0.015192461427412,0.789264296835952,293.84042179760326,46.02062510223217
NANEGALITO,57.0,88.0,12448632,1397.6,74.3242153,11.715013508,1.33442160862,0.35627067735,0.2700798394061,0.02354536796531,0.024159125527412,200559,6.030788999554,0.8963804152427,1.611094105158259,0.02675609996058,1.728615163667144,431.510374896537,64.13712186911134
CALACALI,58.0,109.0,41815855,3030.6,60.8322984,31.34149132,8.0024817015,3.29458979735,5.5291382835,0.561192800568,1.0888486951355,3558058,292.192912022,67.04726103275,8.508872780458816,0.514855780337615,35.92848594784861,9641.421237444729,2212.34280448591
NONO,59.0,107.0,24711254,1351.1999999999998,53.1154656,32.43079352,9.8122703437,4.26119908463,7.380274915033,0.7300148990262,0.2849488198591,2435005,116.08101893135,25.777019604837,9.853828675412752,0.682256914977757,21.08857458992747,8590.957588169776,1907.7131146267766
NANEGAL,60.0,83.0,11161607,1121.6,71.8667076,9.3381325421,1.191583080596,0.32996853966609,0.27360727013279,0.025797717946371,0.050485575398817,202620,12.8448469838877,2.23582322357353,1.815325681205561,0.031081587887194,4.501210360094222,1145.225301701828,199.34229882074985
PIFO,61.0,1353.0,335038369,16800.0,435.46718157,501.51261853,168.044139916,78.9117240272,169.0643624966,18.32330368843,19.461004312255,81612608,3790.814455217,931.6104801423,24.359182714253176,1.354272260785661,115.83931138247024,22564.371757244047,5545.3004770375
SAN JOSE DE MINAS,62.0,660.0,62757157,3554.4,540.3568535,99.3987834854,12.93965268117,3.77325670439583,3.531450028224035,0.370196582812516,0.146485128073902,1363445,38.25457848089886,6.688950590290493,2.172572966442548,0.05609039133523,4.121233628007606,1076.259804211649,188.18789641825603
PACTO,63.0,394.0,20479440,1629.1,368.9318577,22.34110071023,2.008557139959711,0.44678100352815,0.27170317989051,0.025186233644546,0.012477250469902,121891,3.495293517994733,0.486411621727114,0.595186827270836,0.006392445087448,0.765898377625794,214.5536503587707,29.857689627838305
PINTAG,64.0,1048.0,121792928,9809.3,524.93675988,308.01363541,90.7045776778,41.2385236207,83.10651308999999,8.817553767133,8.1187948211394,16418912,1097.4198199195,246.41224623939,13.481006206457199,0.841369634268416,82.76630158257369,11187.544676169555,2512.026813731765
LLOA,65.0,194.0,9146620,795.1,133.1977634,42.2780398,9.134927403,3.6251962498,5.7640724999,0.58012172633,0.267467565182,744252,48.141797349,10.16725198052,8.136903079176715,0.299031817695876,33.639487508741034,6054.810382216074,1278.7387725468493
