#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T16:18:00', checksum=1779208469"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,1.16538E+05,4.21494E+04,1.96831E+04,3.77395E+04,4.38607E+03,5.06258E+03,4.62837E+05,1.05371E+05,1.39425E+10,structural
1,1.13469E+05,3.91144E+04,1.82985E+04,3.76866E+04,4.36381E+03,4.85959E+03,4.35674E+05,1.01338E+05,1.37134E+10,structural
2,1.15253E+05,4.35051E+04,2.00155E+04,3.69862E+04,4.27779E+03,4.91076E+03,4.54650E+05,1.02494E+05,1.34227E+10,structural
3,1.12364E+05,4.23210E+04,2.04698E+04,4.21375E+04,4.91460E+03,5.57262E+03,4.97678E+05,1.16519E+05,1.48460E+10,structural
4,1.11826E+05,4.12958E+04,1.97413E+04,4.19071E+04,4.88173E+03,5.63058E+03,4.95492E+05,1.17284E+05,1.43358E+10,structural
5,1.14030E+05,4.19212E+04,1.95844E+04,4.17987E+04,4.86078E+03,5.60773E+03,4.91443E+05,1.16796E+05,1.47249E+10,structural
6,1.10990E+05,4.12549E+04,2.01959E+04,4.58938E+04,5.33707E+03,6.16944E+03,5.31466E+05,1.28393E+05,1.51677E+10,structural
7,1.13726E+05,4.09147E+04,1.95600E+04,4.20246E+04,4.89788E+03,5.67630E+03,4.97557E+05,1.17621E+05,1.43851E+10,structural
8,1.11128E+05,4.20665E+04,2.04523E+04,4.23420E+04,4.94297E+03,5.56479E+03,4.95622E+05,1.15546E+05,1.41227E+10,structural
9,1.13136E+05,4.09541E+04,1.94120E+04,3.92819E+04,4.55488E+03,5.39942E+03,4.79892E+05,1.12349E+05,1.44071E+10,structural
10,1.16869E+05,4.40794E+04,2.04349E+04,3.90078E+04,4.51428E+03,4.96538E+03,4.65484E+05,1.05468E+05,1.43956E+10,structural
11,1.14602E+05,4.09561E+04,1.90454E+04,3.83307E+04,4.44343E+03,5.02985E+03,4.52385E+05,1.05071E+05,1.41787E+10,structural
12,1.13544E+05,4.34953E+04,2.05699E+04,4.16467E+04,4.84129E+03,5.37994E+03,4.91219E+05,1.13761E+05,1.40826E+10,structural
13,1.16276E+05,4.10695E+04,1.92721E+04,4.01244E+04,4.66053E+03,5.50720E+03,4.84943E+05,1.14700E+05,1.49482E+10,structural
14,1.13063E+05,4.29061E+04,2.04113E+04,4.07871E+04,4.71923E+03,5.33237E+03,4.83419E+05,1.11790E+05,1.43403E+10,structural
15,1.17573E+05,4.14488E+04,1.91615E+04,3.71189E+04,4.31354E+03,4.77965E+03,4.37036E+05,9.94477E+04,1.38375E+10,structural
16,1.13942E+05,4.33724E+04,2.05246E+04,4.12047E+04,4.80079E+03,5.72481E+03,5.09374E+05,1.18401E+05,1.47563E+10,structural
17,1.13586E+05,4.33721E+04,2.09811E+04,4.37554E+04,5.07872E+03,5.60555E+03,5.03944E+05,1.18090E+05,1.47266E+10,structural
18,1.15619E+05,4.13650E+04,1.96057E+04,3.85359E+04,4.47696E+03,5.19381E+03,4.71213E+05,1.09157E+05,1.40779E+10,structural
19,1.14553E+05,4.21028E+04,2.01088E+04,4.04174E+04,4.69165E+03,5.30881E+03,4.84933E+05,1.11913E+05,1.39929E+10,structural
20,1.13551E+05,4.03197E+04,1.92258E+04,3.93930E+04,4.55462E+03,5.26176E+03,4.68687E+05,1.09324E+05,1.40184E+10,structural
21,1.16949E+05,4.13908E+04,1.91478E+04,3.64115E+04,4.22167E+03,4.83430E+03,4.42497E+05,1.01215E+05,1.32483E+10,structural
22,1.13816E+05,3.97926E+04,1.89029E+04,4.04428E+04,4.69790E+03,5.58994E+03,4.87173E+05,1.16006E+05,1.39047E+10,structural
23,1.08638E+05,4.21300E+04,2.09087E+04,4.44346E+04,5.20291E+03,5.92167E+03,5.20815E+05,1.22632E+05,1.51268E+10,structural
24,1.11748E+05,4.18751E+04,2.01120E+04,4.23540E+04,4.91888E+03,5.59825E+03,4.95776E+05,1.16617E+05,1.43542E+10,structural
25,1.15488E+05,4.19759E+04,1.97891E+04,3.98376E+04,4.63692E+03,5.17976E+03,4.67483E+05,1.07966E+05,1.36099E+10,structural
26,1.13116E+05,4.19037E+04,1.97004E+04,3.95839E+04,4.60656E+03,5.46492E+03,4.83634E+05,1.13173E+05,1.40759E+10,structural
27,1.13070E+05,4.03446E+04,1.93448E+04,3.98200E+04,4.62132E+03,5.44212E+03,4.80559E+05,1.13128E+05,1.42519E+10,structural
28,1.13753E+05,4.25204E+04,1.99978E+04,3.83802E+04,4.43349E+03,5.10653E+03,4.67044E+05,1.07211E+05,1.39324E+10,structural
29,1.14372E+05,4.01888E+04,1.89474E+04,3.87313E+04,4.50230E+03,5.14136E+03,4.60744E+05,1.06853E+05,1.39442E+10,structural
30,1.12938E+05,4.21060E+04,2.01600E+04,4.37050E+04,5.09394E+03,5.93918E+03,5.11652E+05,1.21971E+05,1.49343E+10,structural
31,1.12166E+05,4.24807E+04,2.04730E+04,4.38611E+04,5.11372E+03,5.79391E+03,5.13408E+05,1.21608E+05,1.49964E+10,structural
32,1.07208E+05,4.27574E+04,2.12139E+04,4.75584E+04,5.58410E+03,6.35864E+03,5.50128E+05,1.31224E+05,1.55005E+10,structural
33,1.14719E+05,4.18102E+04,1.93990E+04,3.71043E+04,4.30575E+03,5.09757E+03,4.63353E+05,1.06659E+05,1.43100E+10,structural
34,1.16789E+05,4.21964E+04,1.93222E+04,3.69064E+04,4.28655E+03,4.82108E+03,4.43820E+05,1.01568E+05,1.33870E+10,structural
35,1.11792E+05,4.18275E+04,1.98536E+04,4.11612E+04,4.78425E+03,5.61062E+03,4.92547E+05,1.16195E+05,1.46121E+10,structural
36,1.14262E+05,4.07539E+04,1.91542E+04,3.95842E+04,4.58509E+03,5.44984E+03,4.81785E+05,1.13108E+05,1.44889E+10,structural
37,1.16710E+05,4.24126E+04,1.94110E+04,3.70374E+04,4.30356E+03,4.84967E+03,4.47925E+05,1.01844E+05,1.34838E+10,structural
38,1.11632E+05,4.26779E+04,2.04579E+04,4.05556E+04,4.70951E+03,5.45155E+03,4.89975E+05,1.13691E+05,1.40940E+10,structural
39,1.12734E+05,4.42117E+04,2.12701E+04,4.27802E+04,4.97180E+03,5.29198E+03,4.89382E+05,1.11865E+05,1.44156E+10,structural
40,1.13459E+05,4.27563E+04,2.03741E+04,4.19440E+04,4.87905E+03,5.64254E+03,5.03246E+05,1.17508E+05,1.48454E+10,structural
41,1.16621E+05,4.09005E+04,1.89784E+04,3.85666E+04,4.46186E+03,4.87976E+03,4.42242E+05,1.02139E+05,1.38132E+10,structural
42,1.13357E+05,4.02153E+04,1.91011E+04,3.94519E+04,4.60357E+03,5.31307E+03,4.73961E+05,1.10327E+05,1.45215E+10,structural
43,1.17372E+05,4.06877E+04,1.86839E+04,3.70839E+04,4.30238E+03,5.06561E+03,4.53194E+05,1.04691E+05,1.36706E+10,structural
44,1.14439E+05,4.20666E+04,1.96224E+04,3.90487E+04,4.54342E+03,5.26150E+03,4.73285E+05,1.09662E+05,1.41401E+10,structural
45,1.15082E+05,4.23512E+04,1.99039E+04,3.89799E+04,4.52068E+03,5.18111E+03,4.70295E+05,1.08016E+05,1.38670E+10,structural
46,1.09614E+05,3.86985E+04,1.88507E+04,4.41886E+04,5.18338E+03,5.78128E+03,4.92607E+05,1.19504E+05,1.45415E+10,structural
47,1.11321E+05,4.10648E+04,2.00815E+04,4.28117E+04,4.99257E+03,5.72936E+03,5.01811E+05,1.18478E+05,1.46437E+10,structural
48,1.10697E+05,4.39065E+04,2.12583E+04,4.21966E+04,4.90306E+03,5.66206E+03,5.12693E+05,1.17770E+05,1.45207E+10,structural
49,1.14090E+05,4.15440E+04,1.96748E+04,4.09582E+04,4.75549E+03,5.66828E+03,5.01921E+05,1.18714E+05,1.48793E+10,structural
50,1.14305E+05,4.11405E+04,1.94041E+04,4.03871E+04,4.70494E+03,5.34841E+03,4.77048E+05,1.11812E+05,1.37230E+10,structural
51,1.11122E+05,4.28818E+04,2.07374E+04,4.30210E+04,4.98898E+03,5.75731E+03,5.11102E+05,1.19491E+05,1.47714E+10,structural
52,1.11498E+05,4.19138E+04,2.00613E+04,4.29760E+04,4.99674E+03,5.54592E+03,4.89914E+05,1.15427E+05,1.42772E+10,structural
53,1.10694E+05,4.18695E+04,2.01567E+04,4.33779E+04,5.06336E+03,5.77381E+03,5.09060E+05,1.20799E+05,1.44699E+10,structural
54,1.11743E+05,4.05792E+04,1.93720E+04,3.88572E+04,4.50948E+03,5.32794E+03,4.73910E+05,1.10805E+05,1.44660E+10,structural
55,1.16681E+05,4.14413E+04,1.91598E+04,3.91692E+04,4.56099E+03,5.21473E+03,4.66167E+05,1.08529E+05,1.42377E+10,structural
56,1.12988E+05,4.26188E+04,2.04294E+04,4.23214E+04,4.91490E+03,5.61738E+03,4.94338E+05,1.16123E+05,1.48858E+10,structural
57,1.19323E+05,4.26905E+04,1.94228E+04,3.85473E+04,4.47031E+03,5.13802E+03,4.64012E+05,1.07548E+05,1.39041E+10,structural
58,1.16241E+05,4.23727E+04,1.97728E+04,3.82925E+04,4.46725E+03,4.86665E+03,4.49412E+05,1.01649E+05,1.30816E+10,structural
59,1.13764E+05,4.26420E+04,2.02490E+04,4.24501E+04,4.93725E+03,5.67804E+03,5.00376E+05,1.17882E+05,1.45853E+10,structural
60,1.18176E+05,4.10851E+04,1.91530E+04,3.96560E+04,4.61581E+03,5.34366E+03,4.70531E+05,1.10431E+05,1.38933E+10,structural
61,1.14525E+05,4.15424E+04,1.94387E+04,3.80629E+04,4.40101E+03,5.13610E+03,4.68311E+05,1.07594E+05,1.38335E+10,structural
