NM_BARR,ID_BARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
SANTA MARTHA,1.0,4.0,295889,13.999999999999998,3.0109437,0.72626464,0.139926562,0.0509427918,0.0719223026,0.00716553036,0.001035643349,12592,0.419385582,0.0892948215,4.255651232433304,0.179138259,7.397452492857144,2995.6113000000005,637.8201535714286
NAYÓN CENTRO,2.0,977.0,139613033,6167.3,197.14581442,399.929396,150.91754834,72.37307877,156.63415702,18.060019651,15.5025162872,36056403,1445.95580939,337.93842283,25.825957501264362,1.848517876253839,251.36634000616155,23445.524125468197,5479.519770888395
ORGANIZACIÓN ARA,3.0,38.0,1867125,56.7,22.9166722,8.8880715,2.730109286,1.2204633854,2.2446845655,0.22509163031,0.008500997016,175284,4.539053576000001,1.06752175222,9.38791747782231,0.592346395552632,14.992940063492062,8005.385495590829,1882.7544130864196
SANTA ANA,4.0,59.0,8841705,324.7,12.41224594,22.9921668,8.83611625,4.37022843,10.38924423,1.076682402,0.6130825061,1962974,64.45645378,14.71492424,22.201307125520287,1.824885427118644,188.81506193409302,19851.079082229753,4531.852245149369
NINALLACTA,5.0,59.0,53653784,2483.7,11.9046666,24.592023400000002,9.24290161,4.357253505,8.903153945,0.9947406204,5.654706674,12076545,499.92929829999997,109.81724411,22.508281192772607,1.686001051525424,227.67269291782424,20128.409159721385,4421.518062165319
ALLPALLACTA,6.0,193.0,23893549,1794.0,49.70645227,81.7888161,27.78655976,12.369772335999999,21.348403642,2.5791405982,4.4535267344,5517702,375.37600113,83.690151597,23.092851545879075,1.336342278860104,248.2456373690078,20923.968847826087,4665.002876086956
LA CRISTALINA,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO DE HUARCAY,8.0,199.0,17497074,1208.4,93.5697875,66.4995653,17.573305134,7.521825148,13.835511623999999,1.4943894755,1.0968579498,2214885,130.165558931,28.2531397084,12.658603787335151,0.750949485175879,90.76944304865938,10771.727816203243,2338.061875902019
LA VICTORIA,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NÉSTOR ROMERO DÍAZ,10.0,335.0,39553813,2106.0,89.29000369,136.4786507,46.80757634,21.33267003,41.09108644,4.7226628062,4.4078454566,8799224,416.73995943,94.314576206,22.24621011751972,1.409750091402985,209.29940439696105,19788.222195156697,4478.374938556505
LA INDEPENDENCIA,11.0,228.0,16218429,1104.0,113.0750259,81.6769171,17.574961084,6.557850005,9.11524991,1.0700864073,0.86242780338,1720411,88.60945327,17.8735352068,10.607751573307944,0.469336143552632,78.11846045108696,8026.218593297102,1618.9796382971015
