#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:10:40', checksum=6584200, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,1.38929E+02,7.71921E+01,2.22044E+01,9.29363E+00,1.55179E+01,1.64929E+00,6.26780E-03,3.72463E-01,3.64463E-04,9.68693E+01,9.47887E-02,2.21511E+01,2.16753E-02,1.03249E+06,9.81181E-02
structural,LOS MORÁN,3.38836E+01,1.73745E+01,4.30822E+00,1.56054E+00,1.87313E+00,2.77927E-01,4.71062E-03,8.28840E-02,2.57626E-04,1.73559E+01,5.39470E-02,3.49374E+00,1.08595E-02,2.19326E+06,2.83592E-02
structural,ALTOS DE VIREYA,8.47975E+02,4.45353E+02,1.05756E+02,3.69976E+01,4.09196E+01,4.26439E+00,2.88720E-03,1.55424E+00,2.29340E-04,3.67927E+02,5.42905E-02,6.63460E+01,9.78988E-03,3.69813E+07,6.96892E-02
structural,LOS CIRUELITOS,1.30839E+03,6.43897E+02,1.58079E+02,5.69052E+01,6.67248E+01,9.83164E+00,4.40091E-03,5.96490E-01,4.39646E-04,7.62568E+01,5.62055E-02,1.45857E+01,1.07505E-02,9.14246E+06,7.36674E-02
structural,LAS COLINAS,1.29886E+03,6.38983E+02,1.47530E+02,5.17526E+01,5.88704E+01,5.99258E+00,2.72886E-03,2.29411E+00,2.37138E-04,4.90361E+02,5.06877E-02,9.00662E+01,9.30998E-03,3.74689E+07,6.78489E-02
structural,ENSANCHE BOLIVAR,8.65954E+02,4.32542E+02,1.08554E+02,4.01473E+01,5.08032E+01,6.94836E+00,4.63842E-03,5.69050E+00,3.78830E-04,8.77563E+02,5.84215E-02,1.74672E+02,1.16284E-02,1.75928E+07,6.02935E-02
structural,MEJORAMIENTO SOCIAL,1.02667E+03,5.38514E+02,1.35820E+02,5.04809E+01,6.35195E+01,8.04872E+00,4.43455E-03,4.06141E+00,3.26615E-04,7.43738E+02,5.98107E-02,1.47497E+02,1.18616E-02,1.38001E+07,7.50936E-02
structural,BARACOA,6.15836E+02,3.15741E+02,7.89217E+01,2.86849E+01,3.38164E+01,4.74645E+00,4.42354E-03,2.21524E+00,3.87924E-04,3.12251E+02,5.46801E-02,5.89091E+01,1.03159E-02,1.63707E+07,6.21594E-02
structural,CENTRO DE LA CIUDAD,1.16040E+03,1.12080E+03,4.13762E+02,1.84726E+02,2.93307E+02,3.51526E+01,1.10787E-02,9.87226E+00,1.22801E-03,1.15091E+03,1.43161E-01,2.55792E+02,3.18178E-02,1.04985E+08,1.60466E-01
structural,GURABO,2.33124E+03,1.30438E+03,3.46948E+02,1.32899E+02,1.77532E+02,2.25493E+01,5.25258E-03,1.19274E+00,4.15106E-04,1.81874E+02,6.32973E-02,3.59421E+01,1.25089E-02,8.85369E+07,8.06970E-02
structural,LA TRINITARIA,3.21972E+02,7.87772E+01,1.82663E+01,6.26766E+00,6.71665E+00,5.00730E-01,1.15910E-03,1.38619E-01,5.67925E-05,4.92411E+01,2.01742E-02,8.82296E+00,3.61478E-03,2.05117E+07,2.44417E-02
