#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T15:56:45', checksum=711321981, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,2.77382E+01,7.12829E+01,4.52192E+01,2.77178E+01,9.11787E+01,9.66704E+00,3.67377E-02,2.11754E+00,2.07206E-03,4.63217E+02,4.53268E-01,1.27917E+02,1.25169E-01,4.41103E+06,4.19184E-01
structural,LOS MORÁN,8.82441E+00,1.98623E+01,1.10762E+01,6.03849E+00,1.31986E+01,1.95298E+00,3.31014E-02,5.72016E-01,1.77798E-03,9.69040E+01,3.01204E-01,2.38533E+01,7.41428E-02,1.63713E+07,2.11684E-01
structural,ALTOS DE VIREYA,2.48445E+02,5.38059E+02,2.76128E+02,1.42277E+02,2.72093E+02,2.81852E+01,1.90827E-02,1.06004E+01,1.56417E-03,2.01388E+03,2.97164E-01,4.61950E+02,6.81644E-02,1.55790E+08,2.93578E-01
structural,LOS CIRUELITOS,3.90969E+02,7.86562E+02,4.06198E+02,2.13043E+02,4.37228E+02,6.44333E+01,2.88421E-02,3.90340E+00,2.87702E-03,3.97285E+02,2.92821E-01,9.41782E+01,6.94145E-02,3.80478E+07,3.06579E-01
structural,LAS COLINAS,3.87053E+02,8.02471E+02,3.99506E+02,2.04589E+02,4.02381E+02,4.07273E+01,1.85461E-02,1.59379E+01,1.64747E-03,2.75258E+03,2.84529E-01,6.35924E+02,6.57343E-02,1.62472E+08,2.94205E-01
structural,ENSANCHE BOLIVAR,2.70441E+02,5.25470E+02,2.66008E+02,1.39300E+02,2.96782E+02,4.06843E+01,2.71591E-02,3.33846E+01,2.22249E-03,4.25804E+03,2.83468E-01,1.02505E+03,6.82400E-02,7.29475E+07,2.50004E-01
structural,MEJORAMIENTO SOCIAL,3.18532E+02,6.39829E+02,3.23833E+02,1.69702E+02,3.63104E+02,4.59096E+01,2.52945E-02,2.35073E+01,1.89044E-03,3.51894E+03,2.82990E-01,8.45624E+02,6.80044E-02,5.33858E+07,2.90501E-01
structural,BARACOA,2.12067E+02,3.89095E+02,1.89028E+02,9.60654E+01,1.86745E+02,2.60890E+01,2.43141E-02,1.22663E+01,2.14802E-03,1.43720E+03,2.51677E-01,3.30419E+02,5.78616E-02,6.31681E+07,2.39849E-01
structural,CENTRO DE LA CIUDAD,3.12887E+02,8.25306E+02,5.81597E+02,3.68994E+02,1.08422E+03,1.29919E+02,4.09451E-02,3.66608E+01,4.56022E-03,3.54557E+03,4.41032E-01,9.43036E+02,1.17304E-01,2.91574E+08,4.45660E-01
structural,GURABO,6.09264E+02,1.40556E+03,7.90387E+02,4.39161E+02,1.04863E+03,1.32440E+02,3.08502E-02,7.40067E+00,2.57565E-03,9.33259E+02,3.24801E-01,2.28138E+02,7.93987E-02,3.68885E+08,3.36221E-01
structural,LA TRINITARIA,1.91042E+02,1.16367E+02,5.36754E+01,2.60398E+01,4.48753E+01,3.14780E+00,7.28658E-03,9.98917E-01,4.09258E-04,2.92754E+02,1.19942E-01,6.41817E+01,2.62954E-02,9.91486E+07,1.18145E-01
structural,LOS JARDINES METROPOLITANOS,3.36575E+02,5.42818E+02,2.46171E+02,1.21710E+02,2.32726E+02,2.03248E+01,1.37330E-02,5.21267E+00,1.16175E-03,1.04628E+03,2.33185E-01,2.39959E+02,5.34800E-02,1.33516E+08,2.45884E-01
structural,LA ZURZA,2.03820E+02,3.81784E+02,1.80213E+02,8.77187E+01,1.54464E+02,1.22078E+01,1.21109E-02,4.12169E+00,8.45754E-04,1.08962E+03,2.23586E-01,2.38840E+02,4.90090E-02,8.91876E+07,2.40478E-01
structural,URBANIZACIÓN HENRÍQUEZ,2.50576E+02,5.19853E+02,2.67630E+02,1.39875E+02,2.86066E+02,3.77962E+01,2.58171E-02,1.80518E+01,2.05877E-03,2.45732E+03,2.80253E-01,5.73591E+02,6.54171E-02,7.74083E+07,2.87195E-01
