#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:06:05', checksum=2453683168, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,4.56373E+01,9.19810E+01,4.63730E+01,2.44417E+01,5.47037E+01,5.80058E+00,2.20439E-02,1.27879E+00,1.25132E-03,3.08775E+02,3.02143E-01,7.73436E+01,7.56824E-02,2.94598E+06,2.79960E-01
structural,LOS MORÁN,1.37895E+01,2.35950E+01,1.00840E+01,4.58400E+00,6.94760E+00,1.02924E+00,1.74447E-02,3.05437E-01,9.49383E-04,5.87819E+01,1.82710E-01,1.29070E+01,4.01187E-02,9.00982E+06,1.16499E-01
structural,ALTOS DE VIREYA,3.19937E+02,5.99011E+02,2.59160E+02,1.19118E+02,1.79773E+02,1.87538E+01,1.26972E-02,7.65369E+00,1.12936E-03,1.61760E+03,2.38690E-01,3.46915E+02,5.11900E-02,1.25638E+08,2.36758E-01
structural,LOS CIRUELITOS,5.25998E+02,9.07314E+02,3.80404E+02,1.70524E+02,2.49759E+02,3.67955E+01,1.64707E-02,2.22830E+00,1.64238E-03,2.57550E+02,1.89828E-01,5.41129E+01,3.98842E-02,2.61990E+07,2.11104E-01
structural,LAS COLINAS,5.35391E+02,9.16622E+02,3.63002E+02,1.58150E+02,2.22835E+02,2.22732E+01,1.01426E-02,9.35362E+00,9.66867E-04,1.90501E+03,1.96917E-01,3.96690E+02,4.10051E-02,1.18214E+08,2.14062E-01
structural,ENSANCHE BOLIVAR,4.03112E+02,6.01613E+02,2.35602E+02,1.03606E+02,1.54068E+02,2.11192E+01,1.40983E-02,1.72248E+01,1.14670E-03,2.50052E+03,1.66466E-01,5.30451E+02,3.53134E-02,4.54621E+07,1.55807E-01
structural,MEJORAMIENTO SOCIAL,5.12078E+02,7.33005E+02,2.75620E+02,1.19352E+02,1.74945E+02,2.20871E+01,1.21692E-02,1.12887E+01,9.07830E-04,1.96080E+03,1.57686E-01,4.13339E+02,3.32404E-02,3.22695E+07,1.75596E-01
structural,BARACOA,2.74210E+02,4.36288E+02,1.74938E+02,7.70245E+01,1.10540E+02,1.54927E+01,1.44387E-02,7.25563E+00,1.27058E-03,9.42327E+02,1.65016E-01,1.93266E+02,3.38439E-02,4.33211E+07,1.64490E-01
structural,CENTRO DE LA CIUDAD,4.30454E+02,9.30557E+02,5.88305E+02,3.51051E+02,8.72632E+02,1.04597E+02,3.29648E-02,2.92443E+01,3.63768E-03,2.93186E+03,3.64693E-01,7.47333E+02,9.29604E-02,2.57847E+08,3.94110E-01
structural,GURABO,1.28575E+03,1.72132E+03,6.30647E+02,2.69112E+02,3.86166E+02,4.90244E+01,1.14196E-02,2.61130E+00,9.08809E-04,3.89108E+02,1.35421E-01,7.89865E+01,2.74896E-02,1.72672E+08,1.57382E-01
structural,LA TRINITARIA,2.03792E+02,1.25415E+02,4.99733E+01,2.20353E+01,3.07844E+01,2.03263E+00,4.70517E-03,7.32560E-01,3.00131E-04,2.36237E+02,9.67869E-02,4.87619E+01,1.99778E-02,8.54236E+07,1.01791E-01
structural,LOS JARDINES METROPOLITANOS,4.97915E+02,5.88451E+02,2.00360E+02,8.24142E+01,1.10860E+02,9.82842E+00,6.64083E-03,2.51044E+00,5.59506E-04,5.68157E+02,1.26626E-01,1.13815E+02,2.53662E-02,7.99114E+07,1.47166E-01
structural,LA ZURZA,2.63319E+02,4.08471E+02,1.64405E+02,7.16973E+01,1.00107E+02,7.49065E+00,7.43120E-03,2.60398E+00,5.34326E-04,7.85267E+02,1.61134E-01,1.57683E+02,3.23560E-02,6.72136E+07,1.81229E-01
structural,URBANIZACIÓN HENRÍQUEZ,4.21429E+02,5.97369E+02,2.21815E+02,9.40613E+01,1.29326E+02,1.70156E+01,1.16227E-02,8.24068E+00,9.39836E-04,1.32515E+03,1.51131E-01,2.68089E+02,3.05751E-02,4.56045E+07,1.69199E-01
structural,PARQUE METROPOLITANO DE SANTIAGO,1.55047E+00,8.89694E-01,2.69319E-01,1.12853E-01,1.77665E-01,1.77665E-02,5.92215E-03,6.70397E-01,1.81105E-04,4.40560E+02,1.19016E-01,9.44065E+01,2.55036E-02,5.30229E+06,6.58180E-02
structural,LOS SANTOS,1.75994E+02,2.97148E+02,1.25640E+02,5.98088E+01,1.07409E+02,1.18434E+01,1.54614E-02,8.52749E+00,1.14287E-03,1.69435E+03,2.27080E-01,4.00315E+02,5.36511E-02,1.60434E+07,2.48796E-01
structural,URBANIZACIÓN  LOS REYES,8.24822E+02,1.33523E+03,5.07137E+02,2.15939E+02,2.94869E+02,3.29951E+01,1.03823E-02,1.78305E+01,1.06197E-03,2.67286E+03,1.59193E-01,5.43561E+02,3.23740E-02,1.55035E+08,1.84408E-01
structural,EL  ENSUEÑO,7.71874E+02,1.01286E+03,3.50871E+02,1.44273E+02,1.95122E+02,2.27448E+01,9.18982E-03,1.10225E+01,7.93156E-04,1.80512E+03,1.29893E-01,3.62638E+02,2.60948E-02,4.39060E+07,1.53198E-01
structural,ENSANCHE BERMÚDEZ,3.65453E+02,6.12060E+02,2.51186E+02,1.12469E+02,1.68832E+02,2.32931E+01,1.54259E-02,1.46255E+01,1.47759E-03,1.86622E+03,1.88542E-01,4.00307E+02,4.04424E-02,2.51336E+07,1.98322E-01
