barrio,id_barrio,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ciudadela Floralia,610.0,6839.0,322746305,38325.0,3723.6787648,2058.4313821,553.35591221,213.98163975,289.55211002,32.308489481,20.5868854297,30487827,2918.0709047,594.03902642,9.446375088028752,0.472415404021056,53.71659603313764,7614.014102283105,1550.0039828310503
Brisas de Los Alamos,219.0,1821.0,191934730,13842.0,1024.222665,550.5878557999999,133.84850011,49.488185800000004,62.85278498,6.589840838,7.2329667437,17048202,1000.063534,193.41361736,8.882291475014863,0.361880331576057,52.25376927972836,7224.848533448923,1397.295313971969
Menga,216.0,161.0,169122686,835.0,95.3451106,44.9738615,11.22426475,4.174998788,5.281766152,0.581128584,0.4076475847,13946771,52.62418168,9.925058298,8.246540879913425,0.360949431055901,48.8200700239521,6302.297207185628,1188.6297362874252
Paso del Comercio,603.0,1636.0,77065478,9292.0,927.7152854,465.3237321,127.02227022,49.32494941,66.61371013,7.235255321,4.8188880454,7247625,698.3883602,140.77726161,9.404503349662681,0.442252770232274,51.86061176711149,7516.017651743436,1515.0372536590617
Los Guaduales,608.0,1850.0,121062905,10487.0,997.2095262,582.7414758,146.02305887,54.3996515,69.62634149,7.796971224,5.7694720341,10942570,749.8727424,149.26393622,9.038747015042986,0.421457904,55.01546709354439,7150.498163440449,1423.3235073901021
Área en Desarrollo - Parque del Amor,298.0,133.0,301609965,6696.0,85.1445433,30.7776766,9.00838413,3.5393485,4.530049780000001,0.417856995,1.9172193811,20474759,327.79970651,68.14440166,6.788488853707299,0.314178191729323,28.6323085588411,4895.455593040621,1017.6881968339306
Urbanización La Flora,295.0,1694.0,461938463,9165.0,1001.9252131000001,492.39433426,110.14759792,39.7571423,49.77571499,5.2924793968,4.0457293612,36167985,531.08294137,105.299837602,7.829611044049739,0.31242499390791,44.14325544135298,5794.685666884888,1148.9343982760502
Altos de Menga,296.0,683.0,25390842,6092.0,550.7359615,97.67879013,19.77785592,6.810154924,7.997216598,0.8099273977,0.61940722327,880875,138.72651622,26.240067972,3.469263909601688,0.118583806398243,10.167551268384766,2277.1916648063034,430.7299404464872
Urbanización Calimio,697.0,1152.0,65763429,8300.0,631.2672235,350.8849345,90.74715915,34.32896507,44.77173699,4.822483617,5.3024807854,6137024,654.0717429,130.13096497,9.33197122460405,0.41861836953125,63.88531066746988,7880.382444578313,1567.8429514457832
San Luis II,696.0,1738.0,127723318,11400.0,914.6722981,545.3397892,146.45208831,56.402004,75.13380957,8.42035033,7.1479190989,12569695,923.94690641,186.70909745,9.841347174694544,0.484485059263521,62.70104472719298,8104.797424649122,1637.7991004385965
