#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T17:47:54', checksum=631869764"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,9.82749E+04,2.40641E+04,9.06419E+03,1.36199E+04,1.46454E+03,1.04564E+03,1.47574E+05,3.06415E+04,4.55201E+09,structural
1,9.48477E+04,2.45283E+04,9.06272E+03,1.07051E+04,1.15003E+03,8.17678E+02,1.24428E+05,2.36479E+04,4.11699E+09,structural
2,1.00353E+05,2.58768E+04,9.71291E+03,1.26053E+04,1.34605E+03,9.02150E+02,1.35529E+05,2.67777E+04,4.50905E+09,structural
3,9.72355E+04,2.27613E+04,8.16248E+03,9.85000E+03,1.06113E+03,7.55969E+02,1.14998E+05,2.19138E+04,4.44774E+09,structural
4,9.92394E+04,2.58321E+04,9.93820E+03,1.30474E+04,1.39469E+03,9.10933E+02,1.37998E+05,2.71315E+04,4.37222E+09,structural
5,9.68752E+04,2.50037E+04,9.45751E+03,1.21594E+04,1.31770E+03,9.43660E+02,1.35792E+05,2.68614E+04,4.66376E+09,structural
6,9.47005E+04,2.36788E+04,8.63886E+03,1.00330E+04,1.08122E+03,7.63727E+02,1.16714E+05,2.20542E+04,4.38954E+09,structural
7,9.71857E+04,2.30574E+04,8.19719E+03,9.64189E+03,1.02977E+03,7.28967E+02,1.13679E+05,2.15101E+04,3.80357E+09,structural
8,9.79739E+04,2.47811E+04,9.26692E+03,1.17689E+04,1.26587E+03,8.39697E+02,1.24114E+05,2.44868E+04,4.38670E+09,structural
9,8.98730E+04,2.28695E+04,8.51456E+03,1.02168E+04,1.09849E+03,8.11876E+02,1.22862E+05,2.36993E+04,4.70777E+09,structural
10,9.33277E+04,2.27767E+04,8.49778E+03,1.19274E+04,1.28789E+03,8.83056E+02,1.26368E+05,2.53135E+04,4.60305E+09,structural
11,8.95298E+04,2.34084E+04,9.19549E+03,1.27188E+04,1.37274E+03,1.01417E+03,1.40776E+05,2.92558E+04,4.64766E+09,structural
12,9.61789E+04,2.50885E+04,9.65592E+03,1.27796E+04,1.37702E+03,9.38499E+02,1.39264E+05,2.73448E+04,5.07234E+09,structural
13,9.93740E+04,2.41432E+04,8.87310E+03,1.12370E+04,1.21646E+03,8.29424E+02,1.22423E+05,2.37582E+04,4.20186E+09,structural
14,9.36427E+04,2.23301E+04,8.34408E+03,1.14996E+04,1.23135E+03,8.68249E+02,1.25724E+05,2.57266E+04,4.31934E+09,structural
15,9.82674E+04,2.62692E+04,9.94914E+03,1.20062E+04,1.29280E+03,8.40059E+02,1.31584E+05,2.47194E+04,4.77177E+09,structural
16,9.74791E+04,2.48510E+04,9.34652E+03,1.20652E+04,1.29621E+03,9.18493E+02,1.36618E+05,2.70185E+04,4.79246E+09,structural
17,9.50755E+04,2.13582E+04,7.31898E+03,7.91396E+03,8.49541E+02,6.81662E+02,1.04026E+05,1.91320E+04,4.45327E+09,structural
18,1.00740E+05,2.36834E+04,8.52175E+03,1.04203E+04,1.12320E+03,8.50174E+02,1.24736E+05,2.41532E+04,4.97679E+09,structural
19,1.00586E+05,2.80446E+04,1.10325E+04,1.57124E+04,1.67862E+03,1.20922E+03,1.69255E+05,3.47614E+04,5.21252E+09,structural
20,9.94222E+04,2.44255E+04,8.93499E+03,1.18320E+04,1.26542E+03,9.11873E+02,1.34968E+05,2.69928E+04,4.67892E+09,structural
