#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:23:39', checksum=86841691"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,9.66024E+04,2.28900E+04,9.22388E+03,1.41490E+04,1.64428E+03,1.83583E+03,1.84413E+05,3.83564E+04,5.20576E+09,structural
1,9.65719E+04,2.16536E+04,8.22427E+03,1.24449E+04,1.44106E+03,1.56761E+03,1.59102E+05,3.31070E+04,4.95725E+09,structural
2,9.51415E+04,2.25975E+04,9.21029E+03,1.39176E+04,1.60953E+03,1.87644E+03,1.85601E+05,3.86020E+04,5.12548E+09,structural
3,9.65479E+04,2.43723E+04,1.01045E+04,1.60116E+04,1.85663E+03,2.03181E+03,2.01142E+05,4.26352E+04,5.69613E+09,structural
4,9.79789E+04,2.26389E+04,9.04729E+03,1.55074E+04,1.79277E+03,2.02358E+03,1.95231E+05,4.27325E+04,5.35923E+09,structural
5,9.27098E+04,2.44391E+04,1.02798E+04,1.72375E+04,2.01020E+03,2.31230E+03,2.19470E+05,4.80545E+04,5.91473E+09,structural
6,9.67128E+04,2.40486E+04,1.01649E+04,1.85279E+04,2.13951E+03,2.52478E+03,2.31166E+05,5.23151E+04,6.23027E+09,structural
7,9.70784E+04,2.38621E+04,9.71609E+03,1.54558E+04,1.78817E+03,2.11220E+03,2.03404E+05,4.37610E+04,5.48997E+09,structural
8,1.00587E+05,2.38970E+04,9.44103E+03,1.45083E+04,1.68489E+03,1.93478E+03,1.91209E+05,4.03480E+04,5.29135E+09,structural
9,9.51872E+04,2.29948E+04,9.29867E+03,1.46650E+04,1.69095E+03,1.98082E+03,1.94129E+05,4.14027E+04,5.32560E+09,structural
10,9.80873E+04,2.36380E+04,9.45790E+03,1.56249E+04,1.80054E+03,1.88700E+03,1.87980E+05,4.01203E+04,5.39183E+09,structural
11,9.44246E+04,2.22462E+04,8.93701E+03,1.47492E+04,1.70038E+03,1.90477E+03,1.82993E+05,3.95714E+04,5.61970E+09,structural
12,9.86234E+04,2.46360E+04,1.00423E+04,1.58610E+04,1.82836E+03,1.97943E+03,1.99430E+05,4.20979E+04,5.44265E+09,structural
13,9.70524E+04,2.23632E+04,8.98641E+03,1.53711E+04,1.77629E+03,2.17787E+03,1.98313E+05,4.43062E+04,5.68742E+09,structural
14,9.93368E+04,2.42070E+04,9.54292E+03,1.41814E+04,1.62871E+03,1.88981E+03,1.87471E+05,3.92944E+04,5.43198E+09,structural
15,9.68463E+04,2.28015E+04,8.88445E+03,1.29071E+04,1.49166E+03,1.61023E+03,1.67328E+05,3.39399E+04,5.02897E+09,structural
16,9.57303E+04,2.38466E+04,9.87995E+03,1.71715E+04,2.00816E+03,2.35991E+03,2.20462E+05,4.83343E+04,5.84495E+09,structural
17,9.94593E+04,2.56044E+04,1.04192E+04,1.61728E+04,1.86005E+03,2.11257E+03,2.09062E+05,4.44945E+04,5.61720E+09,structural
18,9.30993E+04,2.22224E+04,9.38933E+03,1.59062E+04,1.85536E+03,2.22344E+03,2.08160E+05,4.58036E+04,5.66581E+09,structural
19,9.63831E+04,2.25193E+04,9.39909E+03,1.60649E+04,1.86907E+03,2.09920E+03,2.02452E+05,4.42284E+04,5.37521E+09,structural
20,9.92611E+04,2.25268E+04,8.75838E+03,1.33539E+04,1.52867E+03,1.83218E+03,1.77541E+05,3.75332E+04,5.11802E+09,structural
21,9.77280E+04,2.22714E+04,8.60919E+03,1.24870E+04,1.44391E+03,1.70001E+03,1.70981E+05,3.51516E+04,4.92703E+09,structural
22,9.47843E+04,2.26789E+04,9.35047E+03,1.58128E+04,1.83037E+03,2.11895E+03,2.02264E+05,4.41293E+04,5.44885E+09,structural
23,9.82901E+04,2.31661E+04,9.39421E+03,1.62053E+04,1.90102E+03,2.22519E+03,2.06570E+05,4.56151E+04,5.61013E+09,structural
24,9.73503E+04,2.41500E+04,9.75560E+03,1.53950E+04,1.77396E+03,2.00418E+03,1.97120E+05,4.17934E+04,5.37325E+09,structural
25,9.56091E+04,2.35045E+04,9.59710E+03,1.60052E+04,1.85693E+03,2.12018E+03,2.00809E+05,4.38089E+04,5.36332E+09,structural
26,9.82254E+04,2.33153E+04,9.01219E+03,1.32451E+04,1.52641E+03,1.89319E+03,1.84151E+05,3.88282E+04,5.16231E+09,structural
27,9.18630E+04,2.17953E+04,9.21802E+03,1.62197E+04,1.88414E+03,2.23431E+03,2.06834E+05,4.59413E+04,5.57574E+09,structural
28,9.75340E+04,2.31067E+04,9.15631E+03,1.39900E+04,1.61296E+03,1.81875E+03,1.81054E+05,3.81096E+04,5.11967E+09,structural
29,9.25565E+04,2.12519E+04,8.87965E+03,1.53322E+04,1.78097E+03,2.08248E+03,1.94568E+05,4.26103E+04,5.39579E+09,structural
30,9.59306E+04,2.43622E+04,1.01352E+04,1.69338E+04,1.96589E+03,2.31969E+03,2.18161E+05,4.74737E+04,5.81625E+09,structural
31,9.81078E+04,2.34804E+04,9.64863E+03,1.71404E+04,1.99882E+03,2.33069E+03,2.15562E+05,4.83630E+04,5.88414E+09,structural
32,9.76670E+04,2.43920E+04,1.02254E+04,1.90370E+04,2.23487E+03,2.46852E+03,2.29188E+05,5.10178E+04,6.15694E+09,structural
33,9.35216E+04,2.29993E+04,9.31163E+03,1.42054E+04,1.64434E+03,1.93370E+03,1.89156E+05,3.97892E+04,5.54207E+09,structural
34,9.45191E+04,2.18746E+04,8.89609E+03,1.56664E+04,1.80956E+03,2.06567E+03,1.94241E+05,4.31313E+04,5.32722E+09,structural
35,9.29822E+04,2.36446E+04,9.80355E+03,1.66117E+04,1.93209E+03,2.31844E+03,2.17300E+05,4.74843E+04,5.92152E+09,structural
36,9.46763E+04,2.22609E+04,9.06336E+03,1.48900E+04,1.71127E+03,2.03341E+03,1.93943E+05,4.21272E+04,5.64415E+09,structural
37,9.41840E+04,2.27255E+04,9.29715E+03,1.52873E+04,1.78675E+03,1.98932E+03,1.93625E+05,4.15101E+04,5.32737E+09,structural
38,9.74646E+04,2.35776E+04,9.57009E+03,1.49234E+04,1.71937E+03,2.02557E+03,1.96707E+05,4.20374E+04,5.30562E+09,structural
39,9.59038E+04,2.48366E+04,1.04446E+04,1.74384E+04,2.02651E+03,2.12223E+03,2.07459E+05,4.49574E+04,5.71145E+09,structural
40,9.65503E+04,2.37444E+04,9.78178E+03,1.60682E+04,1.86704E+03,2.14411E+03,2.07129E+05,4.46562E+04,5.90359E+09,structural
41,9.98409E+04,2.28751E+04,8.82582E+03,1.26865E+04,1.45284E+03,1.59304E+03,1.62654E+05,3.32154E+04,5.04788E+09,structural
42,9.47309E+04,2.25440E+04,8.99113E+03,1.40514E+04,1.63757E+03,1.99947E+03,1.88955E+05,4.06967E+04,5.44186E+09,structural
43,9.66020E+04,2.21742E+04,8.72798E+03,1.33743E+04,1.53688E+03,1.84522E+03,1.78122E+05,3.77420E+04,5.09178E+09,structural
44,9.70664E+04,2.32002E+04,9.04160E+03,1.38983E+04,1.61568E+03,1.87422E+03,1.83690E+05,3.88631E+04,5.37307E+09,structural
45,9.54908E+04,2.27206E+04,9.25740E+03,1.52602E+04,1.76713E+03,2.12565E+03,1.99205E+05,4.35416E+04,5.39731E+09,structural
46,9.39988E+04,2.26932E+04,9.41580E+03,1.71073E+04,2.00108E+03,2.27498E+03,2.09216E+05,4.69759E+04,5.76736E+09,structural
47,9.34366E+04,2.24424E+04,9.52730E+03,1.72289E+04,2.00851E+03,2.31121E+03,2.12315E+05,4.73638E+04,5.61630E+09,structural
48,9.65847E+04,2.36510E+04,9.84496E+03,1.66413E+04,1.93671E+03,2.28855E+03,2.13769E+05,4.68566E+04,5.56155E+09,structural
49,9.54671E+04,2.27287E+04,9.55986E+03,1.68394E+04,1.95142E+03,2.31885E+03,2.14701E+05,4.78958E+04,5.90029E+09,structural
50,9.59450E+04,2.25209E+04,9.08592E+03,1.44768E+04,1.68730E+03,1.91578E+03,1.87164E+05,3.98427E+04,5.14462E+09,structural
51,9.49089E+04,2.41151E+04,1.01431E+04,1.74366E+04,2.02178E+03,2.44394E+03,2.25780E+05,5.00761E+04,6.00931E+09,structural
52,9.62277E+04,2.36257E+04,9.59380E+03,1.60774E+04,1.84914E+03,2.07326E+03,1.99790E+05,4.33418E+04,5.58880E+09,structural
53,9.81456E+04,2.41163E+04,9.56992E+03,1.55897E+04,1.80711E+03,2.03193E+03,1.99897E+05,4.31988E+04,5.42198E+09,structural
54,9.34547E+04,2.35620E+04,9.62287E+03,1.47844E+04,1.69454E+03,1.96271E+03,1.91915E+05,4.05467E+04,5.42265E+09,structural
55,9.48787E+04,2.25653E+04,9.17813E+03,1.61158E+04,1.87315E+03,2.10912E+03,1.99109E+05,4.38099E+04,5.72840E+09,structural
56,9.29004E+04,2.32010E+04,9.92572E+03,1.83274E+04,2.13839E+03,2.42466E+03,2.20043E+05,4.93125E+04,5.90045E+09,structural
