#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:23:39', checksum=86841691, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,8.68408E+01,1.77055E+01,2.67682E+00,8.50223E-01,9.26661E-01,9.44630E-02,8.66633E-04,1.78685E-01,5.89602E-05,6.33787E+01,2.09129E-02,1.24307E+01,4.10174E-03,8.82467E+05,2.11037E-02
structural,NAYON,2.25246E+03,7.64318E+02,7.75351E+01,2.00596E+01,1.66314E+01,1.93730E+00,6.18748E-04,1.76184E+00,7.18196E-05,2.56062E+02,1.04381E-02,3.90048E+01,1.58999E-03,2.13226E+07,2.70113E-02
structural,LLOA,8.21384E+01,6.09581E+01,1.80527E+01,8.83538E+00,2.40154E+01,2.42531E+00,1.25016E-02,1.04289E+00,1.31164E-03,1.46113E+02,1.83767E-01,3.57572E+01,4.49720E-02,2.04834E+06,2.23945E-01
structural,QUITUMBE,3.10271E+03,4.59507E+03,1.58828E+03,7.25712E+02,1.34023E+03,1.56287E+02,1.37674E-02,2.18287E+02,2.72972E-03,1.81709E+04,2.27230E-01,4.17506E+03,5.22098E-02,4.56633E+08,2.52811E-01
structural,LA ECUATORIANA,2.54082E+03,4.06116E+03,1.51739E+03,7.34116E+02,1.55952E+03,1.81306E+02,1.74115E-02,1.79699E+02,2.93699E-03,1.53605E+04,2.51052E-01,3.63127E+03,5.93493E-02,3.00016E+08,2.73413E-01
structural,ALANGASI,1.64531E+03,1.24159E+03,2.43209E+02,8.46534E+01,1.06233E+02,1.22799E+01,3.69766E-03,9.02746E+00,4.25486E-04,1.14402E+03,5.39207E-02,2.17307E+02,1.02422E-02,7.18862E+07,8.35812E-02
structural,PINTAG,8.35641E+02,1.67848E+02,2.64140E+01,8.56190E+00,9.53413E+00,1.00642E+00,9.60327E-04,8.05474E-01,8.21133E-05,1.52792E+02,1.55762E-02,2.73494E+01,2.78811E-03,3.33376E+06,2.73724E-02
structural,LA MERCED,1.04374E+03,3.81262E+02,6.56853E+01,2.25025E+01,2.78117E+01,2.99565E+00,1.94396E-03,1.37537E+00,1.80318E-04,2.42602E+02,3.18062E-02,4.63543E+01,6.07725E-03,1.16524E+07,4.93911E-02
structural,GUANGOPOLO,1.59633E+01,1.09661E+01,2.23303E+00,7.98514E-01,1.03903E+00,1.16485E-01,3.75758E-03,8.08015E-01,4.08357E-04,1.03672E+02,5.23939E-02,1.93991E+01,9.80395E-03,2.99936E+05,7.90751E-02
structural,CUMBAYA,3.30758E+03,1.98046E+03,2.73625E+02,8.05153E+01,7.88160E+01,9.35746E+00,1.63563E-03,6.91618E+00,2.11290E-04,8.78378E+02,2.68345E-02,1.48478E+02,4.53600E-03,8.35048E+07,4.62377E-02
