NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,13375.49438269,21642.87715251,7068.639097728,3105.4760274239998,5375.5133608367,625.93696344144,817.10566521474,1556816952,74685.90651229,16440.2449375036,19.56684573320221,1.237812378265781,190.5696912598223,17418.640882592066,3834.2806020718804
LA DELICIA,2.0,44628.0,7771897362,337268.6,32176.7264035,10698.7660767633,1164.674089536654,313.03709584904504,274.7963192647085,31.433690270727595,32.86324025132527,232289061,4637.540022162969,738.5825029797666,2.988833357204444,0.070434906943461,9.743937102749937,1375.028692906179,218.98940576732213
AEROPUERTO,3.0,6227.0,1307419419,69220.1,5084.3135035,976.2757460024,107.8085475329494,30.265195625339647,28.337005775318417,3.031807423734008,2.678902179062519,29350212,765.3739578095356,135.63219881045273,2.24489640402968,0.048688090954457,3.870121798527478,1105.7105635639584,195.94337311048776
CENTRO,4.0,24490.0,4881306790,219732.8,9800.57286177,9847.636591588,2440.5386911577,962.1507952172,1439.1012361344,168.244358984923,197.5158541117754,636239236,21661.2099965487,4576.4582510419,13.034198898589091,0.686992074254483,89.88910809482036,9857.97750565628,2082.7378757481365
CHILLOS,5.0,23482.0,4951012813,147034.4,11912.2315732,8387.9869209791,1728.458909031951,622.9110461031572,830.4116424265045,95.10681967506403,73.55139170481584,439580976,8974.302059845593,1753.651869513735,8.878607127945697,0.405020099118746,50.02325422133585,6103.539076464823,1192.681351788245
NORCENTRAL,6.0,1561.0,172740642,8643.2,1464.7024804,88.25836727704,5.92217989658732,1.289209128706368,0.827762158458682,0.087000111568835,0.033077169611668,869796,11.598132801104803,1.70055426953492,0.503526973231589,0.005573357563667,0.382695872034291,134.18794892059424,19.67505402553359
NORTE,7.0,47022.0,14695707103,391841.8,27839.45114263,15290.587167008,2377.18609165168,741.918001244661,772.857822148799,91.25908697067699,106.95636579562263,806728939,12046.373878215589,2127.067893798161,5.489555103355022,0.194077425398063,27.295802998971173,3074.2952584986056,542.8384347453899
QUITUMBE,8.0,51627.0,6343312878,319111.3,15044.03724669,20305.70089382,6903.945997174,3176.514458216,6196.8013406652,714.72218803713,760.91402498516,1487435914,67291.42596784,15472.62516225,23.448881403916676,1.38439612612999,238.4478471884763,21087.133538624297,4848.661003934991
TUMBACO,9.0,12695.0,3557048499,88464.3,7885.6912327,3918.420042548,552.11956281427,166.871706027577,171.897411036064,19.7567990977277,14.33589800294159,155805411,2078.368275774023,360.3997864676807,4.380187990358436,0.155626617548072,16.205291855518656,2349.3864482893355,407.395736435693
NOROCCIDENTE,10.0,633.0,48090042,4494.6,540.3398073,76.1973367428,10.6991048431093,3.08863559545996,2.675116911346109,0.231951311451194,0.189125744999059,1022520,47.89436185124359,8.121297054947997,2.126262398327059,0.036643177164486,4.207843745807387,1065.5978696934894,180.69009600293677
CALDERON,11.0,23947.0,3772812761,158465.7,18040.1601008,5077.2598887451995,551.7582437134411,148.18706528438247,129.6347677721012,14.686330237583642,13.700141115895773,104355605,1974.6588764479409,312.56134121244287,2.765989500149763,0.061328476375261,8.64549307256761,1246.111225614086,197.24226833468876
