#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-13T01:05:10', checksum=3711405109"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,4.68223E+04,5.98638E+03,1.67673E+03,1.50127E+03,1.60279E+02,1.01346E+02,1.95623E+04,3.19141E+03,7.00699E+08,structural
1,4.60631E+04,5.41927E+03,1.26691E+03,7.92657E+02,8.41973E+01,5.71139E+01,1.28928E+04,1.76534E+03,5.88610E+08,structural
2,4.93413E+04,6.07731E+03,1.53856E+03,1.11668E+03,1.18027E+02,8.04243E+01,1.64155E+04,2.49593E+03,6.89238E+08,structural
3,4.39928E+04,4.90686E+03,1.16468E+03,7.70671E+02,8.25257E+01,5.79897E+01,1.21546E+04,1.73592E+03,6.80776E+08,structural
4,4.76250E+04,5.59256E+03,1.37783E+03,9.44351E+02,9.98330E+01,6.28725E+01,1.37091E+04,1.96691E+03,6.34125E+08,structural
5,4.76760E+04,5.61883E+03,1.38383E+03,9.88159E+02,1.06406E+02,7.48037E+01,1.50713E+04,2.21400E+03,7.34605E+08,structural
6,4.46550E+04,4.82226E+03,1.08630E+03,6.59788E+02,7.08035E+01,5.25024E+01,1.12999E+04,1.55946E+03,6.42977E+08,structural
7,4.41720E+04,4.60900E+03,1.04095E+03,6.43639E+02,6.82986E+01,5.26242E+01,1.12648E+04,1.57739E+03,5.51293E+08,structural
8,4.58319E+04,5.40886E+03,1.36638E+03,1.07500E+03,1.13757E+02,7.23430E+01,1.44572E+04,2.24573E+03,5.89485E+08,structural
9,4.30357E+04,4.33077E+03,9.04197E+02,4.89836E+02,5.27554E+01,4.36014E+01,9.85591E+03,1.27956E+03,6.23278E+08,structural
10,4.45038E+04,5.39319E+03,1.40772E+03,1.12762E+03,1.20059E+02,7.22429E+01,1.45432E+04,2.21892E+03,7.16288E+08,structural
11,4.47665E+04,5.24295E+03,1.27090E+03,8.67315E+02,9.25465E+01,7.89124E+01,1.57052E+04,2.34134E+03,7.09541E+08,structural
12,4.89002E+04,6.09789E+03,1.50330E+03,1.02389E+03,1.08946E+02,6.58209E+01,1.45601E+04,2.06868E+03,6.92278E+08,structural
13,4.55116E+04,4.71439E+03,1.06042E+03,6.62727E+02,7.12231E+01,5.39720E+01,1.10549E+04,1.56415E+03,5.71242E+08,structural
14,4.38039E+04,4.93840E+03,1.19130E+03,8.13531E+02,8.62691E+01,5.52383E+01,1.23365E+04,1.77954E+03,6.04573E+08,structural
15,4.87481E+04,5.90794E+03,1.42261E+03,9.32205E+02,9.92145E+01,6.27953E+01,1.41109E+04,1.97119E+03,6.63774E+08,structural
16,4.69764E+04,5.31413E+03,1.21905E+03,7.50767E+02,8.04537E+01,5.84014E+01,1.29144E+04,1.78165E+03,6.64556E+08,structural
17,4.03214E+04,3.93071E+03,8.48730E+02,5.00181E+02,5.31691E+01,4.01700E+01,9.12169E+03,1.18618E+03,6.27081E+08,structural
18,4.53314E+04,4.94354E+03,1.18223E+03,8.09497E+02,8.65785E+01,6.51689E+01,1.32114E+04,1.91722E+03,7.19985E+08,structural
19,5.26585E+04,6.92907E+03,1.87095E+03,1.64495E+03,1.71561E+02,1.07904E+02,2.14672E+04,3.47133E+03,7.37204E+08,structural
20,4.71747E+04,5.25295E+03,1.21276E+03,7.53835E+02,8.03037E+01,5.70037E+01,1.28499E+04,1.74878E+03,6.45260E+08,structural
21,4.96947E+04,6.31537E+03,1.57692E+03,1.11449E+03,1.18155E+02,7.64515E+01,1.60751E+04,2.37125E+03,7.71403E+08,structural
22,4.84183E+04,7.03726E+03,1.96192E+03,1.57665E+03,1.67043E+02,1.02945E+02,2.08963E+04,3.21769E+03,7.12587E+08,structural
23,4.44037E+04,4.83720E+03,1.16924E+03,8.42237E+02,8.91676E+01,5.89234E+01,1.25074E+04,1.83039E+03,5.86698E+08,structural
24,5.02622E+04,6.69308E+03,1.72589E+03,1.24496E+03,1.33192E+02,8.72195E+01,1.83541E+04,2.71763E+03,8.58501E+08,structural
25,4.64140E+04,5.78815E+03,1.58186E+03,1.47382E+03,1.56259E+02,1.03243E+02,1.91270E+04,3.20419E+03,6.99467E+08,structural
26,4.53992E+04,4.90771E+03,1.10823E+03,6.72851E+02,7.15803E+01,5.40083E+01,1.19143E+04,1.62849E+03,6.42697E+08,structural
