taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LDUAL-DUH_H1,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H10,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H11,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H12,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H2,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H3,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H4,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H5,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H6,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H7,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H8,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUH_H9,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H1,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H10,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H11,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H12,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H2,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H3,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H4,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H5,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H6,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H7,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H8,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUL_H9,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H1,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H10,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H11,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H12,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H2,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H3,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H4,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H5,injured,structural,0,0.00025,0.00102,0.35102
CR_LDUAL-DUM_H6,injured,structural,0,0.00025,0.00102,0.35102
