taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LDUAL-DUH_H1,fatalities,structural,0,0,0,0.015
CR_LDUAL-DUH_H10,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUH_H11,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUH_H12,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUH_H2,fatalities,structural,0,0,0,0.013
CR_LDUAL-DUH_H3,fatalities,structural,0,0,0,0.013
CR_LDUAL-DUH_H4,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUH_H5,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUH_H6,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUH_H7,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUH_H8,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUH_H9,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUL_H1,fatalities,structural,0,0,0,0.015
CR_LDUAL-DUL_H10,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H11,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H12,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H2,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H3,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H4,fatalities,structural,0,0,0,0.0225
CR_LDUAL-DUL_H5,fatalities,structural,0,0,0,0.0225
CR_LDUAL-DUL_H6,fatalities,structural,0,0,0,0.0225
CR_LDUAL-DUL_H7,fatalities,structural,0,0,0,0.0225
CR_LDUAL-DUL_H8,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUL_H9,fatalities,structural,0,0,0,0.02
CR_LDUAL-DUM_H1,fatalities,structural,0,0,0,0.015
CR_LDUAL-DUM_H10,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUM_H11,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUM_H12,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUM_H2,fatalities,structural,0,0,0,0.013
CR_LDUAL-DUM_H3,fatalities,structural,0,0,0,0.013
CR_LDUAL-DUM_H4,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUM_H5,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUM_H6,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUM_H7,fatalities,structural,0,0,0,0.01
CR_LDUAL-DUM_H8,fatalities,structural,0,0,0,0.005
CR_LDUAL-DUM_H9,fatalities,structural,0,0,0,0.005
CR_LFINF-DUH_H1,fatalities,structural,0,0,0,0.015
CR_LFINF-DUH_H10,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUH_H2,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUH_H3,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUH_H4,fatalities,structural,0,0,0,0.02
CR_LFINF-DUH_H5,fatalities,structural,0,0,0,0.02
CR_LFINF-DUH_H6,fatalities,structural,0,0,0,0.02
CR_LFINF-DUH_H7,fatalities,structural,0,0,0,0.02
CR_LFINF-DUH_H8,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUH_H9,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUL_H1,fatalities,structural,0,0,0,0.015
CR_LFINF-DUL_H1_CCA,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H10,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUL_H10_CCA,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUL_H10_SOS,fatalities,structural,0,0,0,0.0125
CR_LFINF-DUL_H2,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H2_CCA,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H2_SOS,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H3,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H3_CCA,fatalities,structural,0,0,0,0.02
CR_LFINF-DUL_H3_SOS,fatalities,structural,0,0,0,0.01875
CR_LFINF-DUL_H4,fatalities,structural,0,0,0,0.02
