taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LDUAL-DUH_H1,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H10,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H11,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H12,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H2,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H3,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H4,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H5,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H6,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H7,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H8,homeless,structural,0,0,1,1
CR_LDUAL-DUH_H9,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H1,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H10,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H11,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H12,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H2,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H3,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H4,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H5,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H6,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H7,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H8,homeless,structural,0,0,1,1
CR_LDUAL-DUL_H9,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H1,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H10,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H11,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H12,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H2,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H3,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H4,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H5,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H6,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H7,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H8,homeless,structural,0,0,1,1
CR_LDUAL-DUM_H9,homeless,structural,0,0,1,1
CR_LFINF-DUH_H1,homeless,structural,0,0,1,1
CR_LFINF-DUH_H10,homeless,structural,0,0,1,1
CR_LFINF-DUH_H2,homeless,structural,0,0,1,1
CR_LFINF-DUH_H3,homeless,structural,0,0,1,1
CR_LFINF-DUH_H4,homeless,structural,0,0,1,1
CR_LFINF-DUH_H5,homeless,structural,0,0,1,1
CR_LFINF-DUH_H6,homeless,structural,0,0,1,1
CR_LFINF-DUH_H7,homeless,structural,0,0,1,1
CR_LFINF-DUH_H8,homeless,structural,0,0,1,1
CR_LFINF-DUH_H9,homeless,structural,0,0,1,1
CR_LFINF-DUL_H1,homeless,structural,0,0,1,1
CR_LFINF-DUL_H1_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H10,homeless,structural,0,0,1,1
CR_LFINF-DUL_H10_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H10_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H2,homeless,structural,0,0,1,1
CR_LFINF-DUL_H2_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H2_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H3,homeless,structural,0,0,1,1
CR_LFINF-DUL_H3_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H3_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H4,homeless,structural,0,0,1,1
CR_LFINF-DUL_H4_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H4_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H5,homeless,structural,0,0,1,1
CR_LFINF-DUL_H5_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H5_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H6,homeless,structural,0,0,1,1
CR_LFINF-DUL_H6_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H6_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H7,homeless,structural,0,0,1,1
CR_LFINF-DUL_H7_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H7_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H8,homeless,structural,0,0,1,1
CR_LFINF-DUL_H8_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H8_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUL_H9,homeless,structural,0,0,1,1
CR_LFINF-DUL_H9_CCA,homeless,structural,0,0,1,1
CR_LFINF-DUL_H9_SOS,homeless,structural,0,0,1,1
CR_LFINF-DUM_H1,homeless,structural,0,0,1,1
CR_LFINF-DUM_H10,homeless,structural,0,0,1,1
CR_LFINF-DUM_H2,homeless,structural,0,0,1,1
CR_LFINF-DUM_H3,homeless,structural,0,0,1,1
CR_LFINF-DUM_H4,homeless,structural,0,0,1,1
CR_LFINF-DUM_H5,homeless,structural,0,0,1,1
CR_LFINF-DUM_H6,homeless,structural,0,0,1,1
CR_LFINF-DUM_H7,homeless,structural,0,0,1,1
CR_LFINF-DUM_H8,homeless,structural,0,0,1,1
CR_LFINF-DUM_H9,homeless,structural,0,0,1,1
CR_LFM-DUH_H1,homeless,structural,0,0,1,1
CR_LFM-DUH_H10,homeless,structural,0,0,1,1
CR_LFM-DUH_H2,homeless,structural,0,0,1,1
CR_LFM-DUH_H3,homeless,structural,0,0,1,1
CR_LFM-DUH_H4,homeless,structural,0,0,1,1
CR_LFM-DUH_H5,homeless,structural,0,0,1,1
CR_LFM-DUH_H6,homeless,structural,0,0,1,1
CR_LFM-DUH_H7,homeless,structural,0,0,1,1
CR_LFM-DUH_H8,homeless,structural,0,0,1,1
CR_LFM-DUH_H9,homeless,structural,0,0,1,1
CR_LFM-DUL_H1,homeless,structural,0,0,1,1
CR_LFM-DUL_H10,homeless,structural,0,0,1,1
CR_LFM-DUL_H2,homeless,structural,0,0,1,1
CR_LFM-DUL_H3,homeless,structural,0,0,1,1
CR_LFM-DUL_H4,homeless,structural,0,0,1,1
CR_LFM-DUL_H5,homeless,structural,0,0,1,1
CR_LFM-DUL_H6,homeless,structural,0,0,1,1
CR_LFM-DUL_H7,homeless,structural,0,0,1,1
CR_LFM-DUL_H8,homeless,structural,0,0,1,1
CR_LFM-DUL_H9,homeless,structural,0,0,1,1
CR_LFM-DUM_H1,homeless,structural,0,0,1,1
