taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LDUAL-DUH_H1,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUH_H10,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUH_H11,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUH_H12,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUH_H2,collapsed,structural,0,0,0,0.13
CR_LDUAL-DUH_H3,collapsed,structural,0,0,0,0.13
CR_LDUAL-DUH_H4,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUH_H5,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUH_H6,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUH_H7,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUH_H8,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUH_H9,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUL_H1,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUL_H10,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUL_H11,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUL_H12,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUL_H2,collapsed,structural,0,0,0,0.2
CR_LDUAL-DUL_H3,collapsed,structural,0,0,0,0.2
CR_LDUAL-DUL_H4,collapsed,structural,0,0,0,0.15
CR_LDUAL-DUL_H5,collapsed,structural,0,0,0,0.15
CR_LDUAL-DUL_H6,collapsed,structural,0,0,0,0.15
CR_LDUAL-DUL_H7,collapsed,structural,0,0,0,0.15
CR_LDUAL-DUL_H8,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUL_H9,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H1,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H10,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUM_H11,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUM_H12,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUM_H2,collapsed,structural,0,0,0,0.13
CR_LDUAL-DUM_H3,collapsed,structural,0,0,0,0.13
CR_LDUAL-DUM_H4,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H5,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H6,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H7,collapsed,structural,0,0,0,0.1
CR_LDUAL-DUM_H8,collapsed,structural,0,0,0,0.05
CR_LDUAL-DUM_H9,collapsed,structural,0,0,0,0.05
CR_LFINF-DUH_H1,collapsed,structural,0,0,0,0.1
CR_LFINF-DUH_H10,collapsed,structural,0,0,0,0.05
CR_LFINF-DUH_H2,collapsed,structural,0,0,0,0.125
