taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LDUAL-DUH_H1,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H10,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H11,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H12,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H2,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H3,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H4,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H5,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H6,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H7,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H8,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUH_H9,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H1,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H10,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H11,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H12,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H2,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H3,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H4,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H5,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H6,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H7,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H8,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUL_H9,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H1,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H10,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H11,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H12,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H2,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H3,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H4,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H5,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H6,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H7,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H8,losses,structural,0.05,0.2,0.6,1
CR_LDUAL-DUM_H9,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H1,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H10,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H2,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H3,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H4,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H5,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H6,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H7,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H8,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUH_H9,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H1,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H1_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H10,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H10_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H10_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H2,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H2_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H2_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H3,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H3_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H3_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H4,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H4_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H4_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H5,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H5_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H5_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H6,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H6_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H6_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H7,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H7_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H7_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H8,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H8_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H8_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H9,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H9_CCA,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUL_H9_SOS,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H1,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H10,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H2,losses,structural,0.05,0.2,0.6,1
