taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR_LFINF-DUM_H3,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H4,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H5,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H6,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H7,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H8,losses,structural,0.05,0.2,0.6,1
CR_LFINF-DUM_H9,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H1,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H10,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H2,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H3,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H4,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H5,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H6,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H7,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H8,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUH_H9,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H1,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H10,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H2,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H3,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H4,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H5,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H6,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H7,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H8,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUL_H9,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H1,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H10,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H2,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H3,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H4,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H5,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H6,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H7,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H8,losses,structural,0.05,0.2,0.6,1
CR_LFM-DUM_H9,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H4,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H5,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H6,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H7,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H8,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUH_H9,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H4,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H5,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H6,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H7,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H8,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUL_H9,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H4,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H5,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H6,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H7,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H8,losses,structural,0.05,0.2,0.6,1
CR_LPB-DUM_H9,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H1,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H10,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H11,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H12,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H13,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H14,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H15,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H16,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H17,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H18,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H19,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H2,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H20,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H25,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H3,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H30,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H35,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H4,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H40,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H45,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H5,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H6,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H7,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H8,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUH_H9,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H1,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H10,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H11,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H12,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H2,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H3,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H4,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H5,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H6,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H7,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H8,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUL_H9,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H1,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H10,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H11,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H12,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H13,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H14,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H15,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H16,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H17,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H18,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H19,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H2,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H20,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H25,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H3,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H30,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H35,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H4,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H40,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H45,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H5,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H6,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H7,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H8,losses,structural,0.05,0.2,0.6,1
CR_LWAL-DUM_H9,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H1,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H2,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H3,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H4,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H5,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUH_H6,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H1,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H1_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H2,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H2_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H3,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H3_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H4,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H4_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H5,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H5_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H6,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUL_H6_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H1,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H1_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H2,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H2_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H3,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H3_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H4,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H4_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H5,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H5_CCA,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H6,losses,structural,0.05,0.2,0.6,1
MCF_LWAL-DUM_H6_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUH_H1,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUH_H2,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUH_H3,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUH_H4,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUH_H5,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H1,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H1_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H2,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H2_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H3,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H3_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H4,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H4_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H5,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUL_H5_CCA,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUM_H1,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUM_H2,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUM_H3,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUM_H4,losses,structural,0.05,0.2,0.6,1
MR_LWAL-DUM_H5,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H1_SAM,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H2_SAM,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H3_SAM,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H4,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H4_SAM,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H5,losses,structural,0.05,0.2,0.6,1
MUR_LWAL-DNO_H5_SAM,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H1_CCA,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H1_SAM,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H2_CCA,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H2_SAM,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H3_CCA,losses,structural,0.05,0.2,0.6,1
MUR-ADO_LWAL-DNO_H3_SAM,losses,structural,0.05,0.2,0.6,1
MUR-CB99_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR-CB99_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR-CB99_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR-CB99_LWAL-DNO_H4,losses,structural,0.05,0.2,0.6,1
MUR-CB99_LWAL-DNO_H5,losses,structural,0.05,0.2,0.6,1
MUR-CL99_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR-CL99_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR-CL99_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR-CL99_LWAL-DNO_H4,losses,structural,0.05,0.2,0.6,1
MUR-CL99_LWAL-DNO_H5,losses,structural,0.05,0.2,0.6,1
MUR-STDRE_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR-STDRE_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR-STDRE_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR-STDRE_LWAL-DNO_H4,losses,structural,0.05,0.2,0.6,1
MUR-STDRE_LWAL-DNO_H5,losses,structural,0.05,0.2,0.6,1
MUR-STRUB_LWAL-DNO_H1,losses,structural,0.05,0.2,0.6,1
MUR-STRUB_LWAL-DNO_H2,losses,structural,0.05,0.2,0.6,1
MUR-STRUB_LWAL-DNO_H3,losses,structural,0.05,0.2,0.6,1
MUR-STRUB_LWAL-DNO_H4,losses,structural,0.05,0.2,0.6,1
MUR-STRUB_LWAL-DNO_H5,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H1,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H10,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H11,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H12,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H13,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H14,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H15,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H16,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H17,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H18,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H19,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H2,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H20,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H25,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H3,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H30,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H35,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H4,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H5,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H6,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H7,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H8,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUH_H9,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H1,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H10,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H11,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H12,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H13,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H14,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H15,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H16,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H17,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H18,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H19,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H2,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H20,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H25,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H3,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H30,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H35,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H4,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H5,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H6,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H7,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H8,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUL_H9,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H1,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H10,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H11,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H12,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H13,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H14,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H15,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H16,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H17,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H18,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H19,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H2,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H20,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H25,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H3,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H30,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H35,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H4,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H5,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H6,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H7,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H8,losses,structural,0.05,0.2,0.6,1
S_LFBR-DUM_H9,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H1,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H10,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H11,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H12,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H2,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H3,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H4,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H5,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H6,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H7,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H8,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUH_H9,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H1,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H10,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H11,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H12,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H2,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H3,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H4,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H5,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H6,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H7,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H8,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUL_H9,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H1,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H10,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H11,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H12,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H2,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H3,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H4,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H5,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H6,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H7,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H8,losses,structural,0.05,0.2,0.6,1
S_LFINF-DUM_H9,losses,structural,0.05,0.2,0.6,1
S_LFM-DUH_H1,losses,structural,0.05,0.2,0.6,1
