#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:15:19', checksum=1703710268, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,9.15916E+01,9.45362E+01,3.39822E+01,1.53755E+01,2.76513E+01,2.93593E+00,1.11574E-02,6.56761E-01,6.42655E-04,1.67967E+02,1.64360E-01,3.93539E+01,3.85086E-02,1.69612E+06,1.61184E-01
structural,LOS MORÁN,2.44178E+01,2.19952E+01,6.71260E+00,2.60686E+00,3.26755E+00,4.84631E-01,8.21408E-03,1.43722E-01,4.46726E-04,2.94481E+01,9.15330E-02,6.01693E+00,1.87023E-02,4.02553E+06,5.20508E-02
structural,ALTOS DE VIREYA,5.74596E+02,5.71999E+02,1.77347E+02,6.91135E+01,8.39448E+01,8.85387E+00,5.99450E-03,3.37068E+00,4.97371E-04,7.63240E+02,1.12622E-01,1.45176E+02,2.14219E-02,6.75061E+07,1.27212E-01
structural,LOS CIRUELITOS,8.86982E+02,8.46699E+02,2.64962E+02,1.04184E+02,1.31172E+02,1.93043E+01,8.64114E-03,1.17155E+00,8.63495E-04,1.44998E+02,1.06872E-01,2.86354E+01,2.11059E-02,1.60646E+07,1.29444E-01
structural,LAS COLINAS,9.07140E+02,8.40541E+02,2.44346E+02,9.26808E+01,1.11292E+02,1.12273E+01,5.11262E-03,4.55054E+00,4.70382E-04,9.84804E+02,1.01797E-01,1.87631E+02,1.93951E-02,6.79203E+07,1.22991E-01
structural,ENSANCHE BOLIVAR,6.00906E+02,5.58817E+02,1.74879E+02,6.98769E+01,9.35220E+01,1.28001E+01,8.54480E-03,1.04358E+01,6.94735E-04,1.57055E+03,1.04556E-01,3.19482E+02,2.12687E-02,2.94905E+07,1.01069E-01
structural,MEJORAMIENTO SOCIAL,7.18401E+02,6.84437E+02,2.12988E+02,8.51750E+01,1.13998E+02,1.44048E+01,7.93655E-03,7.34436E+00,5.90627E-04,1.32279E+03,1.06377E-01,2.69071E+02,2.16384E-02,2.29833E+07,1.25065E-01
structural,BARACOA,4.31526E+02,4.04491E+02,1.25567E+02,4.93592E+01,6.20570E+01,8.70850E+00,8.11603E-03,4.06775E+00,7.12327E-04,5.56400E+02,9.74345E-02,1.07942E+02,1.89024E-02,2.73525E+07,1.03857E-01
structural,CENTRO DE LA CIUDAD,6.33266E+02,1.08243E+03,5.64037E+02,2.98353E+02,5.94917E+02,7.12979E+01,2.24702E-02,1.98559E+01,2.46986E-03,2.13547E+03,2.65630E-01,5.10483E+02,6.34986E-02,1.89541E+08,2.89705E-01
structural,GURABO,1.63348E+03,1.61803E+03,5.25782E+02,2.15277E+02,3.00432E+02,3.80789E+01,8.86999E-03,2.04358E+00,7.11225E-04,3.07356E+02,1.06969E-01,6.18130E+01,2.15127E-02,1.41058E+08,1.28567E-01
structural,LA TRINITARIA,2.51695E+02,1.13175E+02,3.60079E+01,1.41236E+01,1.69984E+01,1.17784E+00,2.72648E-03,3.79523E-01,1.55491E-04,1.29667E+02,5.31248E-02,2.48255E+01,1.01710E-02,4.92891E+07,5.87329E-02
structural,LOS JARDINES METROPOLITANOS,6.57844E+02,5.34876E+02,1.54003E+02,5.92034E+01,7.40738E+01,6.57834E+00,4.44482E-03,1.66690E+00,3.71505E-04,3.88842E+02,8.66617E-02,7.54597E+01,1.68178E-02,5.77999E+07,1.06445E-01
structural,LA ZURZA,3.48742E+02,3.97371E+02,1.35727E+02,5.48677E+01,7.12926E+01,5.49197E+00,5.44839E-03,1.79391E+00,3.68103E-04,5.60441E+02,1.15000E-01,1.08176E+02,2.21973E-02,5.07668E+07,1.36884E-01
structural,URBANIZACIÓN HENRÍQUEZ,5.82891E+02,5.57681E+02,1.71649E+02,6.71572E+01,8.46227E+01,1.11883E+01,7.64231E-03,5.33723E+00,6.08702E-04,8.77108E+02,1.00033E-01,1.70127E+02,1.94027E-02,3.21642E+07,1.19333E-01
structural,PARQUE METROPOLITANO DE SANTIAGO,1.91415E+00,7.18028E-01,1.87705E-01,7.35459E-02,1.06566E-01,1.06566E-02,3.55220E-03,4.16668E-01,1.12561E-04,2.82856E+02,7.64125E-02,5.86956E+01,1.58564E-02,2.91945E+06,3.62395E-02
structural,LOS SANTOS,2.66121E+02,2.88729E+02,9.90736E+01,4.30288E+01,6.90470E+01,7.62637E+00,9.95610E-03,5.49964E+00,7.37074E-04,1.10203E+03,1.47697E-01,2.49851E+02,3.34856E-02,1.09389E+07,1.69637E-01
structural,URBANIZACIÓN  LOS REYES,1.26032E+03,1.22927E+03,3.69200E+02,1.42772E+02,1.76444E+02,1.98597E+01,6.24912E-03,1.13622E+01,6.76720E-04,1.74466E+03,1.03911E-01,3.42349E+02,2.03900E-02,1.07522E+08,1.27894E-01
structural,EL  ENSUEÑO,9.54263E+02,9.48672E+02,2.95699E+02,1.17845E+02,1.58521E+02,1.85172E+01,7.48170E-03,8.91450E+00,6.41472E-04,1.46076E+03,1.05113E-01,2.92629E+02,2.10571E-02,3.63022E+07,1.26667E-01
structural,ENSANCHE BERMÚDEZ,5.93397E+02,5.71410E+02,1.79632E+02,7.16282E+01,9.39326E+01,1.29739E+01,8.59196E-03,8.08762E+00,8.17079E-04,1.09012E+03,1.10133E-01,2.21522E+02,2.23800E-02,1.57705E+07,1.24441E-01
structural,ALTOS DE RAFEY,6.20068E+02,5.47635E+02,1.65339E+02,6.59823E+01,8.99746E+01,1.03884E+01,6.97675E-03,3.03985E+00,4.14766E-04,7.07166E+02,9.64877E-02,1.47142E+02,2.00764E-02,6.20776E+07,9.88092E-02
structural,LA TERRAZA,1.92712E+02,1.94712E+02,6.11350E+01,2.47014E+01,3.47399E+01,3.62555E+00,7.13691E-03,1.63912E+00,4.08600E-04,4.56918E+02,1.13900E-01,9.51810E+01,2.37267E-02,2.17517E+07,1.34564E-01
structural,NIBAJE,2.16584E+02,2.38585E+02,8.52946E+01,3.73823E+01,6.01547E+01,7.14414E+00,1.11977E-02,4.41343E+00,1.27953E-03,5.25784E+02,1.52434E-01,1.18165E+02,3.42581E-02,8.54680E+06,1.59273E-01
structural,PUEBLO NUEVO,8.14463E+02,7.73372E+02,2.39669E+02,9.38769E+01,1.18619E+02,1.71699E+01,8.41663E-03,9.44725E+00,8.15614E-04,1.20497E+03,1.04029E-01,2.36777E+02,2.04418E-02,1.45916E+07,1.12070E-01
structural,RINCÓN LARGO,5.52331E+01,2.58780E+01,6.39198E+00,2.21581E+00,2.28112E+00,1.93799E-01,2.10651E-03,7.75001E-02,2.02139E-04,1.88030E+01,4.90427E-02,3.37344E+00,8.79876E-03,1.23845E+07,6.65568E-02
structural,ENSANCHE LIBERTAD,1.15521E+03,1.03972E+03,3.07288E+02,1.17199E+02,1.40584E+02,1.94834E+01,7.05921E-03,1.04660E+01,5.90766E-04,1.57370E+03,8.88293E-02,3.00671E+02,1.69717E-02,4.79881E+07,1.05839E-01
structural,REPARTO CONSUELO,3.84850E+02,3.48263E+02,1.04579E+02,4.13471E+01,5.59602E+01,6.06600E+00,6.48770E-03,2.97762E+00,5.03404E-04,5.90553E+02,9.98403E-02,1.18757E+02,2.00773E-02,3.92608E+07,1.21174E-01
structural,LA JOYA,3.07437E+02,7.35462E+02,3.83908E+02,1.98989E+02,3.81205E+02,4.54200E+01,2.26308E-02,2.63043E+01,2.73834E-03,2.80993E+03,2.92521E-01,6.69201E+02,6.96655E-02,9.29536E+07,3.07731E-01
structural,LOS CERROS DE GURABO,1.01097E+03,1.19955E+03,4.05828E+02,1.59725E+02,1.89925E+02,1.48218E+01,4.99725E-03,6.44731E+00,3.81451E-04,1.91570E+03,1.13341E-01,3.64785E+02,2.15823E-02,1.79498E+08,1.36133E-01
structural,BUENOS AIRES,9.06919E+02,8.67016E+02,2.71877E+02,1.07876E+02,1.38311E+02,2.02801E+01,8.84819E-03,7.17651E+00,7.49462E-04,1.01323E+03,1.05815E-01,2.02933E+02,2.11928E-02,2.56623E+07,1.17435E-01
structural,GREGORIO LUPERÓN,4.20880E+02,4.28441E+02,1.31420E+02,5.10974E+01,6.21607E+01,5.49495E+00,5.02281E-03,6.47181E+00,4.52472E-04,1.54762E+03,1.08201E-01,2.98172E+02,2.08465E-02,6.94081E+07,1.33168E-01
