barrio,id_barrio,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ciudadela Floralia,610.0,6839.0,322746305,38325.0,5931.7264951,748.6149258199999,103.261853555,29.314063058000002,26.082678672,2.9079270772,1.77054327123,4813108,311.42405792,52.278992772,1.491297513775551,0.042519770100892,4.619812840782779,812.5872352772342,136.40963541291586
Brisas de Los Alamos,219.0,1821.0,191934730,13842.0,1599.3128491,185.39031745,23.989274502,6.625144184,5.6823927126,0.59564207552,0.38211447927,2220543,69.8857397,10.85580122,1.156925962396421,0.03270961425151,2.760543846770698,504.8818068198237,78.42653677214275
Menga,216.0,161.0,169122686,835.0,150.7958171,9.006401418,0.8359378853,0.2051958267,0.15664736659,0.01751799982,0.005566064044,788536,1.0215680815,0.14619640168,0.466250594121644,0.010880745229814,0.666594496287425,122.34348281437127,17.5085510994012
Paso del Comercio,603.0,1636.0,77065478,9292.0,1433.5063207,167.82225023,22.801781886,6.354681113,5.514960462,0.5977118067,0.37819108383,1103750,69.13214519,11.343060699,1.432223460763988,0.03653495150978,4.070071931015927,743.9963967929401,122.07340399268188
Los Guaduales,608.0,1850.0,121062905,10487.0,1604.3656877,205.478971473,26.464172889,7.3097731727,6.3814132278,0.71379476771,0.42659058857,1576658,70.54020786,11.645505014,1.302346270372816,0.038583500957297,4.067803838752742,672.6443011347382,111.04705839610946
Área en Desarrollo - Parque del Amor,298.0,133.0,301609965,6696.0,125.1823912,6.8477317494,0.6820070056,0.16494875581,0.122917860582,0.0129923139084,0.01585060096,544971,3.13138554,0.4513810314,0.18068717251375,0.009768657073985,0.236717457586619,46.765017025089605,6.741054829749105
Urbanización La Flora,295.0,1694.0,461938463,9165.0,1502.2854533,163.1735781827,18.99206408719,5.16308876972,4.38583431063,0.4701476469729,0.205662814931,4598570,36.23539607,5.8082889374,0.995494135647863,0.027753698168412,2.244002345128205,395.3671147845062,63.37467471249318
Altos de Menga,296.0,683.0,25390842,6092.0,655.7652558,23.59860648,2.56164202,0.6282257617,0.4462603784,0.04519123486,0.034417020313,107083,10.003421183,1.4870582436,0.42174045215313,0.00661657904246,0.564954371520026,164.20586314839133,24.410017130663164
Urbanización Calimio,697.0,1152.0,65763429,8300.0,1014.1154932,114.73994983,15.287852162,4.2412115566,3.6155054208,0.38761151473,0.28899754671,748958,49.2870807,7.874823968,1.138866659748737,0.033646832875868,3.48189815313253,593.8202493975904,94.87739720481927
San Luis II,696.0,1738.0,127723318,11400.0,1508.5909125,190.23039354,25.751824769,7.193276325,6.233615552,0.6967670441,0.51615415979,1808725,86.384267693,14.22289723,1.416127271691057,0.040090163642117,4.527668068333333,757.7567341491228,124.76225640350876
Sector Puente del Comercio,698.0,892.0,73022208,8184.0,787.3975028,86.83716723,11.672222985,3.248579984,2.844501914,0.304251492,0.29792819296,860088,49.11104468,7.796879232,1.177844509145021,0.034108911659193,3.64037381427175,600.0860786901271,95.2697853372434
Los Alcazares,604.0,201.0,86219821,10406.0,178.2910814,19.318077719999998,2.391001686,0.595113482,0.404726306,0.0500121723,0.3487716356,924943,49.7599246,7.00608048,1.07277304350758,0.024881677761194,3.351639780895637,478.1849375360369,67.32731577935807
Ciudad de Los Alamos,217.0,1782.0,211380472,14132.0,1568.92551,178.77921166,22.772439857,6.258788574,5.2641177079,0.5519844077,0.43757626199,2305247,74.053895823,11.580003192,1.090567518841525,0.030975555987654,3.09635056602038,524.01567947212,81.94171519954712
La Flora,212.0,1419.0,406997277,4503.0,1298.0710235,104.096430593,11.43774597585,2.99269331079,2.402119205587,0.266402802872,0.070055765567,3202070,13.606685318,2.1437953073,0.786754711444781,0.018773981879634,1.555757618632023,302.16933861869865,47.60815694648013
Calima,421.0,923.0,102033555,4871.0,818.8982542,85.82905351,11.846437224,3.373038837,3.0532290867,0.33313671433,0.18589635445,1337218,34.93308833,5.824833683,1.310566649603629,0.036092818453954,3.81638994970232,717.1646136316978,119.58188632724286
El Bosque,215.0,762.0,209940178,3277.0,721.193447,36.209673355,3.2836111195,0.77244623855,0.540830684554,0.0589108298684,0.019986308102,1067528,4.1756677695,0.6011760449,0.508491504922451,0.007731080035223,0.60989649380531,127.42349006713458,18.345317207812023
Fonaviemcali,695.0,374.0,29277908,2355.0,328.68488659999997,38.10223254,4.789068044,1.311209719,1.112602111,0.1222582958,0.08847442771,369423,14.60235699,2.367064691,1.261781754068363,0.032689383903743,3.756875911252654,620.057621656051,100.51230110403398
