#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T21:16:56', checksum=2312394196, investigation_time=None, risk_investigation_time=None"
loss_type,COMUNA,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,15,2.52255E+04,2.09965E+03,2.67352E+02,7.27681E+01,6.06976E+01,6.21877E+00,2.24294E-04,2.70249E+00,2.22912E-05,5.93912E+02,4.89881E-03,9.57436E+01,7.89729E-04,1.16266E+07,9.79232E-03
structural,16,1.25240E+04,1.19194E+03,1.51220E+02,4.13493E+01,3.45103E+01,3.67723E+00,2.63733E-04,2.71516E+00,2.89645E-05,5.14977E+02,5.49361E-03,8.30210E+01,8.85642E-04,1.28669E+07,1.04528E-02
structural,13,2.24684E+04,2.09062E+03,2.72519E+02,7.52539E+01,6.42557E+01,6.75296E+00,2.70432E-04,3.95535E+00,2.87838E-05,7.94241E+02,5.77983E-03,1.29808E+02,9.44632E-04,1.70747E+07,1.10544E-02
structural,14,2.38844E+04,1.98261E+03,2.64394E+02,7.41761E+01,6.54617E+01,6.78513E+00,2.58275E-04,3.74423E+00,2.53203E-05,8.16325E+02,5.52037E-03,1.35466E+02,9.16087E-04,1.23850E+07,1.04628E-02
structural,12,8.97772E+03,8.58932E+02,1.13352E+02,3.13242E+01,2.66706E+01,2.88820E+00,2.88589E-04,2.05309E+00,3.09844E-05,3.94596E+02,5.95508E-03,6.40693E+01,9.66909E-04,1.01159E+07,1.15451E-02
structural,11,1.27991E+04,1.29600E+03,1.71619E+02,4.76238E+01,4.06918E+01,4.48361E+00,3.12338E-04,3.35202E+00,3.39184E-05,6.16040E+02,6.23358E-03,1.00218E+02,1.01409E-03,1.72806E+07,1.16295E-02
structural,4,9.94908E+03,1.05354E+03,1.42230E+02,4.05440E+01,3.65968E+01,4.01096E+00,3.57419E-04,2.00072E+00,3.81482E-05,3.69257E+02,7.04071E-03,6.17602E+01,1.17760E-03,3.31149E+07,1.19045E-02
structural,6,2.03128E+04,2.41034E+03,3.27115E+02,9.19950E+01,8.07648E+01,8.90485E+00,3.83450E-04,6.03979E+00,4.13812E-05,1.04611E+03,7.16734E-03,1.72025E+02,1.17862E-03,1.99425E+07,1.34626E-02
structural,5,1.28703E+04,1.53289E+03,1.99161E+02,5.44304E+01,4.51888E+01,5.05403E+00,3.43765E-04,3.68711E+00,3.38783E-05,6.08932E+02,5.59505E-03,9.48818E+01,8.71803E-04,2.27401E+07,1.17308E-02
structural,2,1.73752E+04,1.49679E+03,1.74964E+02,4.69725E+01,3.90836E+01,4.24045E+00,2.21630E-04,1.92897E+00,1.75362E-05,3.53851E+02,3.21686E-03,5.61026E+01,5.10029E-04,4.37055E+07,5.09229E-03
structural,21,2.06749E+04,1.84866E+03,2.34782E+02,6.37039E+01,5.29125E+01,5.48923E+00,2.39966E-04,3.08982E+00,2.45897E-05,6.38130E+02,5.07843E-03,1.02967E+02,8.19444E-04,7.75518E+06,9.96680E-03
structural,7,1.16417E+04,1.08343E+03,1.43766E+02,4.04019E+01,3.56943E+01,3.81041E+00,2.94354E-04,2.05758E+00,3.02412E-05,4.07297E+02,5.98623E-03,6.72479E+01,9.88372E-04,1.58763E+07,1.10432E-02
structural,8,1.62251E+04,1.70112E+03,2.21794E+02,6.08507E+01,5.11285E+01,5.66710E+00,3.10356E-04,3.15726E+00,3.33291E-05,5.83744E+02,6.16219E-03,9.37755E+01,9.89924E-04,3.15919E+07,1.18710E-02
structural,17,1.51813E+04,1.30047E+03,1.37453E+02,3.45576E+01,2.61945E+01,2.80695E+00,1.68282E-04,1.98996E+00,1.24443E-05,3.72274E+02,2.32804E-03,5.41406E+01,3.38571E-04,4.52549E+07,5.71561E-03
structural,10,1.38137E+04,1.36193E+03,1.72416E+02,4.71513E+01,3.98401E+01,4.31597E+00,2.79622E-04,2.86294E+00,2.89939E-05,5.24758E+02,5.31438E-03,8.35394E+01,8.46028E-04,2.30390E+07,1.09463E-02
structural,9,1.02605E+04,9.46932E+02,1.24296E+02,3.47231E+01,3.05850E+01,3.35579E+00,2.94445E-04,1.06765E+00,3.03430E-05,2.11363E+02,6.00702E-03,3.51485E+01,9.98934E-04,1.63985E+07,1.07516E-02
structural,22,5.73290E+03,3.34671E+02,2.95014E+01,6.98925E+00,4.94228E+00,5.62329E-01,9.20493E-05,1.75223E-01,7.41810E-06,3.16287E+01,1.33901E-03,4.62251E+00,1.95695E-04,1.39287E+07,4.01387E-03
structural,19,1.70911E+04,1.24081E+03,1.23383E+02,3.00232E+01,2.17051E+01,2.41231E+00,1.30346E-04,1.01577E+00,9.89355E-06,1.90879E+02,1.85915E-03,2.79525E+01,2.72256E-04,4.39088E+07,4.56832E-03
structural,3,8.80437E+03,6.35558E+02,7.34413E+01,1.92344E+01,1.53993E+01,1.70575E+00,1.78650E-04,5.07434E-01,1.60443E-05,1.09134E+02,3.45066E-03,1.74497E+01,5.51735E-04,2.07980E+07,5.52373E-03
structural,18,1.38714E+04,7.57195E+02,8.09682E+01,1.99360E+01,1.44575E+01,1.51488E+00,1.02746E-04,9.92345E-01,9.14899E-06,2.18977E+02,2.01887E-03,3.24738E+01,2.99395E-04,9.13644E+06,5.18386E-03
structural,1,7.20476E+03,5.40848E+02,6.81335E+01,1.83540E+01,1.49016E+01,1.58586E+00,2.02097E-04,9.42569E-01,1.62635E-05,1.98507E+02,3.42514E-03,3.14449E+01,5.42565E-04,3.94430E+06,5.85777E-03
