NM_BARR,ID_BARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
SANTA MARTHA,1.0,4.0,295889,13.999999999999998,3.7629582,0.201361019,0.02297401622,0.006569183443,0.0061374986911,0.00061313849311,6.053087621e-05,1930,0.044259637516,0.0080316023034,0.652141898676749,0.01532846232775,0.4323634015,316.1402679714286,57.368587881428574
NAYÓN CENTRO,2.0,977.0,139613033,6167.3,949.4024893,26.90267235816,0.583954529205972,0.078895202630905,0.031988880548926,0.00357054825365,0.002196555881175,249028,0.605660912607098,0.061276546896184,0.178370035874533,0.000365460414908,0.035616167223498,9.82051971863049,0.993571690953643
ORGANIZACIÓN ARA,3.0,38.0,1867125,56.7,35.2172608,2.2906737253,0.3210291266412,0.09189747728608,0.079138942631751,0.007928165753295,0.000278707300165,13625,0.22391536455012,0.039253854812444,0.729749230842968,0.020863594087619,0.491547266605044,394.91245952402113,69.23078450166491
SANTA ANA,4.0,59.0,8841705,324.7,57.2269232,1.70157431063,0.05754471741832,0.009416853035307,0.00454011296651,0.000471556413031,9.9077187165e-05,17399,0.034306629969221,0.003853479418512,0.19678201828534,0.00079924815768,0.030513454624267,10.56563904195288,1.186781465510197
NINALLACTA,5.0,59.0,53653784,2483.7,51.699894199999996,6.7527325503,0.4110841605974,0.08460857805736,0.051680919205691,0.005814343330576,0.041293755145817,601593,6.3105767389453,0.801620862677347,1.121250000833221,0.009854819204366,1.662590294553163,254.07966899969,32.2752692626866
ALLPALLACTA,6.0,193.0,23893549,1794.0,170.3940079,21.1675963301,1.115976178796,0.2085806666174,0.113830667898893,0.013824805601399,0.024062895134044,230553,3.7241097248288,0.45720680403155,0.964916172708466,0.00716311171057,1.341298502455067,207.58694118332218,25.48532909874861
LA CRISTALINA,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO DE HUARCAY,8.0,199.0,17497074,1208.4,190.1980723,8.17446193981,0.47198266434963,0.096715034335694,0.058770695425914,0.006209157552897,0.003179129489783,63880,0.829613460419208,0.107819846163034,0.365089364893985,0.003120179674823,0.263085856486498,68.65387788970602,8.922529473935306
LA VICTORIA,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NÉSTOR ROMERO DÍAZ,10.0,335.0,39553813,2106.0,293.653142,37.9420943234,2.4817706265272,0.54651651495488,0.376478338718328,0.042211403322854,0.032306653423641,410291,5.72764811847309,0.793324608160504,1.037297437626373,0.012600418902344,1.534029127428324,271.96809679359404,37.66973448055574
LA INDEPENDENCIA,11.0,228.0,16218429,1104.0,214.81429740000002,12.51814098536,0.527024232703,0.092575232502664,0.047959632673922,0.005595731089494,0.004172879590475,75789,0.787566150737631,0.093610241940412,0.467299458525038,0.002454268021708,0.377978223774873,71.33751365377093,8.479188581559084
UNIÓN Y PROGRESO,12.0,208.0,26567631,1325.0,181.9725249,24.1798945882,1.3951121586828,0.28189430977547,0.170575274514085,0.020317533270469,0.021619498389823,282857,3.28021320264409,0.421563143462142,1.06466749404039,0.009768044841572,1.631660255835675,247.56326057691248,31.81608629902959
MARTHA BUCARAM DE ROLDÓS,13.0,678.0,73630344,4120.0,595.651376,77.0872887997,4.054662764326,0.77171042680575,0.434945880458896,0.051010754052598,0.050627506062642,727545,8.303322279749,1.025117851967992,0.988104702828296,0.007523710037256,1.228822962685485,201.5369485375971,24.88150126135903
LAS ORQUIDEAS,14.0,461.0,56544529,3009.0,402.0268341,55.1689887972,2.9362299472308,0.55756982246332,0.310370922085282,0.037031096820154,0.041613092922527,587871,6.56446871128953,0.807614010237039,1.039660412571313,0.008032775882897,1.382954234713439,218.16114028878462,26.839947166402094
LA DELICIA,15.0,602.0,70271109,3814.0,525.0765333,71.9671836475,3.825653993718,0.72580478832365,0.404811881412268,0.047666784648903,0.050537747005691,725578,8.1145742961724,0.997437282598841,1.032541369265698,0.007918070539685,1.325058914674654,212.75758511201886,26.15200006813951
