#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:39:17', checksum=949654607, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CHAVEZPAMBA,6.29134E+01,6.07453E+00,6.58749E-01,1.85023E-01,1.68260E-01,1.75212E-02,2.50304E-04,6.39807E-03,1.37979E-05,1.88564E+00,4.06652E-03,3.24829E-01,7.00514E-04,1.42162E+05,1.28947E-02
structural,TURUBAMBA,8.68262E+03,8.72168E+02,5.14820E+01,1.07537E+01,6.98063E+00,7.86607E-01,8.17339E-05,6.12675E-01,1.14778E-05,1.08102E+02,2.02517E-03,1.44566E+01,2.70829E-04,9.84696E+06,8.53411E-03
structural,AMAGUAÑA,3.46251E+03,3.49955E+02,2.51898E+01,5.93399E+00,4.41384E+00,4.81200E-01,1.25052E-04,2.67698E-01,1.19615E-05,6.29212E+01,2.81149E-03,9.63146E+00,4.30360E-04,5.50423E+06,8.37122E-03
structural,GUAMANI,1.14000E+04,1.01107E+03,5.68336E+01,1.16906E+01,7.39869E+00,8.35910E-01,6.69424E-05,6.48454E-01,9.48684E-06,1.13863E+02,1.66581E-03,1.49222E+01,2.18310E-04,1.06067E+07,7.83174E-03
structural,PUENGASI,7.53871E+03,5.94312E+02,2.25243E+01,3.69508E+00,1.76164E+00,2.04515E-01,2.50601E-05,2.40696E-01,3.80810E-06,4.45930E+01,7.05515E-04,4.97560E+00,7.87200E-05,6.01781E+06,5.28210E-03
structural,CHILLOGALLO,6.83741E+03,8.41581E+02,5.28612E+01,1.14389E+01,7.71003E+00,8.53257E-01,1.10084E-04,6.96431E-01,1.23859E-05,1.29723E+02,2.30710E-03,1.75368E+01,3.11888E-04,9.16926E+06,9.84214E-03
structural,CHIMBACALLE,3.86372E+03,4.10817E+02,1.99187E+01,3.63597E+00,1.90585E+00,2.19296E-01,5.09992E-05,3.26321E-01,7.95523E-06,6.03569E+01,1.47141E-03,7.48240E+00,1.82410E-04,5.60102E+06,7.17320E-03
structural,SAN BARTOLO,7.39628E+03,9.55476E+02,4.82260E+01,9.00250E+00,5.01919E+00,5.82585E-01,6.92399E-05,7.09769E-01,1.10751E-05,1.23163E+02,1.92182E-03,1.54504E+01,2.41085E-04,1.07339E+07,7.85510E-03
structural,CHILIBULO,4.76715E+03,3.40353E+02,1.44673E+01,2.60433E+00,1.43026E+00,1.60372E-01,3.12860E-05,1.65920E-01,3.40061E-06,3.40977E+01,6.98847E-04,4.12392E+00,8.45217E-05,4.42640E+06,5.09165E-03
structural,POMASQUI,3.48581E+03,4.11867E+02,2.20181E+01,4.47621E+00,2.82882E+00,3.28964E-01,8.37698E-05,2.93501E-01,9.41322E-06,5.47019E+01,1.75441E-03,7.27018E+00,2.33170E-04,6.40081E+06,8.03384E-03
structural,CENTRO HISTORICO,3.40436E+03,3.42996E+02,2.74291E+01,5.82026E+00,3.39231E+00,3.99773E-01,1.05648E-04,4.99604E-01,1.22384E-05,9.60956E+01,2.35397E-03,1.35812E+01,3.32687E-04,8.40945E+06,7.64013E-03
structural,CARCELEN,7.20180E+03,7.36295E+02,3.23418E+01,5.66391E+00,2.89855E+00,3.47141E-01,4.35069E-05,3.82275E-01,6.89836E-06,6.57680E+01,1.18682E-03,7.65712E+00,1.38177E-04,8.12937E+06,6.75343E-03
structural,COMITE DEL PUEBLO,5.55517E+03,3.01286E+02,1.01556E+01,1.61456E+00,7.68798E-01,8.75454E-02,1.49166E-05,8.55096E-02,1.85319E-06,1.80337E+01,3.90831E-04,1.92115E+00,4.16357E-05,3.69332E+06,3.69951E-03
