#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:39:17', checksum=949654607"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,2.24862E+04,9.67423E+02,1.87062E+02,1.18406E+02,1.30820E+01,9.86231E+00,2.12013E+03,2.76891E+02,3.15869E+08,structural
1,2.14203E+04,1.19542E+03,2.56533E+02,1.70143E+02,1.82867E+01,1.78457E+01,3.28190E+03,4.39183E+02,3.43218E+08,structural
2,2.18906E+04,9.24411E+02,1.70694E+02,9.76749E+01,1.06344E+01,9.12134E+00,1.93229E+03,2.27120E+02,3.10423E+08,structural
3,2.44084E+04,1.07902E+03,2.10556E+02,1.34264E+02,1.45039E+01,1.98607E+01,3.48218E+03,5.09980E+02,3.49365E+08,structural
4,2.50239E+04,1.52701E+03,3.28229E+02,2.23342E+02,2.43772E+01,2.02928E+01,4.14445E+03,5.80070E+02,3.58081E+08,structural
5,2.49645E+04,1.53632E+03,3.26105E+02,2.00732E+02,2.27523E+01,2.68146E+01,4.53468E+03,5.94882E+02,4.04869E+08,structural
6,2.81347E+04,1.84518E+03,3.65149E+02,2.03613E+02,2.25566E+01,2.38382E+01,4.62932E+03,5.89726E+02,4.40879E+08,structural
7,2.63897E+04,1.29806E+03,2.35229E+02,1.29628E+02,1.37079E+01,2.04742E+01,3.32376E+03,4.53097E+02,3.70939E+08,structural
8,2.61002E+04,1.31055E+03,2.39650E+02,1.34853E+02,1.46864E+01,1.30968E+01,2.83191E+03,3.51075E+02,3.40362E+08,structural
9,2.34429E+04,1.17485E+03,2.25278E+02,1.37885E+02,1.43096E+01,1.62039E+01,3.03933E+03,3.77142E+02,3.63381E+08,structural
10,2.30925E+04,1.14439E+03,2.32899E+02,1.51326E+02,1.64184E+01,1.23802E+01,2.63748E+03,3.42769E+02,3.40049E+08,structural
11,2.24474E+04,1.15288E+03,2.30346E+02,1.43468E+02,1.57409E+01,1.32529E+01,2.69907E+03,3.44307E+02,3.69962E+08,structural
12,2.45873E+04,1.17242E+03,2.29104E+02,1.57045E+02,1.74012E+01,1.28897E+01,2.61509E+03,3.47616E+02,3.49251E+08,structural
13,2.38318E+04,1.34642E+03,2.77871E+02,2.15890E+02,2.19067E+01,3.25682E+01,4.86298E+03,7.22466E+02,4.42245E+08,structural
14,2.30582E+04,9.76403E+02,1.75663E+02,1.00621E+02,1.07603E+01,1.40252E+01,2.47828E+03,3.22538E+02,3.57200E+08,structural
15,2.16919E+04,1.10935E+03,2.25260E+02,1.46028E+02,1.59572E+01,1.38342E+01,2.72356E+03,3.57464E+02,3.33091E+08,structural
16,2.43889E+04,1.54815E+03,3.73222E+02,2.82089E+02,3.27330E+01,3.32702E+01,5.04639E+03,7.35968E+02,3.84794E+08,structural
17,2.61010E+04,1.15001E+03,2.03384E+02,1.19162E+02,1.25299E+01,1.34004E+01,2.67127E+03,3.52168E+02,3.40102E+08,structural
18,2.35096E+04,1.14013E+03,2.19586E+02,1.38383E+02,1.55800E+01,1.64914E+01,3.01388E+03,3.94196E+02,3.45605E+08,structural
19,2.49660E+04,1.10833E+03,1.95817E+02,1.11353E+02,1.20104E+01,9.60229E+00,2.18067E+03,2.65062E+02,3.17489E+08,structural
20,2.35503E+04,1.20146E+03,2.33419E+02,1.46795E+02,1.59037E+01,1.65782E+01,3.06359E+03,4.05420E+02,3.48792E+08,structural
21,2.07295E+04,8.42966E+02,1.63341E+02,1.12528E+02,1.22361E+01,1.61626E+01,2.65465E+03,3.53360E+02,3.03815E+08,structural
22,2.39012E+04,1.31599E+03,2.48784E+02,1.36122E+02,1.51735E+01,1.60502E+01,3.27653E+03,4.09060E+02,3.64742E+08,structural
23,2.75081E+04,1.39704E+03,2.60599E+02,1.49112E+02,1.64911E+01,1.46621E+01,2.92114E+03,3.59367E+02,3.81413E+08,structural
24,2.48527E+04,1.20273E+03,2.28369E+02,1.41863E+02,1.51651E+01,1.28373E+01,2.58684E+03,3.21085E+02,3.50673E+08,structural
25,2.42446E+04,1.30548E+03,2.76855E+02,1.90118E+02,2.07995E+01,1.65399E+01,3.11872E+03,4.11136E+02,3.36132E+08,structural
26,2.39264E+04,1.19634E+03,2.20440E+02,1.21798E+02,1.35753E+01,1.68348E+01,3.22860E+03,4.09965E+02,3.44273E+08,structural
27,2.49394E+04,1.13198E+03,1.89229E+02,1.09783E+02,1.09748E+01,9.58645E+00,2.50089E+03,3.04993E+02,3.49705E+08,structural
28,2.20102E+04,1.07063E+03,2.19298E+02,1.32120E+02,1.40793E+01,1.54379E+01,2.93825E+03,3.74022E+02,3.22292E+08,structural
29,2.43070E+04,1.19324E+03,2.19792E+02,1.28044E+02,1.39630E+01,1.02566E+01,2.31936E+03,2.83722E+02,3.50104E+08,structural
30,2.79455E+04,1.58102E+03,3.01887E+02,1.71240E+02,1.83654E+01,1.87099E+01,3.73136E+03,4.46414E+02,4.10543E+08,structural
