NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,45315.0274737,4934.017711249172,247.04231971824424,46.24086254072412,25.671482787350033,2.945798410327598,3.654411245782065,57738825,642.205489973633,79.51205774056538,0.725690124775604,0.0058254200489,0.852301057859007,149.77855026555798,18.54422131692175
LA DELICIA,2.0,44628.0,7771897362,337268.6,40970.7638668,3445.869237041307,162.5221246776218,30.76580444010858,18.078854553958216,2.057461283942692,2.115519646519737,49335295,415.18823583157484,54.06714090822507,0.634790877935679,0.004610247566422,0.627250697669376,123.10313970276951,16.030884852080828
AEROPUERTO,3.0,6227.0,1307419419,69220.1,5734.174571,448.82206059106,31.523680561376555,7.269848756493219,5.209853734058451,0.558244429944278,0.45413120035839,8348141,132.72462904628375,19.918543042669764,0.638520527799821,0.008964901717429,0.656068396836165,191.74290277864918,28.775663488885108
CENTRO,4.0,24490.0,4881306790,219732.8,22352.1111078,1992.431848194974,111.59262067349877,21.721305454661398,12.143125601605501,1.410856404428738,1.611802914052584,32282203,302.6622827686105,40.18375022264458,0.661343458426751,0.005760948976843,0.733528592022941,137.74105767032074,18.287552073538674
CHILLOS,5.0,23482.0,4951012813,147034.4,21443.5424402,1897.907069908863,104.14565557816138,21.89615176850056,14.508659307901913,1.607143310193229,0.972613610213911,32373135,213.05982294849952,29.790877183347117,0.653868945406707,0.006844150030633,0.661487114725473,144.90474538509324,20.26116145837105
NORCENTRAL,6.0,1561.0,172740642,8643.2,1390.925631,145.0518553939,16.1293899132599,4.601346092123857,4.291774844218306,0.44407865266983,0.17785110892682,1920147,46.690215264276894,8.11553131550314,1.111578280601728,0.028448344181283,2.057699797838995,540.1959374337848,93.89498467585085
NORTE,7.0,47022.0,14695707103,391841.8,42960.7465454,3829.326086986549,181.63331861458522,33.042183035028984,17.25165345636433,1.994069964175546,3.282130701261256,88151115,513.6686593491842,64.13090033873497,0.599842620654676,0.004240717034953,0.837616278115621,131.09082781601762,16.36652861913532
QUITUMBE,8.0,51627.0,6343312878,319111.3,46748.0239215,4543.67594695245,252.30006583022012,51.137022137420246,31.862958910364522,3.609512119406363,3.452666755307591,52133114,592.468694618446,77.19589031460997,0.821859411748987,0.006991520172403,1.081963175640471,185.6620854913148,24.190898383921212
TUMBACO,9.0,12695.0,3557048499,88464.3,11789.7637002,857.8507807284041,36.70725183973545,6.807047027031378,3.871229916189876,0.433802490557305,0.27869234292705,16214024,65.97203943678802,8.476877502349286,0.455828027455648,0.003417112962247,0.315033683561674,74.5747600295125,9.582258043469835
NOROCCIDENTE,10.0,633.0,48090042,4494.6,463.3950292,119.660301392,26.74385670211,10.1008995749275,13.0999094035648,0.98393256241189,0.417868084336141,2013241,106.8868164135453,20.52549368188827,4.186398759349974,0.155439583319414,9.297113966451764,2378.1163265595446,456.6700859228468
CALDERON,11.0,23947.0,3772812761,158465.7,21932.4752612,1885.596214281909,98.63934310582533,19.14108434931763,11.148160479322753,1.259488119317192,1.082228769875802,23239139,201.38725167383294,25.272447449306895,0.61596323016238,0.005259481852913,0.682941967804895,127.08570477638563,15.948213051346059
