#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T14:43:31', checksum=1437079170, investigation_time=None, risk_investigation_time=None"
loss_type,COMUNA,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,15,2.76250E+04,9.88382E+01,1.93239E+00,1.79972E-01,4.60560E-02,4.78683E-03,1.72648E-07,2.50649E-03,2.06745E-08,1.10509E+00,9.11522E-06,9.31019E-02,7.67940E-07,2.73091E+05,2.30008E-04
structural,16,1.38983E+04,4.39514E+01,7.06440E-01,5.90543E-02,1.36517E-02,1.47504E-03,1.05791E-07,1.25748E-03,1.34144E-08,5.42825E-01,5.79069E-06,4.27277E-02,4.55806E-07,2.33174E+05,1.89426E-04
structural,13,2.48624E+04,1.06201E+02,2.13344E+00,2.02212E-01,5.25954E-02,5.58905E-03,2.23821E-07,3.83832E-03,2.79321E-08,1.57890E+00,1.14899E-05,1.34050E-01,9.75503E-07,4.67075E+05,3.02392E-04
structural,14,2.61529E+04,1.15073E+02,2.66549E+00,2.72291E-01,7.58923E-02,7.98197E-03,3.03832E-07,5.56952E-03,3.76637E-08,2.29511E+00,1.55206E-05,2.04733E-01,1.38450E-06,3.56854E+05,3.01467E-04
structural,12,9.98162E+03,2.59363E+01,4.01067E-01,3.31618E-02,7.65667E-03,8.48585E-04,8.47907E-08,7.33836E-04,1.10748E-08,3.10799E-01,4.69045E-06,2.46040E-02,3.71314E-07,1.48990E+05,1.70039E-04
structural,11,1.43164E+04,3.79602E+01,5.43398E-01,4.28536E-02,9.45355E-03,1.07113E-03,7.46173E-08,9.57844E-04,9.69222E-09,4.06855E-01,4.11688E-06,3.15187E-02,3.18931E-07,2.31753E+05,1.55965E-04
structural,4,1.11927E+04,2.87554E+01,4.62078E-01,3.96943E-02,9.49201E-03,1.06538E-03,9.49371E-08,6.54529E-04,1.24801E-08,2.70800E-01,5.16341E-06,2.16919E-02,4.13605E-07,4.52660E+05,1.62727E-04
structural,6,2.31010E+04,1.19025E+02,2.63444E+00,2.64481E-01,7.24993E-02,8.10646E-03,3.49070E-07,5.98449E-03,4.10023E-08,2.18420E+00,1.49649E-05,1.84628E-01,1.26497E-06,4.58080E+05,3.09237E-04
structural,5,1.46465E+04,5.44826E+01,9.41732E-01,8.26483E-02,2.00641E-02,2.26245E-03,1.53887E-07,1.67857E-03,1.54232E-08,6.59670E-01,6.06125E-06,4.84304E-02,4.44994E-07,4.00848E+05,2.06782E-04
structural,2,1.91001E+04,3.23721E+01,5.14386E-01,4.60008E-02,1.14572E-02,1.23246E-03,6.44154E-08,7.06044E-04,6.41864E-09,2.87884E-01,2.61715E-06,2.19780E-02,1.99802E-07,3.88894E+05,4.53115E-05
