#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T14:43:31', checksum=1437079170"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,1.42787E+03,4.75692E+01,5.81429E+00,1.86377E+00,2.03941E-01,1.22888E-01,4.31800E+01,4.06972E+00,7.20586E+06,structural
1,8.16526E+02,1.00362E+01,7.06536E-01,1.39630E-01,1.50055E-02,1.10806E-02,5.53026E+00,4.16021E-01,4.66708E+06,structural
2,1.02903E+03,1.80193E+01,1.54645E+00,3.55627E-01,3.81242E-02,2.90903E-02,1.25001E+01,9.90584E-01,5.56633E+06,structural
3,8.17360E+02,1.36485E+01,1.15710E+00,2.68518E-01,2.92688E-02,1.84785E-02,8.04538E+00,6.39833E-01,5.38177E+06,structural
4,9.66752E+02,1.63191E+01,1.34442E+00,2.99127E-01,3.18406E-02,2.22368E-02,1.01125E+01,7.83937E-01,5.40275E+06,structural
5,1.01036E+03,1.88283E+01,1.69866E+00,4.14203E-01,4.52967E-02,3.36624E-02,1.39544E+01,1.11436E+00,7.66787E+06,structural
6,6.99317E+02,8.88094E+00,6.47325E-01,1.31741E-01,1.45576E-02,1.04146E-02,4.81160E+00,3.55060E-01,5.66250E+06,structural
7,6.80928E+02,1.08564E+01,9.07381E-01,1.95714E-01,2.16190E-02,2.38043E-02,9.74399E+00,7.36084E-01,3.87504E+06,structural
8,1.12432E+03,3.34907E+01,4.17105E+00,1.37251E+00,1.44768E-01,9.33028E-02,3.18422E+01,3.08623E+00,4.65646E+06,structural
9,5.17075E+02,4.51120E+00,2.63888E-01,4.40968E-02,4.84015E-03,3.84627E-03,2.12513E+00,1.45555E-01,4.15881E+06,structural
10,1.14209E+03,2.95050E+01,3.18858E+00,9.15451E-01,9.92989E-02,5.59979E-02,2.09705E+01,1.84632E+00,6.86435E+06,structural
11,9.64152E+02,1.63482E+01,1.37357E+00,3.16458E-01,3.43555E-02,2.87537E-02,1.27533E+01,9.80353E-01,7.12213E+06,structural
12,9.55436E+02,1.50770E+01,1.23789E+00,2.75328E-01,2.96103E-02,2.13076E-02,9.44032E+00,7.44404E-01,5.06886E+06,structural
13,6.46298E+02,7.82040E+00,5.50883E-01,1.07957E-01,1.18534E-02,9.70356E-03,4.53247E+00,3.25279E-01,3.96261E+06,structural
