ID_BARR,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr
1,4,295889.44,13.999999999999998,0.000147238311,3.2266624e-05,268.33839,0.09068873495451545,0.0036809577750000003,0.23047588571428573
2,977,139613033.1502125,6167.3,0.116118807302,0.0948021889296,436234.753999,0.31245990732802587,0.011885241279631524,1.5371749214340151
3,38,1867125.23,56.7,0.0071009936509999995,0.0003029720048,6224.33085,0.3333644015939949,0.01868682539736842,0.5343421601410935
4,59,8841704.81,324.7,0.007157898899,0.003636758014,22628.742836999998,0.2559318968826782,0.01213203203220339,1.1200363455497382
5,59,53653783.9498725,2483.7,0.007287798531,0.03990476696,187128.89,0.3487710953897124,0.0123522009,1.6066661416435155
6,193,23893548.87003825,1794.0,0.020843900313,0.035679052257,88557.349055,0.3706328831128477,0.010799948348704663,1.9887988994983279
8,199,17497073.63,1208.4,0.017542237114,0.0126722965421,41580.458935,0.23764236131296435,0.00881519452964824,1.048683924371069
10,335,39553812.89,2106.0,0.037698928018,0.0325800751934,133969.399704,0.33870160653429743,0.011253411348656716,1.5470121174453941
11,228,16218428.57,1104.0,0.00808062678,0.0061587642905,21637.659835,0.1334140341748288,0.0035441345526315794,0.5578590842844203
12,208,26567631.27,1325.0,0.019657249837,0.0213920983884,89576.376459,0.33716357905098254,0.009450600883173076,1.6144979915773585
13,678,73630343.95,4120.0,0.07187019316900001,0.0714500975577,246967.877207,0.3354158950754161,0.010600323476253688,1.7342256688762134
14,461,56544528.56,3009.0,0.048523515236,0.0537926756057,194413.665116,0.34382400926679507,0.010525708294143168,1.787726008830176
15,602,70271108.78,3814.0,0.065863278737,0.068195465812,242092.537816,0.3445121928756337,0.010940743976245847,1.7880300422653383
16,445,44440790.15,2543.0,0.043256642459,0.041456738608,140662.54594,0.3165167528867621,0.009720593811011237,1.6302295952811638
17,478,56938305.09,3070.0,0.044652940497,0.0491738972697,190608.444816,0.3347631168766144,0.00934161935083682,1.6017556113908795
19,105,13057137.07,804.1,0.014362960411,0.013142330770899999,45775.481912,0.3505782444236836,0.013679009915238096,1.634414969643079
20,3,238275.06,10.5,0.000231827364,3.2893326000000003e-05,592.448923,0.2486407612278012,0.0077275788,0.31326977142857143
21,87,12385729.74,652.0,0.011184943031,0.01110129732,44448.876609,0.3588716817019778,0.012856256357471264,1.702652963190184
22,36,4577629.4,186.2,0.003699876489,0.0014099128138,12719.200666,0.2778556225193765,0.010277434691666667,0.7572034445757251
23,4,666340.99,30.1,0.00048382581199999996,0.0003865584265,1883.6074370000001,0.2826792085835812,0.0120956453,1.2842472641196012
24,40,1267053.72,52.5,0.0034136876879999997,0.0002498274611,2451.201613,0.1934568025260997,0.00853421922,0.4758618306666667
26,101,26082218.310425,957.8,0.011702261673,0.0119931476693,92811.273885,0.35584118183652946,0.011586397696039603,1.252155739120902
27,8,2985062.03,123.9,0.0003056038054,0.00045729495900000003,4168.820954,0.13965609130072248,0.0038200475675,0.3690839055690073
28,6,837178.25,756.0,0.00063768824,0.0137200263,2802.8031,0.33479167668295257,0.010628137333333332,1.8148182936507935
29,518,153608973.5207568,4317.1,0.058348512011999996,0.060644450921899996,538681.720633,0.3506837577820343,0.011264191508108107,1.404749737599314
30,639,164505922.3390225,2401.9,0.076381458756,0.0422997170046,563648.101617,0.34263088744939174,0.011953279930516432,1.7610940091011282
31,2,67499.45,2.8,0.0001022757909,2.14779111e-05,156.157375,0.23134614430191652,0.005113789545,0.7670682535714287
32,360,50256434.730085,3024.0,0.039506281747,0.0367979660169,166569.190105,0.33143853319401245,0.010973967151944444,1.2168639555853173
33,104,6337676.28,262.5,0.0061089666318,0.0016741136099600001,27001.157097,0.42604191037980876,0.005874006376730769,0.6377575656990476
34,82,10763751.54,420.0,0.011741089955,0.0049476601483,37458.500077,0.34800598971276514,0.014318402384146342,1.1780143210238097
35,3,421578.75,16.799999999999997,0.000122846384,0.000157167039,848.5574240000001,0.20128088144860243,0.004094879466666666,0.9355180892857146
36,22,31407026.599294398,121.0,0.0015051536709999999,0.0035422479340000003,49615.57883,0.15797604613457641,0.006841607595454545,2.9274776314049586
37,51,8889410.76,585.0,0.007569667975,0.007263075748,33107.496522,0.3724374698824245,0.014842486225490198,1.24155140991453
38,54,5594256.12,216.1,0.004503874549,0.0015321783569,12117.028871,0.2165976782450211,0.008340508424074073,0.7090135848681166
39,937,225189220.7906849,4111.7,0.106044238725,0.0669767447404,749948.896769,0.3330305483254384,0.011317421422091783,1.6289307279324854
40,268,47146671.1097875,1304.7,0.027271427646,0.019666573434,155087.176299,0.32894618569751877,0.010175905838059702,1.5073636417567255
41,72,4447708.47,191.79999999999998,0.0087861214697,0.00083300683846,11301.830476,0.25410456985279883,0.012202946485694446,0.4343101347549531
42,130,47247040.449795604,967.0,0.012222234317,0.011287933478,143223.82625399999,0.3031381963621376,0.009401718705384615,1.167314734022751
43,293,80760475.3202125,1455.2,0.040081344746,0.0232243891815,325920.075113,0.4035638396390538,0.013679639845051196,1.5959585748694338
44,10,5172673.1899999995,91.0,0.0011155697969,0.0004355409493,16853.646395,0.3258208237006367,0.011155697969000001,0.4786164278021978
45,6,880305.56,35.7,0.00087244826,0.000480939451,2476.54394,0.2813277630553645,0.014540804333333334,1.3471693305322128
46,170,85187467.240546,1330.1,0.020326040489,0.020468989977,244063.28489,0.2865013983815628,0.011956494405294118,1.538906095556725
47,61,16939876.47,331.09999999999997,0.0033478437008,0.001591591682,20389.188505000002,0.12036208493673864,0.005488268361967213,0.48069818242222895
