ID_ZONA,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr
1,50568,7956402237.985648,428770.0,6.575895375159,8.1386580815026,28741597.921637,0.3612386234624761,0.013004064576726388,1.898140747137766
2,44628,7771897362.274073,337268.6,4.7216593494648,5.18717593853769,23249602.504271,0.2991496338735503,0.01058003797944071,1.537995514120701
3,6227,1307419418.8060296,69220.1,0.5860782012849,0.58531324902221,3650885.8322906,0.2792436596685008,0.009411886964588083,0.8455827845123166
4,24490,4881306789.838697,219732.8,3.703289659079,4.2359243813129,18010856.657957,0.36897612531647833,0.015121640094238465,1.927761527324505
5,23482,4951012812.753877,147034.4,2.47263288476992,1.898736262257285,15629291.0078313,0.31567866210263146,0.010529907523932885,1.2913551265943788
6,1561,172740642.17,8643.2,0.09044302011587001,0.04141274070808,280750.5576854,0.16252721661709685,0.005793915446244075,0.4791366705396149
7,47022,14695707102.90014,391841.8,5.5802009370239,6.8602065569972,43463312.491617,0.29575516296891685,0.011867213085415124,1.7507592495229454
8,51627,6343312878.13692,319111.3,5.0006123674442,4.8539398582886,20145720.421423,0.317589890463356,0.009686040961985396,1.5210805315539122
9,12695,3557048498.9040227,88464.3,1.4453403663189,1.13019452568486,10752394.088597,0.30228415755112603,0.011385115134453722,1.2775713205042711
10,633,48090042.08,4494.6,0.0448622679114,0.028414131721789998,110700.8521236,0.2301949579071776,0.007087246115545023,0.6321837698969874
11,23947,3772812761.4962974,158465.7,2.530997033434,2.4039363939337,11535377.921581,0.30575007695335693,0.010569161203633024,1.5170073990356905
