lon,lat,vs30,z1pt0,z2pt5,vs30measured
-70.7800,19.3556,507.49,219.89,0.96,1
-70.7800,19.3601,507.49,219.89,0.96,1
-70.7800,19.3646,551.93,170.40,0.87,1
-70.7800,19.3691,551.93,170.40,0.87,1
-70.7800,19.3736,544.78,177.86,0.89,1
-70.7800,19.3781,544.78,177.86,0.89,1
-70.7800,19.3826,370.44,390.84,1.38,1
-70.7800,19.3871,370.44,390.84,1.38,1
-70.7800,19.3916,569.14,153.31,0.84,1
-70.7800,19.3961,551.27,171.08,0.88,1
-70.7800,19.4006,551.27,171.08,0.88,1
-70.7800,19.4051,413.96,338.27,1.22,1
-70.7800,19.4096,413.96,338.27,1.22,1
-70.7800,19.4141,377.98,382.17,1.35,1
-70.7800,19.4186,377.98,382.17,1.35,1
-70.7800,19.4231,386.22,372.45,1.32,1
-70.7800,19.4276,386.22,372.45,1.32,1
-70.7800,19.4321,360.53,401.89,1.42,1
-70.7800,19.4366,360.53,401.89,1.42,1
-70.7800,19.4411,377.23,383.05,1.35,1
-70.7800,19.4456,377.23,383.05,1.35,1
-70.7800,19.4501,348.26,414.96,1.48,1
-70.7800,19.4546,324.75,437.89,1.61,1
-70.7800,19.4591,324.75,437.89,1.61,1
-70.7800,19.4636,352.65,410.36,1.46,1
-70.7800,19.4681,352.65,410.36,1.46,1
-70.7800,19.4726,359.73,402.76,1.43,1
-70.7800,19.4770,359.73,402.76,1.43,1
-70.7800,19.4815,352.26,410.77,1.46,1
-70.7800,19.4860,352.26,410.77,1.46,1
-70.7800,19.4905,336.58,426.71,1.54,1
-70.7800,19.4950,336.58,426.71,1.54,1
-70.7800,19.4995,278.69,473.98,1.91,1
-70.7800,19.5040,278.69,473.98,1.91,1
-70.7800,19.5085,292.63,464.33,1.81,1
-70.7800,19.5130,319.83,442.32,1.63,1
-70.7800,19.5175,319.83,442.32,1.63,1
-70.7800,19.5220,336.80,426.49,1.54,1
-70.7800,19.5265,336.80,426.49,1.54,1
-70.7800,19.5310,369.35,392.08,1.39,1
-70.7800,19.5355,369.35,392.08,1.39,1
-70.7800,19.5400,406.18,348.04,1.24,1
-70.7800,19.5445,406.18,348.04,1.24,1
-70.7752,19.3556,439.46,305.59,1.14,1
-70.7752,19.3601,439.46,305.59,1.14,1
-70.7752,19.3646,480.08,253.51,1.03,1
-70.7752,19.3691,480.08,253.51,1.03,1
-70.7752,19.3736,511.52,215.11,0.95,1
-70.7752,19.3781,511.52,215.11,0.95,1
-70.7752,19.3826,526.60,197.72,0.92,1
-70.7752,19.3871,526.60,197.72,0.92,1
-70.7752,19.3916,468.51,268.18,1.06,1
-70.7752,19.3961,402.12,353.10,1.26,1
-70.7752,19.4006,402.12,353.10,1.26,1
-70.7752,19.4051,287.53,467.99,1.84,1
-70.7752,19.4096,287.53,467.99,1.84,1
-70.7752,19.4141,368.92,392.57,1.39,1
-70.7752,19.4186,368.92,392.57,1.39,1
-70.7752,19.4231,368.49,393.05,1.39,1
-70.7752,19.4276,368.49,393.05,1.39,1
-70.7752,19.4321,346.04,417.24,1.49,1
-70.7752,19.4366,346.04,417.24,1.49,1
-70.7752,19.4411,335.30,427.95,1.55,1
-70.7752,19.4456,335.30,427.95,1.55,1
-70.7752,19.4501,324.14,438.44,1.61,1
-70.7752,19.4546,354.82,408.05,1.45,1
-70.7752,19.4591,354.82,408.05,1.45,1
-70.7752,19.4636,390.28,367.58,1.30,1
-70.7752,19.4681,390.28,367.58,1.30,1
-70.7752,19.4726,373.66,387.16,1.37,1
-70.7752,19.4770,373.66,387.16,1.37,1
-70.7752,19.4815,309.54,451.14,1.70,1
-70.7752,19.4860,309.54,451.14,1.70,1
-70.7752,19.4905,233.54,497.95,2.34,1
-70.7752,19.4950,233.54,497.95,2.34,1
-70.7752,19.4995,291.05,465.48,1.82,1
-70.7752,19.5040,291.05,465.48,1.82,1
-70.7752,19.5085,318.88,443.15,1.64,1
-70.7752,19.5130,290.09,466.17,1.83,1
-70.7752,19.5175,290.09,466.17,1.83,1
-70.7752,19.5220,298.98,459.57,1.76,1
-70.7752,19.5265,298.98,459.57,1.76,1
-70.7752,19.5310,361.70,400.61,1.42,1
-70.7752,19.5355,361.70,400.61,1.42,1
-70.7752,19.5400,381.98,377.49,1.33,1
-70.7752,19.5445,381.98,377.49,1.33,1
-70.7705,19.3556,559.27,162.96,0.86,1
-70.7705,19.3601,559.27,162.96,0.86,1
-70.7705,19.3646,529.63,194.34,0.92,1
-70.7705,19.3691,529.63,194.34,0.92,1
-70.7705,19.3736,471.77,264.03,1.05,1
