#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
zo_0,0.001,0.9749,1.4145,1.2675,1.154,1.0738,1.0502,1.0363,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0016,0.9894,1.4169,1.2779,1.1614,1.0774,1.0519,1.0391,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0026,1.0041,1.4192,1.2888,1.1689,1.0808,1.0544,1.0415,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0042,1.019,1.421,1.2995,1.1762,1.0838,1.0583,1.0447,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0068,1.0335,1.4223,1.3086,1.1822,1.0866,1.0618,1.0478,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.011,1.0481,1.4242,1.3135,1.1846,1.0914,1.066,1.051,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0178,1.0644,1.4309,1.3148,1.1879,1.0979,1.0698,1.051,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0288,1.0802,1.4444,1.33,1.2036,1.1052,1.0742,1.0527,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0465,1.0976,1.4422,1.3583,1.2243,1.113,1.0805,1.0559,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.0751,1.1156,1.4348,1.3918,1.2491,1.1258,1.0869,1.0609,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.1214,1.1343,1.4208,1.4318,1.2846,1.144,1.0974,1.0666,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.1962,1.1472,1.4001,1.4828,1.3498,1.1776,1.1207,1.0867,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.3171,1.1268,1.364,1.5218,1.4491,1.2731,1.1857,1.1184,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.5124,1.0705,1.3077,1.4875,1.4915,1.4411,1.3816,1.3128,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,0.8281,1.0185,1.2354,1.386,1.4176,1.4604,1.4795,1.5257,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,1.3381,0.9564,1.1508,1.2724,1.3106,1.3642,1.3819,1.5555,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,2.1624,0.8867,1.0802,1.1727,1.2018,1.2368,1.2241,1.7608,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,3.4943,0.8182,1.0114,1.0664,1.0801,1.1107,1.0803,1.7608,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,5.6467,0.7545,0.9433,0.9625,0.9636,0.9944,0.9534,1.7608,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_0,9.1249,0.6957,0.8796,0.8669,0.858,0.8903,0.8414,1.7608,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.001,1.3745,1.4385,1.9531,2.4328,2.6546,1.8876,1.3412,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0016,1.3722,1.425,1.9363,2.3973,2.6643,1.8982,1.3479,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0026,1.3741,1.4097,1.918,2.3624,2.6741,1.9083,1.3266,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0042,1.4014,1.398,1.9007,2.3311,2.6856,1.941,1.3265,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0068,1.3789,1.3974,1.8931,2.313,2.6999,1.9387,1.3183,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.011,1.3019,1.3883,1.8767,2.2842,2.7062,1.9637,1.3101,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0178,1.2439,1.3227,1.8387,2.208,2.6905,2.0161,1.3224,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0288,1.2146,1.2757,1.7867,2.0995,2.6206,2.0644,1.3539,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0465,1.179,1.2264,1.7223,1.9769,2.4319,2.021,1.4213,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.0751,1.1063,1.1906,1.6547,1.8708,2.0978,1.9207,1.4213,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.1214,0.9606,1.1348,1.5589,1.6703,1.746,1.7682,1.4213,0.3,0.3,0.3,0.3,0.3,0.3,0.3
zo_1,0.1962,0.8217,1.0589,1.4274,1.4575,1.3973,1.6278,1.4213,0.3,0.3,0.3,0.3,0.3,0.3,0.3
