ID_ZONA,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr
1,50568,7956402237.985648,428770.0,12.0560016361598,14.4801863094058,46038868.176474,0.578639274377986,0.023841167608289436,3.3771453948284162
2,44628,7771897362.274073,337268.6,12.604364542277,13.2881917135292,47618206.84219,0.6126973198762987,0.028243175903641216,3.9399433310806877
3,6227,1307419418.8060296,69220.1,0.4539511792515,0.46660251485154,2952603.4266782003,0.22583444793672997,0.0072900462381805045,0.674085294374813
4,24490,4881306789.838697,219732.8,6.432208198995,7.3572376621655,29198416.501238,0.598168026685388,0.02626463127396897,3.3482655580621103
5,23482,4951012812.753877,147034.4,3.16209354628642,2.507270297565058,18744882.115177,0.37860702090873066,0.013466031625442552,1.7052270064454698
6,1561,172740642.17,8643.2,0.07433463985449999,0.03324683853358,236681.7372284,0.13701566363026102,0.004761988459609225,0.38465890565508143
7,47022,14695707102.90014,391841.8,14.606253616311,18.1184186996228,82519819.394964,0.5615232994040759,0.031062595415573564,4.623911665274813
8,51627,6343312878.13692,319111.3,8.4532756370452,8.1153136418399,31776097.821993,0.5009385227002374,0.01637374946645205,2.54309817353378
9,12695,3557048498.9040227,88464.3,2.2077589073753,1.76608231535846,13675540.2701674,0.3844631377497672,0.01739077516640646,1.9963785565007126
10,633,48090042.08,4494.6,0.0347341256564,0.02109282931765,86842.1657162,0.18058242821192394,0.005487223642401264,0.4692926916221688
11,23947,3772812761.4962974,158465.7,4.920651327665,4.7486235908538,17509525.669409,0.4640973930141373,0.02054809089934021,2.996625510033906
