NM_PARR,ID_PARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,551.25199822,1647.3148301,770.77684742,399.958860312,930.69751549,108.9717152706,160.8364839181,263722516,13330.04194051,3264.095170938,33.774800834212186,2.534225936525581,392.09570991036014,32496.683155922645,7957.384307876459
LA LIBERTAD,2.0,2825.0,385733696,27497.7,667.83583932,1180.6502507,404.44654257,187.288090749,384.779253317,43.9167570653,48.15657677816,82949745,5106.73017488,1182.86924209,21.50440724715445,1.554575471338053,175.1294718400448,18571.48115980609,4301.702477261734
COTOCOLLAO,3.0,3838.0,715905633,30843.4,1837.922749,1494.437035166,288.384851913,98.5082968512,118.7471349767,13.86410837892,16.558085348279,62861652,1843.4580375732,345.34533339189,8.780717670233308,0.361232631029703,53.68437120511682,5976.831469854815,1119.6733608872237
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,372.260882536,872.8644721,463.26390945,258.34630737,676.26440951,78.78589213,61.2035149975,498607208,4841.35967318,1237.364165512,34.43903767242799,2.980926679152478,448.98591495800173,35515.971633202505,9077.241429864653
LA MAGDALENA,5.0,3647.0,781109400,28352.0,507.018138789,1439.83675975,644.98278039,326.543977874,728.618322684,84.9360354694,100.0661123831,243920748,8478.11483992,2038.604049565,31.22747566298285,2.328928858497395,352.9419878072094,29903.05742071106,7190.335953601157
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,372.402906143,1175.08329464,678.27887245,397.692397265,1160.542518929,136.7857875267,184.9763849371,453287825,16499.83236081,4349.216792111,41.18198775911483,3.614846393411734,453.121388191129,40418.277969879506,10653.917531449415
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,1498.21319476,3428.59721193,1414.40613552,686.674436092,1386.109145984,165.1025239986,196.20948637589998,368060600,16849.16727993,3916.370233729,26.934831854606784,1.962235845003566,306.1611346699018,26291.084431990887,6111.021320593881
SOLANDA,8.0,9002.0,1277371113,78250.0,1275.9379873,3769.54434229,1644.55653587,799.216049688,1512.744926324,176.9099894674,268.1136752271,369705314,21617.32592995,4990.428146232,28.942670615052585,1.965229831897356,342.63728463527156,27625.97562932907,6377.543956846006
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,1627.12582719,2032.01291662,481.172594383,177.96523992939998,229.7235471111,28.03643596629,29.88995579657,117121565,2881.387049656,562.609490841,11.570000190804516,0.616456375687995,93.23595624413569,8987.931555086965,1754.95187171225
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,2998.5389028,2141.37974162,412.1843099,142.2677414292,174.629380606,20.193646807766,25.103886654694,82329410,2711.8217205413,509.16889817681,8.246744471289274,0.344073041536309,54.40583646250805,5877.134926262896,1103.4848980575355
SAN ISIDRO,11.0,4473.0,980491758,41692.8,1892.1151823,1793.55914118,421.516076512,156.8153774106,208.9942642151,24.28255602608,35.184628555825,118036200,3675.2382649951,725.62141442964,12.038469392556902,0.542869573576571,84.39017901370259,8815.043040992929,1740.3998158666243
JIPI JAPA,12.0,3757.0,1218171533,32794.0,969.81624331,1671.20044484,537.824812621,227.53119408,350.627325917,42.3567715395,66.34624149345,227420137,5749.174022248,1237.1702686281,18.668974875783555,1.127409410154379,202.31213482176614,17531.176502555347,3772.5506758190522
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,1123.26728662,2681.7408571,1097.40549294,541.0505933,1197.53587276,138.872727932,191.4182379198,305757765,17206.25490525,4088.201755104,28.387007293304446,2.091141814967625,292.9128245334729,26329.428056125565,6255.86535725992
PONCEANO,14.0,5960.0,1623701668,54338.6,2849.8704909,2295.9892888599998,466.46982238,160.2987380288,187.37169701981,22.097832867972,34.896374456565,141277279,3681.2200416468,687.49584351573,8.700938203424663,0.370769007851879,64.22023102649865,6774.594931865746,1265.2071336319486
KENNEDY,15.0,8635.0,1747759641,69186.8,3163.36294728,3623.790398,946.439642302,370.1635531281,531.2434057035,62.82799319704,87.9673694857,249863078,8406.673676958,1725.4854640969,14.296192258359369,0.727596910214708,127.14472917623016,12150.690127246817,2493.9518291016493
LA  ARGELIA,16.0,7198.0,1000393637,57912.3,1553.40886123,2970.7436984,1090.28456468,514.178197081,1069.384762754,122.5948494898,143.1695258618,244037892,12911.42248153,2972.186254134,24.394186702445392,1.703179348288413,247.21782050065354,22294.784495746153,5132.2193284224595
