#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:07:24', checksum=4207624227, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,8.31438E+01,2.00929E+01,3.33930E+00,1.11270E+00,1.31133E+00,1.33275E-01,1.22270E-03,2.44948E-01,8.08251E-05,8.37999E+01,2.76512E-02,1.68828E+01,5.57079E-03,1.18199E+06,2.82664E-02
structural,NAYON,1.18502E+03,1.32210E+03,3.22414E+02,1.23785E+02,1.77675E+02,2.09260E+01,6.68347E-03,2.14697E+01,8.75189E-04,2.25065E+03,9.17452E-02,4.49866E+02,1.83383E-02,9.99231E+07,1.26582E-01
structural,LLOA,1.29600E+02,4.42081E+01,9.79123E+00,3.94473E+00,6.45624E+00,6.49748E-01,3.34922E-03,3.05297E-01,3.83973E-04,5.35925E+01,6.74034E-02,1.14587E+01,1.44116E-02,8.10979E+05,8.86643E-02
structural,QUITUMBE,2.62770E+03,4.59167E+03,1.70965E+03,8.09751E+02,1.61322E+03,1.87511E+02,1.65179E-02,2.33048E+02,2.91431E-03,1.94847E+04,2.43660E-01,4.50256E+03,5.63053E-02,4.75538E+08,2.63277E-01
structural,LA ECUATORIANA,3.72303E+03,4.10346E+03,1.20490E+03,5.13415E+02,8.68195E+02,1.01246E+02,9.72308E-03,1.00061E+02,1.63540E-03,9.40342E+03,1.53689E-01,2.04444E+03,3.34142E-02,1.98929E+08,1.81290E-01
structural,ALANGASI,6.86800E+02,1.33390E+03,5.20237E+02,2.50655E+02,5.29403E+02,6.16388E+01,1.85603E-02,5.00412E+01,2.35857E-03,4.87935E+03,2.29976E-01,1.13638E+03,5.35604E-02,2.25442E+08,2.62119E-01
structural,PINTAG,6.33640E+02,2.72380E+02,6.77141E+01,2.78882E+01,4.63780E+01,4.90615E+00,4.68144E-03,4.30918E+00,4.39295E-04,6.45087E+02,6.57628E-02,1.35388E+02,1.38020E-02,1.03477E+07,8.49615E-02
structural,LA MERCED,6.23939E+02,5.36546E+02,1.61899E+02,7.29660E+01,1.45651E+02,1.58984E+01,1.03170E-02,8.43401E+00,1.10574E-03,1.09069E+03,1.42994E-01,2.49048E+02,3.26513E-02,3.87344E+07,1.64184E-01
structural,GUANGOPOLO,4.98141E+00,1.13391E+01,5.11130E+00,2.68611E+00,6.88207E+00,7.82754E-01,2.52501E-02,6.47931E+00,3.27453E-03,5.83146E+02,2.94712E-01,1.40822E+02,7.11692E-02,1.22457E+06,3.22845E-01
structural,CUMBAYA,1.17252E+03,2.47933E+03,8.95219E+02,4.08605E+02,7.65325E+02,9.15596E+01,1.60041E-02,7.50734E+01,2.29349E-03,6.85495E+03,2.09419E-01,1.54446E+03,4.71834E-02,4.04403E+08,2.23923E-01
