#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:07:24', checksum=4207624227"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,1.08190E+05,3.40430E+04,1.54303E+04,2.95949E+04,3.44705E+03,3.92323E+03,3.59957E+05,8.17801E+04,1.08567E+10,structural
1,1.08446E+05,3.29397E+04,1.45790E+04,2.72751E+04,3.16076E+03,3.50497E+03,3.24211E+05,7.34917E+04,1.05068E+10,structural
2,1.10035E+05,3.47623E+04,1.55682E+04,2.78687E+04,3.22499E+03,3.69947E+03,3.46256E+05,7.71373E+04,1.02458E+10,structural
3,1.04020E+05,3.50081E+04,1.66363E+04,3.36518E+04,3.92797E+03,4.31124E+03,3.92610E+05,9.07349E+04,1.16712E+10,structural
4,1.07188E+05,3.49520E+04,1.58179E+04,3.11648E+04,3.62672E+03,4.06609E+03,3.72898E+05,8.56175E+04,1.09580E+10,structural
5,1.05479E+05,3.36915E+04,1.56964E+04,3.41240E+04,3.98567E+03,4.56452E+03,3.95892E+05,9.45131E+04,1.17051E+10,structural
6,1.06519E+05,3.48819E+04,1.61665E+04,3.52011E+04,4.09484E+03,4.72538E+03,4.12556E+05,9.85340E+04,1.18931E+10,structural
7,1.08271E+05,3.54560E+04,1.59971E+04,3.09659E+04,3.60090E+03,4.13300E+03,3.76246E+05,8.62339E+04,1.09744E+10,structural
8,1.08633E+05,3.54928E+04,1.60839E+04,3.10649E+04,3.62130E+03,4.08854E+03,3.70963E+05,8.51807E+04,1.08105E+10,structural
9,1.05734E+05,3.35574E+04,1.53796E+04,3.04617E+04,3.53257E+03,4.12226E+03,3.70869E+05,8.59773E+04,1.11713E+10,structural
10,1.11325E+05,3.66366E+04,1.62683E+04,2.91450E+04,3.37441E+03,3.57957E+03,3.47374E+05,7.66795E+04,1.09960E+10,structural
11,1.09241E+05,3.32377E+04,1.48472E+04,2.90511E+04,3.36891E+03,3.74809E+03,3.41198E+05,7.82241E+04,1.10084E+10,structural
12,1.07364E+05,3.59800E+04,1.64593E+04,3.25177E+04,3.77642E+03,4.07513E+03,3.79291E+05,8.67728E+04,1.08653E+10,structural
13,1.10005E+05,3.39256E+04,1.53437E+04,3.02941E+04,3.51434E+03,4.12682E+03,3.68274E+05,8.57838E+04,1.15733E+10,structural
14,1.07567E+05,3.50251E+04,1.59762E+04,3.13550E+04,3.63802E+03,4.11003E+03,3.73438E+05,8.61153E+04,1.11947E+10,structural
15,1.09778E+05,3.44034E+04,1.54891E+04,2.78857E+04,3.23564E+03,3.52085E+03,3.33782E+05,7.37491E+04,1.06169E+10,structural
16,1.07801E+05,3.57112E+04,1.63868E+04,3.22545E+04,3.75967E+03,4.38907E+03,3.97163E+05,9.10726E+04,1.15256E+10,structural
17,1.08344E+05,3.67824E+04,1.70762E+04,3.29027E+04,3.81826E+03,4.25023E+03,3.91385E+05,8.97559E+04,1.14297E+10,structural
18,1.09078E+05,3.31346E+04,1.52756E+04,3.00945E+04,3.50232E+03,4.03402E+03,3.67418E+05,8.50100E+04,1.09784E+10,structural
19,1.09596E+05,3.42669E+04,1.54667E+04,3.07931E+04,3.58160E+03,4.00415E+03,3.66482E+05,8.46408E+04,1.07441E+10,structural
20,1.07781E+05,3.42270E+04,1.55193E+04,2.93310E+04,3.37728E+03,3.82699E+03,3.53476E+05,7.98966E+04,1.07366E+10,structural
21,1.11976E+05,3.45699E+04,1.50684E+04,2.62306E+04,3.03451E+03,3.47771E+03,3.29838E+05,7.29253E+04,1.01471E+10,structural
22,1.06157E+05,3.29630E+04,1.53049E+04,3.19380E+04,3.71433E+03,4.25135E+03,3.78626E+05,8.87503E+04,1.07981E+10,structural
23,1.04930E+05,3.57360E+04,1.67729E+04,3.29718E+04,3.86679E+03,4.34428E+03,3.92645E+05,9.04271E+04,1.14616E+10,structural
24,1.07130E+05,3.45711E+04,1.59654E+04,3.21093E+04,3.72924E+03,4.17154E+03,3.79307E+05,8.73160E+04,1.09690E+10,structural
25,1.07281E+05,3.50948E+04,1.59239E+04,3.10422E+04,3.60978E+03,3.97257E+03,3.64230E+05,8.33701E+04,1.05459E+10,structural
26,1.09033E+05,3.56313E+04,1.59087E+04,2.83806E+04,3.29951E+03,3.89381E+03,3.60835E+05,8.11290E+04,1.07009E+10,structural
27,1.06711E+05,3.36597E+04,1.55219E+04,2.99586E+04,3.47566E+03,4.02201E+03,3.66819E+05,8.40095E+04,1.09443E+10,structural
28,1.08679E+05,3.47222E+04,1.57143E+04,2.91971E+04,3.37446E+03,3.73238E+03,3.51263E+05,7.91827E+04,1.06188E+10,structural
29,1.07732E+05,3.24110E+04,1.47432E+04,2.95087E+04,3.43650E+03,3.91788E+03,3.51725E+05,8.11121E+04,1.07006E+10,structural
30,1.08661E+05,3.57614E+04,1.63880E+04,3.24560E+04,3.78456E+03,4.43648E+03,3.91219E+05,9.08929E+04,1.15037E+10,structural
31,1.09222E+05,3.52308E+04,1.60410E+04,3.30007E+04,3.85533E+03,4.37387E+03,3.91172E+05,9.18388E+04,1.14958E+10,structural
32,1.05792E+05,3.63762E+04,1.69574E+04,3.56956E+04,4.19216E+03,4.67960E+03,4.16237E+05,9.71420E+04,1.18469E+10,structural
33,1.07359E+05,3.45292E+04,1.55305E+04,2.83612E+04,3.29375E+03,3.83736E+03,3.56073E+05,8.02601E+04,1.10676E+10,structural
34,1.09711E+05,3.40352E+04,1.51593E+04,2.88438E+04,3.35224E+03,3.76029E+03,3.45475E+05,7.91565E+04,1.04163E+10,structural
35,1.03053E+05,3.47052E+04,1.60715E+04,3.26052E+04,3.79771E+03,4.45608E+03,3.95319E+05,9.24304E+04,1.15487E+10,structural
36,1.07205E+05,3.28126E+04,1.49145E+04,3.07819E+04,3.56841E+03,4.19175E+03,3.71934E+05,8.70448E+04,1.13362E+10,structural
37,1.07856E+05,3.38849E+04,1.52303E+04,2.94956E+04,3.44297E+03,3.84127E+03,3.52796E+05,8.07728E+04,1.04851E+10,structural
38,1.07541E+05,3.48302E+04,1.60156E+04,3.06710E+04,3.55930E+03,4.06717E+03,3.72640E+05,8.52634E+04,1.08197E+10,structural
39,1.08344E+05,3.56683E+04,1.65499E+04,3.37159E+04,3.92700E+03,4.07422E+03,3.75886E+05,8.64986E+04,1.11358E+10,structural
40,1.08147E+05,3.49716E+04,1.60490E+04,3.20203E+04,3.72636E+03,4.27629E+03,3.86564E+05,8.95227E+04,1.15933E+10,structural
41,1.10896E+05,3.45783E+04,1.52673E+04,2.80170E+04,3.24159E+03,3.47144E+03,3.29627E+05,7.29900E+04,1.05220E+10,structural
42,1.06428E+05,3.35004E+04,1.52952E+04,2.98024E+04,3.47777E+03,4.06349E+03,3.65512E+05,8.41162E+04,1.13194E+10,structural
