NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,9843.940159949,20714.14675935,8143.010561603,3909.154730565,7957.7479580068,928.21492941579,1218.267092288988,2119780920,105673.918877724,24625.44743879744,26.642455431669614,1.835577696202717,284.13067432166144,24645.82850426196,5743.276684189062
LA DELICIA,2.0,44628.0,7771897362,337268.6,25654.9323398,14824.9199063388,2461.048352806236,796.2714258639587,890.8282144269418,103.19446194647323,119.95782160803368,503949800,13933.359885843924,2532.1712234876886,6.48425701012296,0.231232548952391,35.56744434792735,4131.235426554362,750.7877174120831
AEROPUERTO,3.0,6227.0,1307419419,69220.1,3842.5546222,1732.700812369,343.09664048752,126.69871619295701,181.9492146783505,19.588300756612078,19.4094258446928,102266676,3944.022350436582,826.191830402779,7.822025199004439,0.314570431292951,28.040158631225324,5697.79926702877,1193.5721421997064
CENTRO,4.0,24490.0,4881306790,219732.8,3748.740498897,9197.2742063,4128.046335935,2157.173747802,5258.765395662,617.0733638565,751.71484332836,1646924503,65811.15689811,16330.336405829,33.73941801992786,2.519695238287056,342.10406608770285,29950.538516830446,7431.906572814347
CHILLOS,5.0,23482.0,4951012813,147034.4,5080.88018301,8853.85530798,3572.3406961059,1789.40434747462,4185.5193461552,483.1809205471582,415.34588058026577,1421908746,38132.5948526155,9227.00639711006,28.71955295311605,2.05766510751707,282.4821134239782,25934.47169683795,6275.406569557914
NORCENTRAL,6.0,1561.0,172740642,8643.2,1422.588545,124.43520226016,9.944831166346466,2.351908706799257,1.67950594692455,0.176223488005546,0.069622356027313,1380702,22.596609080240878,3.482409670220009,0.799291979335896,0.01128914080753,0.805515966624782,261.4379984292956,40.29074498125704
NORTE,7.0,47022.0,14695707103,391841.8,15833.219162626,19300.03812077,5598.864392301,2359.7411766132,3930.1372330123,464.22029232505,564.425735318205,2694067004,50943.1910972782,11049.7501656417,18.332340082400638,0.987240636989175,144.044289128471,13000.958830139663,2819.951869770326
QUITUMBE,8.0,51627.0,6343312878,319111.3,15280.0937757,20367.97519028,6821.272512226,3119.599940064,6038.0586168189,695.64095746116,708.97956704862,1452991245,63561.171578602996,14460.7229646407,22.90587384284889,1.347436336531582,222.17313114534647,19918.18264618113,4531.560920794938
TUMBACO,9.0,12695.0,3557048499,88464.3,3298.25158106,5259.35636975,1788.515449158,809.387910679,1539.488585351,179.4955366628,151.31806670882,728846876,15416.35242252,3459.1961129795,20.490214749328498,1.413907338816857,171.04986611415,17426.636985224548,3910.2735374377007
NOROCCIDENTE,10.0,633.0,48090042,4494.6,593.5389487,35.28836118243,3.054452957429594,0.68551131914768,0.432728074780956,0.040964252046819,0.041728783924828,346506,11.512956095000607,1.741223976675615,0.720536019617848,0.006471445820982,0.928420413937357,256.1508497975483,38.740354573835596
CALDERON,11.0,23947.0,3772812761,158465.7,13784.8721616,7684.533669223,1407.34388577214,480.045864770137,590.204569721168,66.9776842572971,64.22023815805356,271662086,7676.36191872865,1433.3073481063002,7.20051863154934,0.279691336105972,40.52627045351364,4844.178846733805,904.4905920374567
