NM_PARR,ID_PARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,2477.9613851999998,1282.38617426,266.752919602,103.5143104385,169.3853163945,19.79306866479,27.89279202392,65094350,2707.506459491,585.0628579933,8.336598448967191,0.460303922436977,67.99852759508236,6600.502830325429,1426.2972620309267
LA LIBERTAD,2.0,2825.0,385733696,27497.7,1742.4188322,744.60548965,159.01829314,64.1674676479,114.7899832434,13.08866981532,14.3828391776,29267672,1603.179851446,356.36738643,7.587533232739895,0.463315745675044,52.30560802394382,5830.232533797372,1295.989797073937
COTOCOLLAO,3.0,3838.0,715905633,30843.4,2284.9671766,1098.66340339,223.593541773,86.714467211,144.061417344,16.9306304853,21.48717414242,60763189,2012.8145436080001,433.5342295371,8.487597551348864,0.441131591591975,69.66538754618492,6525.916544894532,1405.5980518914905
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,1470.865338,751.545056905,191.03087395,80.839453152,148.71928208,17.4096128091,12.76716974863,120547781,1153.870891539,261.1642877274,8.326292735588211,0.658706500533485,93.65931664622381,8464.738961515606,1915.8881100935332
LA MAGDALENA,5.0,3647.0,781109400,28352.0,2092.9828725,1084.21920804,226.277938823,89.0753617814,154.4446467296,18.01294652483,19.57979532512,63615214,1883.792001135,411.2951001083,8.144213026939125,0.493911338766932,69.05966184085779,6644.300229736879,1450.6740269056857
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,2056.5172084,1071.70289003,288.666908063,124.6216916457,242.4912707885,28.53167946735,37.41233078092,118768106,3859.311534034,907.24846941,10.79028910624783,0.754008442583245,91.6458999059837,9453.837041729235,2222.4117204643494
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,4897.9354217,2496.31534533,510.117781445,196.1399221166,313.4915814852,37.32232076996,43.46780901403,100345190,4127.784480011,880.4938236201,7.343303827385726,0.44357405241217,67.82625027545367,6440.907641192441,1373.9039487261066
SOLANDA,8.0,9002.0,1277371113,78250.0,5105.4440462,2806.49397157,563.168913442,211.2221093864,315.6709983772,37.20040084372,52.75819319435,99126265,4764.955497725,992.6095818498,7.760177466266574,0.413245954718063,67.42261111099042,6089.399997092652,1268.5106477313736
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,2596.5297905,1391.09022824,282.385408773,108.1674033665,169.8272404708,20.88672962331,24.587732134612,79569889,2129.449106281,453.6896395653,7.86041095420063,0.459250871224934,76.69669145875028,6642.406066057569,1415.1973884077186
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,3983.033546,1391.26122843,252.390039646,94.0013521611,148.3138836954,17.1737700994,20.57510705026,58713865,2006.065961299,418.2099857972,5.881230549786258,0.292618335310956,44.59094023059302,4347.601553683312,906.356231098416
SAN ISIDRO,11.0,4473.0,980491758,41692.8,2728.804345,1231.93207597,254.99090304,98.5095874841,158.7631004339,18.50380280105,27.244241681734,81868285,2609.4666706978,555.52963591863,8.349716743707814,0.413677683904538,65.34519552952548,6258.794493768229,1332.4354227075896
JIPI JAPA,12.0,3757.0,1218171533,32794.0,2042.8556666,1184.69375152,261.473803776,103.0097112036,164.967128699,19.9463723808,30.48301481748,111483244,2639.6425815007,570.1315718436,9.151686834781358,0.530912227330317,92.95302438702201,8049.163205161615,1738.5240344075137
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,4106.3024002,1811.64312895,358.382835184,137.5600043592,227.1117471025,26.31664761039,35.59753536825,77076348,3629.2374006666,780.67191582338,7.155883167720893,0.396275374347086,54.47221092648956,5553.546984259501,1194.6030763985561
PONCEANO,14.0,5960.0,1623701668,54338.6,3711.2669344,1612.60730779,322.479667955,122.6531051828,190.9930298241,22.60602825321,35.56908153015,115289267,3299.465883145,695.5249373793,7.100397155119095,0.37929577606057,65.45822220327723,6072.048015857973,1279.9831747216529
KENNEDY,15.0,8635.0,1747759641,69186.8,5062.1800152,2488.8827602,526.147540929,207.4215457298,350.368093155,41.63089727543,56.70446552148,154990874,5086.334945558,1105.8103873125,8.867974226021158,0.482118092361668,81.95850295356918,7351.5973358473,1598.2967665978194
LA  ARGELIA,16.0,7198.0,1000393637,57912.3,4840.0356021,1736.0631269,316.354811935,118.2861951401,187.2602939678,21.52790931149,25.826268545224,59780424,2595.003853106,542.46918255626,5.975690127271176,0.299081818720339,44.59548065820905,4480.920034441733,936.7080612516856
LLANO CHICO,17.0,1752.0,181756281,8115.9,1261.4407215,339.11978781,69.463092687,28.0710404374,53.9053405333,5.8249230899,2.957236436831,10585732,360.4260213731,80.12330480593,5.824135263489675,0.332472779103881,36.43756621977846,4440.986475598517,987.238689559137
ZAMBIZA,18.0,461.0,57919150,2954.7,323.2003801,98.77870463,18.770538593,7.3153915252,12.9349880561,1.42977023647,1.024917627025,3214395,121.829228803,26.4652408986,5.54979599239679,0.310145387520607,34.68770525011,4123.235144109386,895.6997630419332
CHILIBULO,19.0,5126.0,869344433,48791.3,3365.6969111,1285.82983666,240.142597008,90.30685801759999,144.0238496343,16.49161920502,20.103432996646,53528307,2128.1902140772,447.26712288224,6.157318665951728,0.321724916211861,41.20290501922678,4361.82314075911,916.6944165911544
LA MENA,20.0,6046.0,794620550,44212.7,4107.0872262,1468.72014791,249.638196624,89.816955076,130.7373915444,15.343293725339999,18.005347111117,45692331,1766.1683259018,360.8025795555,5.750207531931611,0.253775946499173,40.724378088461016,3994.708140199083,816.0609498074083
CARCELEN,21.0,7979.0,1203740583,55415.3,4895.6949863,2233.04451237,431.354321275,163.2380523892,255.6680485382,30.85412117018,35.36650236433,88748894,3215.975520151,682.0424991722,7.37275914581586,0.386691580024815,63.82082631390609,5803.407218134703,1230.7837351276632
