#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T15:56:35', checksum=891515773, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,7.03962E+01,2.31646E+01,6.20095E+00,2.78370E+00,6.45454E+00,6.57497E-01,6.03208E-03,1.45451E+00,4.79940E-04,3.03013E+02,9.99846E-02,7.70523E+01,2.54248E-02,3.47995E+06,8.32209E-02
structural,NAYON,2.21129E+03,7.04436E+02,1.15606E+02,4.10631E+01,5.86075E+01,6.88869E+00,2.20016E-03,7.07631E+00,2.88458E-04,7.49281E+02,3.05436E-02,1.49498E+02,6.09412E-03,3.57339E+07,4.52673E-02
structural,LLOA,1.59462E+02,2.35890E+01,4.92249E+00,2.02246E+00,4.00383E+00,4.05388E-01,2.08963E-03,1.74958E-01,2.20046E-04,2.82869E+01,3.55765E-02,6.33663E+00,7.96960E-03,4.44409E+05,4.85873E-02
structural,QUITUMBE,8.11019E+03,2.47625E+03,4.12716E+02,1.46792E+02,2.06051E+02,2.42924E+01,2.13992E-03,3.49845E+01,4.37487E-04,3.28896E+03,4.11290E-02,6.71779E+02,8.40071E-03,1.01596E+08,5.62475E-02
structural,LA ECUATORIANA,7.41685E+03,2.24818E+03,3.92608E+02,1.43372E+02,2.11997E+02,2.48219E+01,2.38374E-03,2.44297E+01,3.99278E-04,2.42778E+03,3.96797E-02,4.99483E+02,8.16354E-03,6.13140E+07,5.58772E-02
structural,ALANGASI,2.08108E+03,8.82117E+02,1.74203E+02,6.76604E+01,1.15938E+02,1.34647E+01,4.05443E-03,1.09049E+01,5.13977E-04,1.17122E+03,5.52024E-02,2.54994E+02,1.20185E-02,6.21619E+07,7.22748E-02
structural,PINTAG,7.91692E+02,1.69966E+02,3.86222E+01,1.61447E+01,3.15754E+01,3.34211E+00,3.18903E-03,2.80956E+00,2.86418E-04,4.03668E+02,4.11516E-02,9.03980E+01,9.21554E-03,6.89146E+06,5.65834E-02
structural,LA MERCED,1.07469E+03,3.16389E+02,6.82854E+01,2.80554E+01,5.35845E+01,5.86094E+00,3.80333E-03,3.01218E+00,3.94910E-04,4.00314E+02,5.24829E-02,9.05596E+01,1.18728E-02,1.57914E+07,6.69351E-02
structural,GUANGOPOLO,1.93676E+01,7.98811E+00,1.73761E+00,6.93716E-01,1.21294E+00,1.37206E-01,4.42600E-03,9.82004E-01,4.96288E-04,1.06947E+02,5.40493E-02,2.24993E+01,1.13708E-02,2.87860E+05,7.58915E-02
structural,CUMBAYA,3.60123E+03,1.57358E+03,2.83426E+02,1.04484E+02,1.58277E+02,1.89813E+01,3.31783E-03,1.46134E+01,4.46440E-04,1.45985E+03,4.45984E-02,3.02531E+02,9.24234E-03,1.08642E+08,6.01562E-02
