#vs30_ref=800,,,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.5),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.5),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
MSQ8,0.6162,1.0759,1.2164,1.4091,1.5668,1.5745,1.5998,1.7288,2.0816,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.975,0.9938,1.1527,1.3169,1.4603,1.4336,1.4408,1.5225,1.8594,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,1.5426,0.8915,1.0847,1.1961,1.3088,1.2673,1.2721,1.3018,1.6583,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,2.4408,0.8004,1.0002,1.0485,1.128,1.1151,1.1206,1.111,1.4789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,3.8618,0.7159,0.9154,0.91,0.9681,0.9786,0.9841,0.9471,1.3189,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,6.1102,0.6403,0.8359,0.7879,0.827,0.8583,0.8642,0.8073,1.1762,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.001,1.4821,1.8077,2.0875,2.1705,1.962,2.2093,2.5229,2.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0016,1.4929,1.8045,2.0869,2.1767,1.9503,2.1946,2.5204,2.3049,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0025,1.5035,1.801,2.0862,2.1831,1.9386,2.1804,2.5189,2.3095,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.004,1.5143,1.7971,2.0854,2.1896,1.9277,2.1675,2.5095,2.3151,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0063,1.5262,1.793,2.0846,2.196,1.918,2.1542,2.4922,2.3215,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0099,1.5394,1.7897,2.0839,2.2019,1.9069,2.1346,2.4699,2.3417,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0157,1.5475,1.7874,2.0833,2.2078,1.8851,2.0979,2.4389,2.3839,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0248,1.5457,1.7859,2.0821,2.2167,1.8571,2.059,2.3836,2.4327,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0393,1.5499,1.7757,2.0805,2.2289,1.827,2.0084,2.316,2.5186,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0621,1.5533,1.7602,2.0801,2.2428,1.788,1.9378,2.2315,2.6539,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0983,1.5383,1.7412,2.0821,2.259,1.7398,1.8588,2.1617,2.7212,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.1556,1.5016,1.7137,2.0844,2.2631,1.7048,1.7892,2.0428,2.6394,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.2461,1.4317,1.6685,2.0535,2.2247,1.7063,1.7581,1.9588,2.4621,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.3895,1.3477,1.6072,1.9508,2.0901,1.7624,1.7402,1.8871,2.25,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.6162,1.2533,1.5137,1.775,1.8513,1.7301,1.7071,1.8508,1.8879,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.975,1.1491,1.4157,1.6105,1.6772,1.5467,1.5405,1.7338,1.5623,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,1.5426,1.0314,1.3168,1.4257,1.4687,1.3448,1.3468,1.5155,1.2933,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,2.4408,0.9264,1.2099,1.2373,1.2485,1.1632,1.1723,1.317,1.0706,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,3.8618,0.83,1.1059,1.0691,1.0574,1.0051,1.0163,1.1403,0.8863,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,6.1102,0.7435,1.0096,0.9225,0.8927,0.8681,0.8811,0.9873,0.7337,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.001,1.7504,1.9238,2.3404,3.1781,2.7767,2.3503,3.2584,2.7907,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0016,1.7476,1.9111,2.2963,3.1224,2.7974,2.3535,3.2406,2.7921,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0025,1.744,1.8975,2.2516,3.0645,2.8186,2.3564,3.2258,2.7954,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.004,1.741,1.8832,2.2062,3.0065,2.8393,2.3583,3.1773,2.8005,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0063,1.7408,1.8687,2.1619,2.9518,2.859,2.3589,3.1007,2.8108,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0099,1.7428,1.8557,2.1216,2.905,2.8817,2.3635,3.0103,2.8605,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0157,1.7304,1.8453,2.085,2.8615,2.9186,2.3892,2.8997,2.9795,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0248,1.6968,1.8363,2.045,2.7779,2.9639,2.4205,2.7446,3.1251,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0393,1.6731,1.8074,1.9687,2.6529,3.0113,2.4948,2.6156,3.2852,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0621,1.6429,1.7696,1.8826,2.517,3.0204,2.6243,2.5169,3.3458,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.0983,1.5949,1.7283,1.7915,2.3499,2.8357,2.7677,2.6844,3.5375,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.1556,1.5262,1.682,1.6957,2.1619,2.5225,2.7123,2.8492,3.508,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.2461,1.4474,1.6208,1.5913,2.002,2.303,2.6068,2.9206,2.7426,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.3895,1.3781,1.5587,1.5285,1.9271,2.1867,2.3919,2.3393,2.04,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.6162,1.2306,1.474,1.4826,1.8312,1.8628,1.8271,1.5014,1.5136,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,0.975,1.0429,1.3896,1.4363,1.63,1.4651,1.3565,0.8913,1.1234,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,1.5426,0.8551,1.2767,1.3001,1.3256,1.1238,1.0108,0.5256,0.8338,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,2.4408,0.6994,1.1308,1.0526,1.0241,0.8617,0.7561,0.3099,0.6189,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,3.8618,0.5701,0.9925,0.8417,0.7885,0.6596,0.5659,0.1827,0.4593,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS11,6.1102,0.4647,0.8674,0.6652,0.6042,0.5048,0.4235,0.1077,0.3409,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.001,1.3264,1.7609,1.7053,1.6798,2.0654,2.1646,2.1359,1.6356,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.0016,1.335,1.7603,1.7054,1.6771,2.0583,2.1594,2.1363,1.6363,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.0025,1.3434,1.7595,1.7054,1.6741,2.0511,2.1545,2.1363,1.6363,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.004,1.352,1.7586,1.7053,1.6711,2.0445,2.1501,2.1395,1.637,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.0063,1.3612,1.7577,1.7052,1.6683,2.0388,2.1454,2.145,1.6395,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.0099,1.3714,1.7569,1.7052,1.6659,2.0322,2.1381,2.1508,1.6471,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS13,0.0157,1.3781,1.7566,1.7056,1.6636,2.018,2.124,2.1609,1.6609,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
