lon,lat,vs30,z1pt0,z2pt5,vs30measured,ampcode
-79.0,0.0032,405.18,349.29,1.25,1,noaf
-79.0,-0.0058,475.19,259.69,1.04,1,noaf
-79.0,0.0122,395.98,360.65,1.28,1,noaf
-79.0,-0.0148,516.97,208.74,0.94,1,noaf
-79.0,0.0212,401.3,354.11,1.26,1,noaf
-79.0,-0.0238,366.12,395.71,1.4,1,noaf
-79.0,0.0302,398.49,357.58,1.27,1,noaf
-79.0,-0.0328,467.92,268.94,1.06,1,noaf
-79.0,0.0392,377.95,382.21,1.35,1,noaf
-79.0,-0.0417,405.71,348.63,1.24,1,noaf
-79.0,0.0482,406.33,347.86,1.24,1,noaf
-79.0,-0.0507,391.8,365.74,1.29,1,noaf
-79.0,0.0572,393.36,363.85,1.29,1,noaf
-79.0,-0.0597,380.72,378.97,1.34,1,noaf
-79.0,0.0662,381.13,378.48,1.34,1,noaf
-79.0,-0.0687,379.31,380.62,1.34,1,noaf
-79.0,0.0752,409.37,344.05,1.23,1,noaf
-79.0,-0.0777,380.09,379.7,1.34,1,noaf
-79.0,0.0842,370.44,390.84,1.38,1,noaf
-79.0,-0.0867,378.16,381.96,1.35,1,noaf
-79.0,0.0932,366.22,395.59,1.4,1,noaf
-79.0,-0.0957,385.02,373.89,1.32,1,noaf
-79.0,0.1022,368.36,393.19,1.39,1,noaf
-79.0,-0.1047,478.41,255.61,1.03,1,noaf
-79.0,0.1111,363.88,398.2,1.41,1,noaf
-79.0,-0.1137,384.7,374.27,1.32,1,noaf
-79.0,0.1201,521.25,203.81,0.93,1,noaf
-79.0,-0.1227,483.68,249.0,1.02,1,noaf
-79.0,0.1291,489.73,241.47,1.0,1,noaf
-79.0,-0.1317,455.99,284.24,1.09,1,noaf
-79.0,0.1381,564.72,157.58,0.85,1,noaf
-79.0,-0.1407,421.02,329.29,1.19,1,noaf
-79.0,0.1471,401.67,353.66,1.26,1,noaf
-79.0,-0.1497,408.84,344.72,1.23,1,noaf
-79.0,0.1561,346.22,417.06,1.49,1,noaf
-79.0,-0.1587,414.69,337.35,1.21,1,noaf
-79.0,0.1651,408.17,345.56,1.24,1,noaf
-79.0,-0.1676,374.0,386.77,1.37,1,noaf
-79.0,0.1741,446.88,296.01,1.11,1,noaf
-79.0,-0.1766,366.22,395.6,1.4,1,noaf
-79.0,0.1831,440.51,304.23,1.13,1,noaf
-79.0,-0.1856,419.22,331.58,1.2,1,noaf
-79.0,0.1921,412.09,340.63,1.22,1,noaf
-79.0,-0.1946,531.09,192.71,0.91,1,noaf
-79.0,0.2011,481.77,251.39,1.02,1,noaf
-79.0,-0.2036,666.93,79.9,0.7,1,noaf
-79.0,0.2101,572.69,149.94,0.84,1,noaf
-79.0,-0.2126,774.41,37.27,0.59,1,noaf
-79.0,0.2191,491.42,239.38,1.0,1,noaf
-79.0,-0.2216,567.12,155.25,0.85,1,noaf
-79.0,0.2281,491.4,239.4,1.0,1,noaf
-79.0,-0.2306,543.48,179.24,0.89,1,noaf
-79.0,0.2371,541.15,181.73,0.89,1,noaf
-79.0,-0.2396,616.94,112.49,0.77,1,noaf
-79.0,0.246,442.2,302.05,1.13,1,noaf
-79.0,-0.2486,663.06,82.09,0.71,1,noaf
-79.0,0.255,460.02,279.06,1.08,1,noaf
-79.0,-0.2576,727.35,52.14,0.64,1,noaf
-79.0,0.264,353.43,409.53,1.46,1,noaf
-79.0,-0.2666,774.34,37.29,0.59,1,noaf
-79.0,0.273,394.68,362.24,1.28,1,noaf
-79.0,-0.2756,680.48,72.67,0.69,1,noaf
-79.0,0.282,329.08,433.88,1.58,1,noaf
-79.0,-0.2846,560.51,161.73,0.86,1,noaf
-79.0,0.291,467.76,269.14,1.06,1,noaf
-79.0,-0.2935,534.25,189.21,0.91,1,noaf
-79.0,0.3,607.76,119.57,0.78,1,noaf
-79.0,-0.3025,398.68,357.34,1.27,1,noaf
-79.0,-0.3115,523.24,201.54,0.93,1,noaf
-79.0,-0.3205,553.18,169.12,0.87,1,noaf
-79.0,-0.3295,562.08,160.17,0.86,1,noaf
-79.0,-0.3385,515.79,210.11,0.95,1,noaf
-79.0,-0.3475,559.81,162.42,0.86,1,noaf
-79.0,-0.3565,551.48,170.86,0.88,1,noaf
-79.0,-0.3655,522.63,202.23,0.93,1,noaf
-79.0,-0.3745,625.04,106.53,0.76,1,noaf
-79.0,-0.3835,900.0,15.46,0.5,1,noaf
-79.0,-0.3925,900.0,15.46,0.5,1,noaf
-79.0,-0.4015,900.0,15.46,0.5,1,noaf
-79.0,-0.4105,900.0,15.46,0.5,1,noaf
-79.0,-0.4195,874.89,18.37,0.52,1,noaf
-79.0,-0.4284,855.74,20.99,0.53,1,noaf
-79.0,-0.4374,874.64,18.4,0.52,1,noaf
-79.0,-0.4464,832.6,24.68,0.55,1,noaf
-79.0,-0.4554,792.2,32.84,0.58,1,noaf
-79.0,-0.4644,741.51,47.13,0.62,1,noaf
-79.0,-0.4734,698.25,64.11,0.67,1,noaf
-79.0,-0.4824,847.3,22.26,0.54,1,noaf
-79.0,-0.4914,817.23,27.5,0.56,1,noaf
-79.0,-0.5004,551.87,170.46,0.88,1,noaf
-78.991,0.0032,419.25,331.56,1.2,1,noaf
-78.991,-0.0058,471.21,264.74,1.05,1,noaf
-78.991,0.0122,416.99,334.42,1.21,1,noaf
-78.991,-0.0148,554.42,167.86,0.87,1,noaf
-78.991,0.0212,400.28,355.37,1.26,1,noaf
-78.991,-0.0238,354.75,408.13,1.45,1,noaf
-78.991,0.0302,408.88,344.66,1.23,1,noaf
-78.991,-0.0328,534.41,189.03,0.91,1,noaf
-78.991,0.0392,398.6,357.44,1.27,1,noaf
-78.991,-0.0417,409.65,343.7,1.23,1,noaf
-78.991,0.0482,411.69,341.13,1.22,1,noaf
-78.991,-0.0507,402.68,352.41,1.26,1,noaf
-78.991,0.0572,410.05,343.19,1.23,1,noaf
-78.991,-0.0597,377.04,383.26,1.35,1,noaf
-78.991,0.0662,400.69,354.86,1.26,1,noaf
-78.991,-0.0687,381.47,378.08,1.34,1,noaf
-78.991,0.0752,386.93,371.6,1.31,1,noaf
-78.991,-0.0777,396.53,359.98,1.28,1,noaf
-78.991,0.0842,352.12,410.92,1.46,1,noaf
-78.991,-0.0867,393.55,363.62,1.29,1,noaf
-78.991,0.0932,373.37,387.5,1.37,1,noaf
-78.991,-0.0957,418.73,332.21,1.2,1,noaf
-78.991,0.1022,376.34,384.07,1.36,1,noaf
-78.991,-0.1047,451.79,289.67,1.1,1,noaf
-78.991,0.1111,340.28,423.06,1.52,1,noaf
-78.991,-0.1137,489.62,241.61,1.0,1,noaf
-78.991,0.1201,488.16,243.41,1.01,1,noaf
-78.991,-0.1227,488.39,243.13,1.01,1,noaf
-78.991,0.1291,441.01,303.59,1.13,1,noaf
-78.991,-0.1317,297.52,460.68,1.77,1,noaf
-78.991,0.1381,525.63,198.83,0.93,1,noaf
-78.991,-0.1407,485.37,246.89,1.01,1,noaf
-78.991,0.1471,403.43,351.47,1.25,1,noaf
-78.991,-0.1497,493.99,236.22,0.99,1,noaf
-78.991,0.1561,382.96,376.33,1.33,1,noaf
-78.991,-0.1587,440.2,304.64,1.13,1,noaf
-78.991,0.1651,389.1,369.0,1.31,1,noaf
-78.991,-0.1676,384.94,373.98,1.32,1,noaf
-78.991,0.1741,370.86,390.36,1.38,1,noaf
-78.991,-0.1766,419.56,331.16,1.2,1,noaf
-78.991,0.1831,406.12,348.11,1.24,1,noaf
-78.991,-0.1856,503.93,224.14,0.97,1,noaf
-78.991,0.1921,454.37,286.33,1.09,1,noaf
-78.991,-0.1946,610.92,117.09,0.78,1,noaf
-78.991,0.2011,542.03,180.78,0.89,1,noaf
-78.991,-0.2036,685.85,69.98,0.68,1,noaf
-78.991,0.2101,566.16,156.18,0.85,1,noaf
-78.991,-0.2126,416.17,335.47,1.21,1,noaf
-78.991,0.2191,302.8,456.59,1.74,1,noaf
-78.991,-0.2216,516.48,209.31,0.94,1,noaf
-78.991,0.2281,557.64,164.59,0.86,1,noaf
-78.991,-0.2306,233.87,497.81,2.34,1,noaf
-78.991,0.2371,510.49,216.33,0.96,1,noaf
-78.991,-0.2396,595.65,129.46,0.8,1,noaf
-78.991,0.246,505.86,221.84,0.97,1,noaf
-78.991,-0.2486,735.8,49.09,0.63,1,noaf
-78.991,0.255,447.69,294.96,1.11,1,noaf
-78.991,-0.2576,882.8,17.39,0.51,1,noaf
-78.991,0.264,388.32,369.94,1.31,1,noaf
-78.991,-0.2666,874.36,18.44,0.52,1,noaf
