lon,lat,vs30,z1pt0,z2pt5,vs30measured
-79,0.0032,800,31.0701,0.5722,1
-79,-0.0058,800,31.0701,0.5722,1
-79,0.0122,800,31.0701,0.5722,1
-79,-0.0148,800,31.0701,0.5722,1
-79,0.0212,800,31.0701,0.5722,1
-79,-0.0238,800,31.0701,0.5722,1
-79,0.0302,800,31.0701,0.5722,1
-79,-0.0328,800,31.0701,0.5722,1
-79,0.0392,800,31.0701,0.5722,1
-79,-0.0417,800,31.0701,0.5722,1
-79,0.0482,800,31.0701,0.5722,1
-79,-0.0507,800,31.0701,0.5722,1
-79,0.0572,800,31.0701,0.5722,1
-79,-0.0597,800,31.0701,0.5722,1
-79,0.0662,800,31.0701,0.5722,1
-79,-0.0687,800,31.0701,0.5722,1
-79,0.0752,800,31.0701,0.5722,1
-79,-0.0777,800,31.0701,0.5722,1
-79,0.0842,800,31.0701,0.5722,1
-79,-0.0867,800,31.0701,0.5722,1
-79,0.0932,800,31.0701,0.5722,1
-79,-0.0957,800,31.0701,0.5722,1
-79,0.1022,800,31.0701,0.5722,1
-79,-0.1047,800,31.0701,0.5722,1
-79,0.1111,800,31.0701,0.5722,1
-79,-0.1137,800,31.0701,0.5722,1
-79,0.1201,800,31.0701,0.5722,1
-79,-0.1227,800,31.0701,0.5722,1
-79,0.1291,800,31.0701,0.5722,1
-79,-0.1317,800,31.0701,0.5722,1
-79,0.1381,800,31.0701,0.5722,1
-79,-0.1407,800,31.0701,0.5722,1
-79,0.1471,800,31.0701,0.5722,1
-79,-0.1497,800,31.0701,0.5722,1
-79,0.1561,800,31.0701,0.5722,1
-79,-0.1587,800,31.0701,0.5722,1
-79,0.1651,800,31.0701,0.5722,1
-79,-0.1676,800,31.0701,0.5722,1
-79,0.1741,800,31.0701,0.5722,1
-79,-0.1766,800,31.0701,0.5722,1
-79,0.1831,800,31.0701,0.5722,1
-79,-0.1856,800,31.0701,0.5722,1
-79,0.1921,800,31.0701,0.5722,1
-79,-0.1946,800,31.0701,0.5722,1
-79,0.2011,800,31.0701,0.5722,1
-79,-0.2036,800,31.0701,0.5722,1
-79,0.2101,800,31.0701,0.5722,1
-79,-0.2126,800,31.0701,0.5722,1
-79,0.2191,800,31.0701,0.5722,1
-79,-0.2216,800,31.0701,0.5722,1
-79,0.2281,800,31.0701,0.5722,1
-79,-0.2306,800,31.0701,0.5722,1
-79,0.2371,800,31.0701,0.5722,1
-79,-0.2396,800,31.0701,0.5722,1
-79,0.246,800,31.0701,0.5722,1
-79,-0.2486,800,31.0701,0.5722,1
-79,0.255,800,31.0701,0.5722,1
-79,-0.2576,800,31.0701,0.5722,1
-79,0.264,800,31.0701,0.5722,1
-79,-0.2666,800,31.0701,0.5722,1
-79,0.273,800,31.0701,0.5722,1
-79,-0.2756,800,31.0701,0.5722,1
-79,0.282,800,31.0701,0.5722,1
-79,-0.2846,800,31.0701,0.5722,1
-79,0.291,800,31.0701,0.5722,1
-79,-0.2935,800,31.0701,0.5722,1
-79,0.3,800,31.0701,0.5722,1
-79,-0.3025,800,31.0701,0.5722,1
-79,-0.3115,800,31.0701,0.5722,1
-79,-0.3205,800,31.0701,0.5722,1
-79,-0.3295,800,31.0701,0.5722,1
-79,-0.3385,800,31.0701,0.5722,1
-79,-0.3475,800,31.0701,0.5722,1
-79,-0.3565,800,31.0701,0.5722,1
-79,-0.3655,800,31.0701,0.5722,1
-79,-0.3745,800,31.0701,0.5722,1
-79,-0.3835,800,31.0701,0.5722,1
-79,-0.3925,800,31.0701,0.5722,1
-79,-0.4015,800,31.0701,0.5722,1
-79,-0.4105,800,31.0701,0.5722,1
-79,-0.4195,800,31.0701,0.5722,1
-79,-0.4284,800,31.0701,0.5722,1
-79,-0.4374,800,31.0701,0.5722,1
-79,-0.4464,800,31.0701,0.5722,1
-79,-0.4554,800,31.0701,0.5722,1
-79,-0.4644,800,31.0701,0.5722,1
-79,-0.4734,800,31.0701,0.5722,1
-79,-0.4824,800,31.0701,0.5722,1
-79,-0.4914,800,31.0701,0.5722,1
