NM_PARR,ID_PARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,421.346959842,1497.6563855,792.51758456,438.59063495,1149.88847785,134.634658967,204.2296870884,311294128,16104.26330707,4099.121137969,39.867271614487734,3.131038580627907,497.8819618095696,39259.82712469862,9993.05489306114
LA LIBERTAD,2.0,2825.0,385733696,27497.7,524.21813066,1140.3160171,444.25097711,217.997253226,498.217555926,56.9515432801,64.6046345049,101645861,6491.07928776,1555.307711492,26.35130452744209,2.015983832923894,234.94559364928705,23605.898994315885,5656.137464195187
COTOCOLLAO,3.0,3838.0,715905633,30843.4,828.35849996,1599.83894617,592.19466104,276.671840944,540.936105461,63.3072893074,81.2738251998,183577725,7086.84818703,1626.077910784,25.642726676733112,1.649486433230849,263.50475369057887,22976.870860637933,5272.044945706375
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,230.442711846,722.18126759,464.71218092,287.45142078,938.2124416,108.848992489,87.709973822,685848954,6499.2694336,1766.41097143,47.37191434199305,4.118387911048051,643.4359668561787,47678.3144452188,12958.30225162308
LA MAGDALENA,5.0,3647.0,781109400,28352.0,391.695601588,1322.0642618499999,669.68787065,361.14489065,902.40732416,105.262551358,127.3209623539,289919720,10275.03352211,2567.775344046,37.116403962051905,2.886277799780641,449.07224306539223,36240.94780653922,9056.76969542184
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,268.354038745,1032.78294124,670.4852012,418.33257563,1394.04515601,164.270659506,225.6104720908,525429027,19299.56067746,5251.81041258,47.736141468605275,4.341190790327695,552.6593588635734,47276.54142783304,12864.92665252421
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,1199.7872929,3215.28247942,1492.55141686,771.183927189,1735.195010458,206.5111088061,250.5095613362,451476015,20520.44383021,4958.565869025,33.03920749599008,2.45437495609817,390.8898237336745,32019.666750214546,7737.241357880694
SOLANDA,8.0,9002.0,1277371113,78250.0,1000.2599970699999,3479.68450611,1719.84407981,894.64162438,1907.56972463,222.690631613,342.0276402764,437982708,26335.54580064,6346.894677803,34.2878199736179,2.473790620006665,437.09602591233227,33655.649585482424,8111.047511569329
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,664.2770559,1878.9468215,800.64687765,394.8466812,809.2824662099999,98.853419492,111.6918110097,290141316,8812.09756164,2071.3652083,28.661972460683582,2.173558036323659,348.40107743898636,27487.63993723953,6461.224541149902
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,824.52431201,2151.704376,1004.01771666,534.21569144,1354.53784801,156.23939683,199.7600235186,343038984,15962.52238895,3969.631176406,34.36141285374782,2.662112742034418,432.92543982497466,34594.41936493729,8603.094316458575
SAN ISIDRO,11.0,4473.0,980491758,41692.8,531.622976808,1548.72739284,795.93197577,440.66436371,1156.053322,134.053971349,200.9062675297,397570417,15977.14457106,4048.45285589,40.54806312275242,2.996958894455622,481.8728114439423,38321.111969116966,9710.196618816677
JIPI JAPA,12.0,3757.0,1218171533,32794.0,294.755761483,1193.6036114,710.23015091,414.60646859999997,1143.80408618,137.999489472,216.904915474,543384092,15324.69398145,4031.67138426,44.606533399633875,3.673129876816609,661.4164648228334,46730.17619518814,12293.929939196196
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,877.859638191,2501.3742824,1157.09996902,606.32355238,1498.34260052,173.810475855,244.694922417,363807591,20998.23404662,5169.294614682,33.77643975071899,2.617233486748983,374.43809771246777,32132.006394225544,7910.179839115286
PONCEANO,14.0,5960.0,1623701668,54338.6,968.29917721,2267.7543926,1020.28983599,525.63436875,1178.02227195,138.797836938,220.7015123351,537938389,17535.7141325,4251.460747972,33.13037117498692,2.328822767416107,406.15973237275165,32271.19236141528,7824.015981221452
