#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T16:51:15', checksum=3489589595, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,5.42134E+01,3.36441E+01,9.49200E+00,4.11104E+00,7.53948E+00,7.65970E-01,7.02725E-03,1.53107E+00,5.05202E-04,3.84005E+02,1.26709E-01,9.09418E+01,3.00079E-02,4.53954E+06,1.08560E-01
structural,NAYON,4.74692E+02,1.23984E+03,5.33745E+02,2.68445E+02,6.14276E+02,7.22561E+01,2.30776E-02,7.81400E+01,3.18529E-03,6.75625E+03,2.75411E-01,1.60716E+03,6.55142E-02,2.36289E+08,2.99328E-01
structural,LLOA,1.16216E+02,5.05560E+01,1.23097E+01,5.26150E+00,9.65638E+00,9.73033E-01,5.01564E-03,4.66669E-01,5.86932E-04,7.58074E+01,9.53432E-02,1.68734E+01,2.12217E-02,1.08668E+06,1.18806E-01
structural,QUITUMBE,2.14029E+03,4.39981E+03,1.83735E+03,9.24463E+02,2.05009E+03,2.37939E+02,2.09601E-02,2.99869E+02,3.74992E-03,2.40020E+04,3.00149E-01,5.77104E+03,7.21679E-02,5.71885E+08,3.16619E-01
structural,LA ECUATORIANA,3.12381E+03,4.12146E+03,1.37045E+03,6.22693E+02,1.17459E+03,1.36845E+02,1.31417E-02,1.36324E+02,2.22807E-03,1.22055E+04,1.99486E-01,2.76816E+03,4.52428E-02,2.47282E+08,2.25356E-01
structural,ALANGASI,5.96042E+02,1.29429E+03,5.44208E+02,2.72129E+02,6.14332E+02,7.15472E+01,2.15439E-02,5.89895E+01,2.78032E-03,5.59165E+03,2.63548E-01,1.33187E+03,6.27744E-02,2.51558E+08,2.92484E-01
structural,PINTAG,5.59897E+02,2.99387E+02,8.34642E+01,3.66563E+01,6.85953E+01,7.26146E+00,6.92887E-03,6.62926E+00,6.75814E-04,9.29542E+02,9.47613E-02,2.03568E+02,2.07526E-02,1.40126E+07,1.15053E-01
structural,LA MERCED,5.45713E+02,5.45640E+02,1.79789E+02,8.48228E+01,1.85036E+02,2.02369E+01,1.31323E-02,1.09487E+01,1.43543E-03,1.34893E+03,1.76851E-01,3.16996E+02,4.15596E-02,4.64663E+07,1.96957E-01
structural,GUANGOPOLO,4.28037E+00,1.08158E+01,5.22976E+00,2.84801E+00,7.82601E+00,8.91040E-01,2.87432E-02,7.57465E+00,3.82810E-03,6.59854E+02,3.33478E-01,1.63046E+02,8.24006E-02,1.35651E+06,3.57631E-01
structural,CUMBAYA,7.45194E+02,2.23088E+03,1.02532E+03,5.25733E+02,1.19387E+03,1.42881E+02,2.49749E-02,1.18944E+02,3.63374E-03,1.00985E+04,3.08509E-01,2.43360E+03,7.43465E-02,5.78752E+08,3.20462E-01
structural,TUMBACO,1.58600E+03,2.70766E+03,1.03390E+03,5.05208E+02,1.14124E+03,1.30102E+02,1.86553E-02,1.18979E+02,2.13487E-03,1.23113E+04,2.20905E-01,2.90304E+03,5.20902E-02,4.39231E+08,2.50837E-01
structural,CONOCOTO,1.99643E+03,5.08379E+03,2.31783E+03,1.21995E+03,3.07500E+03,3.59462E+02,2.62515E-02,3.26559E+02,3.88658E-03,2.73073E+04,3.25001E-01,6.76301E+03,8.04908E-02,1.05085E+09,3.42083E-01
structural,PIFO,5.49492E+02,4.92307E+02,1.40422E+02,6.06552E+01,1.10124E+02,1.18902E+01,8.78804E-03,1.21206E+01,7.21463E-04,2.61202E+03,1.55477E-01,6.06569E+02,3.61053E-02,5.90524E+07,1.76256E-01
structural,NANEGALITO,6.71503E+01,1.69021E+01,2.49524E+00,7.60268E-01,6.92140E-01,5.86945E-02,6.66983E-04,6.30197E-02,4.50913E-05,1.41454E+01,1.01212E-02,2.29286E+00,1.64057E-03,3.60930E+05,2.89936E-02
structural,NANEGAL,6.55484E+01,1.37980E+01,2.25685E+00,7.05457E-01,6.91293E-01,6.40208E-02,7.71335E-04,1.17089E-01,1.04395E-04,2.82680E+01,2.52033E-02,5.30289E+00,4.72797E-03,3.78621E+05,3.39218E-02
structural,NONO,4.67084E+01,3.38714E+01,1.13337E+01,5.19052E+00,9.89600E+00,9.76588E-01,9.12699E-03,3.88086E-01,2.87216E-04,1.52242E+02,1.12672E-01,3.48632E+01,2.58016E-02,3.08217E+06,1.24727E-01
