NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,7849.745886561,19544.89869232,8673.539469227,4431.112761957,10068.7032163779,1174.04685281882,1571.573195270242,2552412494,130111.884892315,31509.3039485721,32.0799831111557,2.321718978047026,366.5305863913618,30345.37978224106,7348.7659930900245
LA DELICIA,2.0,44628.0,7771897362,337268.6,11174.416936,17730.23450678,6428.4370246743,3044.8830363509,6250.02873766259,728.426555446034,891.0394973063896,1979544960,76920.1018811846,18031.89447789286,25.470549442230165,1.632218686578009,264.19284134555954,22806.778301088394,5346.449233012757
AEROPUERTO,3.0,6227.0,1307419419,69220.1,2609.72131505,2210.47688338,632.048078,273.7299070675,501.0237801401,54.48693874151,59.898251217312,208337009,9134.3046199268,2048.52654878933,15.934978914087793,0.875011060567047,86.53303190447862,13196.029216841349,2959.438875109007
CENTRO,4.0,24490.0,4881306790,219732.8,2886.210454309,8491.46745822,4273.99753498,2366.61034502,6471.713969327,758.9618399162,942.7988511834,1952267627,79145.7094951,20297.867603998,39.99477416643818,3.099068354088199,429.0660525799517,36019.06929466152,9237.52284774872
CHILLOS,5.0,23482.0,4951012813,147034.4,4368.03256557,8561.97556485,3725.9086825474,1939.5980718741,4886.48496332547,564.032916315741,489.9091798039639,1594406724,43725.0284399222,10824.27269761784,32.203647713564116,2.401979883807772,333.19357905630517,29737.95821924815,7361.728070178026
NORCENTRAL,6.0,1561.0,172740642,8643.2,1161.2725377,319.113260362,48.340807822274996,15.4446107961007,16.82878996024706,1.750728283131535,0.757263655128777,6200691,181.657223090901,33.93632630126455,3.589595936557123,0.112154278227517,8.761380682256306,2101.735735501909,392.6361336225535
NORTE,7.0,47022.0,14695707103,391841.8,6754.754859199,17034.92545759,8095.21085085,4333.916989424,10803.19179982,1274.3353453455,1692.82185539193,5479822859,130569.62127508,32901.206059565004,37.28859605323297,2.710083249001531,432.01665962945503,33322.02467298793,8396.553420172377
QUITUMBE,8.0,51627.0,6343312878,319111.3,12679.94931526,20005.72993188,7501.89028239,3636.394866605,7803.035877054,898.3995904582,926.4860587792,1759277722,79536.676153408,18794.3417183078,27.73436775879662,1.74017392151045,290.3332031110149,24924.431116481304,5889.588277916765
TUMBACO,9.0,12695.0,3557048499,88464.3,2331.18680593,4938.54374358,2059.22306727,1030.941596779,2335.104838172,272.9833440402,237.92307176068,1017983113,22409.809996025,5336.6461323822,28.61875831949874,2.150321733282395,268.9481200446734,25332.037891019314,6032.542090292017
NOROCCIDENTE,10.0,633.0,48090042,4494.6,538.0765136,78.235773837,10.9080293776298,3.12107465018642,2.658603518184173,0.234939245956846,0.226141480729722,1074162,55.53280745970626,9.65085314836662,2.233646780575244,0.037115204732519,5.031403923146032,1235.5450420439252,214.7210685793312
CALDERON,11.0,23947.0,3772812761,158465.7,5108.60612585,8709.68187366,3647.627788847,1878.73772011,4602.3464040339995,527.3359383822,557.74601025961,1183047156,47537.116225673,11662.3829899876,31.35716586804068,2.202096038677913,351.96639415318896,29998.363195109727,7359.56297797416
