barrio,id_barrio,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ciudadela Floralia,610.0,6839.0,322746305,38325.0,4066.7202856,2020.2434438,444.24766104,149.616506761,158.17208607,17.628307162,11.0532667099,20998750,1768.50467486,322.71831859,6.506271207531446,0.257761473344056,28.84087856464449,4614.493606940639,842.0569304370516
Brisas de Los Alamos,219.0,1821.0,191934730,13842.0,1181.1461274,492.35885693,91.42323497,28.559909986,27.51183825,2.8832742608,2.69170754208,9375061,438.43473771,73.327895854,4.884504950838903,0.158334665612301,19.445943809276116,3167.4233326831386,529.7492837306748
Menga,216.0,161.0,169122686,835.0,137.8027808,20.08314292,2.184288163,0.53625414,0.3935331253,0.04378047326,0.0195362353,2161978,3.642626499,0.49870362,1.278349092660863,0.027192840534161,2.339668898203593,436.24269449101797,59.72498443113772
Paso del Comercio,603.0,1636.0,77065478,9292.0,978.0599212,471.7120024,108.79246596,37.32562146,40.10996824,4.351425165,2.8467698009,5353076,460.92485805,83.92329744999999,6.946139799700761,0.265979533312958,30.636782187903574,4960.448321674559,903.1779751399052
Los Guaduales,608.0,1850.0,121062905,10487.0,1129.544993,546.18919235,106.92611452,33.985504338,33.354194191,3.7347985793,2.6276833216,6757917,392.99722758,69.02171402,5.582153313196052,0.201881004286487,25.05657787355774,3747.4704641937637,658.1645277009632
Área en Desarrollo - Parque del Amor,298.0,133.0,301609965,6696.0,108.7224786,19.542823966,3.135043183,0.8848239168,0.7148280627,0.07013853072,0.17589201927,3633757,37.27764343,6.009222774,1.204786698804292,0.052735737383459,2.626822271057348,556.7151049880525,89.7434703405018
Urbanización La Flora,295.0,1694.0,461938463,9165.0,1189.8592709,402.62837046000004,64.418304676,19.223692374,17.870353135,1.91404809834,1.18873098948,16685722,185.84046925,31.409540157,3.612109159535281,0.112989852322314,12.97033267299509,2027.7192498636118,342.7118402291326
Altos de Menga,296.0,683.0,25390842,6092.0,628.8672492,46.41204567,5.399366114,1.346577969,0.9747680953,0.09872516007,0.07591213381,221281,21.748894339,3.2608749178,0.871501059606821,0.014454635442167,1.24609543351937,357.0074579612606,53.52716542678923
Urbanización Calimio,697.0,1152.0,65763429,8300.0,688.9114454,341.6837428,72.70139822,24.02376737,24.67963906,2.654578926,2.6651636228,4087741,377.54700114999997,66.90250288,6.215826617863375,0.2304321984375,32.110405093975906,4548.75905,806.0542515662651
San Luis II,696.0,1738.0,127723318,11400.0,1005.8619513,534.0818139,117.47093907,39.407183842,41.17809621,4.606973928,3.71958400876,8566932,549.05741731,99.24019633,6.707414078579113,0.265073298504028,32.62792990140351,4816.293134298246,870.5280379824562
Sector Puente del Comercio,698.0,892.0,73022208,8184.0,565.6769623,242.7545232,50.62289605,16.45435613,16.49126295,1.779469921,2.31611464728,4366188,327.739002,56.59859921,5.979259992551087,0.199492143609865,28.30052110557185,4004.631011730206,691.5762366813295
Los Alcazares,604.0,201.0,86219821,10406.0,104.7078794,67.85595670000001,17.12092984,5.785289337,5.529946135,0.6898248079,5.06357957,6666044,590.178403,101.4341811,7.731451596524725,0.343196421840796,48.66019190851432,5671.520305592928,974.7662992504324
Ciudad de Los Alamos,217.0,1782.0,211380472,14132.0,1178.0851665999999,470.38290123999997,83.76461634,25.664431255,24.102864112,2.5317178908,2.8650062929,9928889,424.81376174,70.810935748,4.697164940239657,0.142071711043771,20.273183504811776,3006.0413369657517,501.06804237192193
La Flora,212.0,1419.0,406997277,4503.0,1157.0438715,217.737728862,29.182951696,8.1054397529,6.9299972465,0.76957034681,0.24122903001,8334106,43.084629861,6.9478976337,2.04770561400504,0.054233287301621,5.357073728847435,956.7983535642906,154.29486195203197
Calima,421.0,923.0,102033555,4871.0,626.546317,220.11672851,45.65949297,15.055526548,15.621932641,1.7104599241,1.03536399036,5341729,174.83470502,31.188333579000002,5.235267398081827,0.185315268049838,21.255676254567852,3589.297988503387,640.286051714227
El Bosque,215.0,762.0,209940178,3277.0,675.7565148,75.18725105,7.779488125,1.8998938279,1.37683820558,0.149979213203,0.056027521459,2420714,11.266676132,1.6414902552,1.153049476828378,0.019682311443963,1.709719910253281,343.8106845285322,50.09124977723527
Fonaviemcali,695.0,374.0,29277908,2355.0,225.0870172,112.93345620000001,22.12754548,7.015783034,6.83621233,0.754003265,0.62076466936,1712842,91.48567670999999,15.96762751,5.850287507925584,0.201605151069519,26.359433943099788,3884.7421108280255,678.0308921443736
Metropolitano del Norte,506.0,693.0,107157630,7737.0,430.24807419999996,198.78313658000002,39.24124197,12.479646594,12.247918118,1.3697811738,2.19776412065,6013394,303.95823286,51.76000226,5.611727098994908,0.197659621038961,28.405895316660203,3928.631677135841,668.9931790099522
La Campiña,213.0,307.0,84559278,2262.0,255.2199015,43.43372897,5.662767723,1.5031512156,1.1804523125,0.12784418555,0.07767340197,1301712,15.57119132,2.407780876,1.539407814533384,0.04164305718241,3.433837399204244,688.3815791335102,106.44477789566754
Vipasa,294.0,1969.0,333880553,7830.0,1487.7350949,365.37398492,69.575231836,22.634641792,23.68104694,2.5367675355,1.0192201209,13112145,195.37955302,35.061721779,3.927196439618011,0.128835324301676,13.016859781609197,2495.2688763729248,447.7869959003832
San Luis,601.0,1724.0,143730989,11749.0,1021.9955473,508.5027678,112.89571022,38.567880034,42.03814831,4.694505395,3.66890706302,9687924,567.34495028,104.598990464,6.740316604281742,0.272303097157773,31.227398612818114,4828.878630351519,890.279942667461
Flora Industrial,420.0,479.0,343252420,1438.0,322.1439548,120.533187,22.30934309,7.041824496,6.97169385,0.786492604,0.25180101778,16595995,43.677752569999996,7.633055394,4.834924273340714,0.164194698121086,17.510501931849795,3037.395867176634,530.8105280945758
Villa del Sol,595.0,116.0,73987203,4365.0,71.3845626,33.9862034,6.78830598,2.074496234,1.76643048,0.198474511,1.116038818,3905242,147.2990557,23.7461118,5.278266755707282,0.17109871637931,25.567899610538372,3374.5488132875143,544.0117250859106
Urbanización La Merced,293.0,1186.0,139758053,4403.0,769.7184993,324.5518392,57.08046326,17.665505805000002,16.983735981,1.8550062536,0.85118593789,6506529,130.35038448,22.844767847,4.655566196366754,0.156408621720067,19.331954074267543,2960.490222121281,518.8455109470815
La Paz,214.0,116.0,25035357,472.0,95.6283501,17.02453609,2.269261598,0.603766531,0.474087252,0.0513658267,0.02228838764,496455,4.49000608,0.698480746,1.98301639945259,0.044280885086207,4.722116025423729,951.2724745762711,147.9832088983051
