#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T21:58:13', checksum=3900597170"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,2.14796E+03,1.13325E+02,1.72359E+01,6.74735E+00,7.34783E-01,4.30831E-01,1.33738E+02,1.40377E+01,1.22230E+07,structural
1,1.06555E+03,1.71145E+01,1.36987E+00,3.00773E-01,3.23377E-02,2.57228E-02,1.17021E+01,8.99023E-01,6.96708E+06,structural
2,1.51087E+03,4.15120E+01,4.50153E+00,1.27673E+00,1.37736E-01,1.05653E-01,3.83528E+01,3.35775E+00,9.71737E+06,structural
3,1.10125E+03,2.58734E+01,2.57941E+00,6.84876E-01,7.48240E-02,4.97142E-02,1.94962E+01,1.62385E+00,8.28192E+06,structural
4,1.36849E+03,3.23372E+01,3.11878E+00,7.87443E-01,8.39782E-02,5.94978E-02,2.42624E+01,1.97228E+00,8.72081E+06,structural
5,1.41233E+03,4.12928E+01,4.68051E+00,1.36666E+00,1.49174E-01,1.33845E-01,4.66118E+01,4.00865E+00,1.26709E+07,structural
6,9.14865E+02,1.67353E+01,1.45569E+00,3.40398E-01,3.75103E-02,2.76792E-02,1.14134E+01,8.80385E-01,8.78340E+06,structural
7,8.66547E+02,2.13383E+01,2.41345E+00,6.87640E-01,7.72266E-02,9.81440E-02,3.08491E+01,2.71988E+00,6.02756E+06,structural
8,1.49897E+03,6.73520E+01,1.03868E+01,4.14164E+00,4.35777E-01,2.75556E-01,8.27897E+01,8.92014E+00,6.96930E+06,structural
9,6.61564E+02,7.86201E+00,5.41612E-01,1.04963E-01,1.15006E-02,1.10749E-02,5.31656E+00,3.71881E-01,6.48629E+06,structural
10,1.68361E+03,6.97423E+01,9.43673E+00,3.28920E+00,3.55405E-01,1.96884E-01,6.47004E+01,6.29886E+00,1.21089E+07,structural
11,1.35733E+03,3.39220E+01,3.40313E+00,8.99795E-01,9.71831E-02,9.40585E-02,3.74316E+01,2.99222E+00,1.18594E+07,structural
12,1.30245E+03,2.74259E+01,2.62028E+00,6.66620E-01,7.19946E-02,5.56063E-02,2.14371E+01,1.82007E+00,7.75377E+06,structural
13,8.87695E+02,1.60373E+01,1.40822E+00,3.27892E-01,3.65222E-02,4.63138E-02,1.60001E+01,1.24838E+00,6.23446E+06,structural
14,1.11641E+03,2.76422E+01,2.89059E+00,8.02218E-01,8.70863E-02,6.11719E-02,2.34094E+01,2.06220E+00,8.38225E+06,structural
15,1.20435E+03,2.30940E+01,2.12877E+00,5.34290E-01,5.83689E-02,4.08989E-02,1.61831E+01,1.34892E+00,7.15710E+06,structural
16,1.03652E+03,1.98191E+01,1.82758E+00,4.58012E-01,4.96028E-02,3.99751E-02,1.65034E+01,1.36377E+00,7.52076E+06,structural
17,6.44791E+02,1.01479E+01,8.15524E-01,1.79797E-01,1.93297E-02,1.24088E-02,5.89304E+00,4.36069E-01,5.35010E+06,structural
18,1.20302E+03,3.66275E+01,4.27295E+00,1.28287E+00,1.37990E-01,1.16348E-01,4.03276E+01,3.55372E+00,1.00797E+07,structural
19,2.15083E+03,8.90318E+01,1.32285E+01,5.28925E+00,5.39715E-01,3.29678E-01,1.14206E+02,1.24513E+01,1.13872E+07,structural
20,9.58544E+02,1.53865E+01,1.19646E+00,2.52593E-01,2.77248E-02,2.23733E-02,1.04206E+01,7.59483E-01,7.79792E+06,structural
21,1.44109E+03,3.23023E+01,3.22516E+00,8.68346E-01,9.35420E-02,5.14028E-02,2.06787E+01,1.74408E+00,1.05685E+07,structural
22,2.28026E+03,7.89734E+01,9.51283E+00,3.00082E+00,3.19780E-01,1.82260E-01,6.74054E+01,6.16461E+00,1.32792E+07,structural
23,1.01734E+03,2.78160E+01,3.01239E+00,8.54181E-01,9.16142E-02,6.39389E-02,2.42080E+01,2.09456E+00,6.90045E+06,structural
24,1.77391E+03,4.31349E+01,4.29963E+00,1.13792E+00,1.25152E-01,8.90945E-02,3.42495E+01,2.94464E+00,1.18181E+07,structural
25,2.11476E+03,1.15535E+02,1.91269E+01,8.20272E+00,8.62942E-01,5.41732E-01,1.59729E+02,1.80590E+01,1.11308E+07,structural
26,8.24091E+02,1.43510E+01,1.22021E+00,2.69275E-01,2.94369E-02,3.29160E-02,1.35998E+01,1.03295E+00,6.66773E+06,structural
27,1.52826E+03,4.53859E+01,5.16871E+00,1.50719E+00,1.64540E-01,1.61065E-01,5.32430E+01,4.62992E+00,1.19446E+07,structural
28,2.05851E+03,7.45846E+01,9.36253E+00,3.07767E+00,3.18751E-01,1.57324E-01,6.06187E+01,5.87859E+00,9.51468E+06,structural
29,1.17629E+03,2.83063E+01,2.97386E+00,8.46500E-01,9.33594E-02,6.55458E-02,2.27736E+01,1.98370E+00,9.67945E+06,structural
30,1.17083E+03,3.22551E+01,3.57015E+00,1.03126E+00,1.14671E-01,8.68430E-02,2.86751E+01,2.58681E+00,8.34205E+06,structural
31,1.63374E+03,5.95692E+01,7.62206E+00,2.54358E+00,2.72986E-01,1.80670E-01,5.92851E+01,5.66471E+00,9.04644E+06,structural
32,1.28467E+03,2.70483E+01,2.43761E+00,5.82187E-01,6.31995E-02,6.24402E-02,2.55636E+01,1.94029E+00,9.85442E+06,structural
33,1.47604E+03,4.45294E+01,5.43475E+00,1.76986E+00,1.92941E-01,1.13862E-01,3.90863E+01,3.55547E+00,1.37012E+07,structural
34,1.60818E+03,3.47041E+01,3.36780E+00,9.01424E-01,9.94633E-02,6.66675E-02,2.55819E+01,2.15687E+00,1.23435E+07,structural
35,1.28783E+03,3.46231E+01,3.91344E+00,1.16882E+00,1.29062E-01,9.75019E-02,3.34380E+01,3.00205E+00,7.53718E+06,structural
36,1.75768E+03,6.44140E+01,8.38335E+00,2.86432E+00,3.01008E-01,1.41925E-01,5.22565E+01,4.99615E+00,1.11357E+07,structural
37,1.94951E+03,1.28847E+02,2.21658E+01,9.61203E+00,1.03153E+00,6.02478E-01,1.70653E+02,1.91447E+01,1.31924E+07,structural
38,2.27383E+03,1.43695E+02,2.57867E+01,1.19141E+01,1.24574E+00,7.17632E-01,2.22342E+02,2.62804E+01,1.37697E+07,structural
39,1.68284E+03,4.95302E+01,5.84783E+00,1.83874E+00,1.95904E-01,9.45790E-02,3.39475E+01,3.11632E+00,1.35576E+07,structural
40,1.32779E+03,2.69989E+01,2.46878E+00,6.07503E-01,6.53619E-02,4.84655E-02,1.99614E+01,1.62952E+00,7.96599E+06,structural
41,1.24371E+03,2.97383E+01,2.95112E+00,7.74279E-01,8.52108E-02,6.61118E-02,2.52745E+01,2.03339E+00,1.16608E+07,structural
42,1.13308E+03,3.62784E+01,4.40490E+00,1.40008E+00,1.46623E-01,8.28427E-02,3.06217E+01,2.83228E+00,7.72459E+06,structural
43,8.62266E+02,2.03774E+01,2.23054E+00,6.56061E-01,7.23496E-02,5.23032E-02,1.90135E+01,1.67463E+00,6.53998E+06,structural
44,1.65953E+03,6.02942E+01,7.65989E+00,2.54349E+00,2.68366E-01,1.62314E-01,5.63042E+01,5.34847E+00,9.37589E+06,structural
45,2.09225E+03,6.18491E+01,6.73270E+00,1.91730E+00,2.08099E-01,1.29871E-01,4.90651E+01,4.32275E+00,1.04909E+07,structural
46,2.29371E+03,1.21763E+02,1.94639E+01,8.00707E+00,8.28292E-01,4.47168E-01,1.47335E+02,1.62512E+01,1.00578E+07,structural
47,2.12619E+03,7.61295E+01,9.31700E+00,2.97692E+00,3.18525E-01,2.35097E-01,8.16410E+01,7.53555E+00,1.38101E+07,structural
48,2.09115E+03,8.37254E+01,1.14801E+01,4.13392E+00,4.30634E-01,2.45979E-01,8.72616E+01,8.87576E+00,9.49860E+06,structural
49,1.39839E+03,2.60129E+01,2.30382E+00,5.51456E-01,6.02291E-02,5.08880E-02,2.02762E+01,1.58593E+00,9.53688E+06,structural
50,1.28827E+03,3.06313E+01,3.08142E+00,8.25022E-01,8.93906E-02,1.06755E-01,3.91866E+01,3.08759E+00,1.27956E+07,structural
51,7.32290E+02,1.19652E+01,9.95653E-01,2.25717E-01,2.49743E-02,1.61747E-02,7.12908E+00,5.45833E-01,6.09295E+06,structural
52,1.36840E+03,3.26441E+01,3.33736E+00,9.12765E-01,9.60957E-02,7.43993E-02,2.98588E+01,2.53275E+00,8.49543E+06,structural
53,1.28644E+03,2.67993E+01,2.46099E+00,5.81907E-01,6.28843E-02,7.07313E-02,2.73277E+01,2.10180E+00,8.55626E+06,structural
54,1.35731E+03,4.32755E+01,5.04797E+00,1.49574E+00,1.63202E-01,1.52141E-01,5.07097E+01,4.49844E+00,8.97682E+06,structural
55,1.78472E+03,4.47687E+01,4.72692E+00,1.33763E+00,1.45390E-01,1.38097E-01,4.71043E+01,4.17665E+00,1.14369E+07,structural
56,1.42604E+03,3.47695E+01,3.73301E+00,1.08322E+00,1.19365E-01,9.10694E-02,3.20525E+01,2.85226E+00,1.38551E+07,structural
57,1.46419E+03,2.90930E+01,2.63111E+00,6.43120E-01,6.97017E-02,4.49836E-02,1.93369E+01,1.53570E+00,1.19142E+07,structural
58,1.78121E+03,4.33760E+01,4.30928E+00,1.13508E+00,1.22506E-01,7.85278E-02,3.12355E+01,2.59654E+00,1.21622E+07,structural
59,9.88852E+02,2.35432E+01,2.25198E+00,5.43072E-01,6.09946E-02,9.84707E-02,3.41499E+01,2.38560E+00,1.37530E+07,structural
60,1.10264E+03,2.14195E+01,1.93641E+00,4.62125E-01,5.10178E-02,4.03112E-02,1.59863E+01,1.27747E+00,8.95965E+06,structural
61,1.46750E+03,4.10273E+01,4.47143E+00,1.28713E+00,1.40210E-01,1.07313E-01,3.87062E+01,3.42923E+00,7.55392E+06,structural
62,5.97768E+02,1.13761E+01,1.00094E+00,2.30685E-01,2.55879E-02,4.31326E-02,1.55370E+01,1.10900E+00,7.47440E+06,structural
63,1.02716E+03,1.91179E+01,1.63097E+00,3.74299E-01,4.09878E-02,3.26675E-02,1.37583E+01,1.03322E+00,7.37749E+06,structural
64,1.30531E+03,3.62694E+01,4.07138E+00,1.20796E+00,1.31280E-01,1.07705E-01,3.79598E+01,3.40785E+00,7.95785E+06,structural
65,7.64500E+02,1.39593E+01,1.26986E+00,3.00850E-01,3.28084E-02,4.61887E-02,1.66736E+01,1.32590E+00,6.44601E+06,structural
66,2.14363E+03,6.82474E+01,7.82314E+00,2.33626E+00,2.49232E-01,1.75492E-01,6.49120E+01,5.94319E+00,1.50407E+07,structural
67,1.74156E+03,6.87361E+01,9.61562E+00,3.55096E+00,3.71060E-01,1.55764E-01,5.67649E+01,5.76011E+00,8.94766E+06,structural
68,1.62953E+03,4.59793E+01,5.48515E+00,1.82474E+00,1.97710E-01,1.21397E-01,4.20911E+01,4.04535E+00,9.30544E+06,structural
69,1.75056E+03,5.55115E+01,6.63815E+00,2.09628E+00,2.31023E-01,1.65615E-01,5.54991E+01,5.17036E+00,1.31976E+07,structural
70,1.55916E+03,4.28312E+01,4.77379E+00,1.46715E+00,1.55819E-01,1.13174E-01,4.22554E+01,3.73523E+00,1.10507E+07,structural
71,1.15640E+03,2.69294E+01,2.65681E+00,6.95881E-01,7.35959E-02,4.69798E-02,1.94933E+01,1.64188E+00,7.87752E+06,structural
72,1.37158E+03,2.94140E+01,2.79484E+00,7.14348E-01,7.54727E-02,5.46779E-02,2.24916E+01,1.80482E+00,9.43335E+06,structural
73,7.61458E+02,1.22758E+01,9.85247E-01,2.14189E-01,2.30790E-02,2.74580E-02,1.16490E+01,7.90316E-01,8.21576E+06,structural
74,1.92086E+03,5.43412E+01,5.75273E+00,1.59405E+00,1.73255E-01,1.26927E-01,4.81970E+01,4.20577E+00,1.11781E+07,structural
75,1.25831E+03,2.75693E+01,2.73585E+00,7.34795E-01,8.01563E-02,6.05532E-02,2.30175E+01,1.95669E+00,9.05997E+06,structural
76,1.70165E+03,4.94649E+01,5.43564E+00,1.56944E+00,1.73492E-01,1.20039E-01,4.32845E+01,3.71009E+00,1.72962E+07,structural
77,1.43908E+03,3.82266E+01,4.03633E+00,1.10878E+00,1.18595E-01,7.37078E-02,2.87354E+01,2.40762E+00,9.57445E+06,structural
78,1.81024E+03,5.08336E+01,5.51093E+00,1.57796E+00,1.67462E-01,1.10476E-01,4.22672E+01,3.71806E+00,1.05886E+07,structural
79,1.08849E+03,2.48941E+01,2.52595E+00,6.90184E-01,7.44098E-02,4.79759E-02,1.85494E+01,1.60697E+00,6.01527E+06,structural
80,1.47431E+03,4.14420E+01,4.36810E+00,1.20019E+00,1.29954E-01,9.41877E-02,3.71115E+01,3.14485E+00,1.16128E+07,structural
81,1.33639E+03,3.89981E+01,4.40963E+00,1.31847E+00,1.42042E-01,1.08197E-01,3.88558E+01,3.48912E+00,1.07931E+07,structural
82,1.35769E+03,3.37971E+01,3.44656E+00,9.28962E-01,1.00366E-01,7.25164E-02,2.79643E+01,2.37894E+00,8.77158E+06,structural
83,1.67049E+03,5.04367E+01,5.60054E+00,1.61865E+00,1.71734E-01,1.12600E-01,4.25321E+01,3.74975E+00,1.05557E+07,structural
84,1.14233E+03,2.54092E+01,2.52604E+00,6.76921E-01,7.31189E-02,5.02902E-02,1.96635E+01,1.68846E+00,7.77967E+06,structural
85,1.85685E+03,5.90343E+01,7.61411E+00,2.66207E+00,2.96649E-01,1.87853E-01,5.69138E+01,5.52772E+00,1.04745E+07,structural
86,1.83564E+03,5.12776E+01,5.52253E+00,1.57616E+00,1.71509E-01,1.26304E-01,4.61781E+01,4.04052E+00,1.56428E+07,structural
87,1.48292E+03,3.79156E+01,3.94227E+00,1.08481E+00,1.16426E-01,7.79352E-02,2.99879E+01,2.55179E+00,9.90801E+06,structural
88,1.38045E+03,5.39102E+01,7.70526E+00,2.96500E+00,3.02592E-01,1.89138E-01,6.81793E+01,7.28826E+00,1.30756E+07,structural
89,1.75330E+03,4.63402E+01,4.79370E+00,1.30062E+00,1.41621E-01,9.10130E-02,3.50183E+01,3.00825E+00,1.48827E+07,structural
90,1.15371E+03,2.45701E+01,2.25123E+00,5.36642E-01,5.81697E-02,7.34628E-02,2.69122E+01,2.00370E+00,1.23916E+07,structural
91,1.20968E+03,3.24397E+01,3.29527E+00,8.55995E-01,9.24884E-02,1.19714E-01,4.24602E+01,3.15679E+00,8.75876E+06,structural
