barrio,id_barrio,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ciudadela Floralia,610.0,6839.0,322746305,38325.0,6786.514348,50.555484322,1.65645666186,0.205606790747,0.06810852489,0.0076826312943,0.00509250360275,151259,1.61864561735,0.156195440887,0.046866205329207,0.000112335594302,0.013287680633399,4.223471930463144,0.407554966437052
Brisas de Los Alamos,219.0,1821.0,191934730,13842.0,1811.2268442,9.4608378234,0.27042126059,0.031765797404,0.010127985436,0.0010612477068,0.00071883951236,61220,0.26255700343,0.021726216318,0.031896278080098,5.8278292521e-05,0.005193176653374,1.89681406899292,0.156958649891634
Menga,216.0,161.0,169122686,835.0,160.9228988,0.07641883202,0.0006305754922,4.279508865e-05,8.512491811e-06,9.784795e-07,3.66644306e-07,4319,0.00017188372731,1.085964879e-05,0.002553704744571,6.07751242e-07,4.3909497735e-05,0.020584877522156,0.001300556741317
Paso del Comercio,603.0,1636.0,77065478,9292.0,1623.1312245,12.388222818,0.41159384956,0.05159905395,0.017371492202,0.0019055589354,0.00135103942934,39580,0.43426215721,0.041795161788,0.051358578653325,0.000116476707543,0.014539813057899,4.673505781424882,0.449797264184245
Los Guaduales,608.0,1850.0,121062905,10487.0,1838.1306583,11.465876482,0.3469276007,0.042507988411,0.014065772446,0.0015835097039,0.00102300266875,45925,0.31288219503,0.029327152057,0.037934697040488,8.559511913e-05,0.009754960129208,2.983524316105655,0.279652446428912
Área en Desarrollo - Parque del Amor,298.0,133.0,301609965,6696.0,132.7556893,0.241156752006,0.002896328487,0.00021529718366,4.5137396142e-05,4.577637514e-06,7.937861515e-06,11813,0.003747406425,0.0002707325274,0.003916760266911,3.441832717e-06,0.000118546318928,0.055964851030466,0.004043197840502
Urbanización La Flora,295.0,1694.0,461938463,9165.0,1686.941341,6.88081527458,0.155422820129,0.0172183462695,0.00519702701994,0.000563272244538,0.000292390428815,100770,0.097295613506,0.0082541882057,0.021814617742046,3.3251017977e-05,0.003190293822313,1.061599710921986,0.090062064437534
Altos de Menga,296.0,683.0,25390842,6092.0,682.9329268,0.06637168479,0.0006466818027,4.2139722394e-05,7.962523838e-06,8.35209254e-07,1.066950164e-06,194,0.0006048869763,4.576953087e-05,0.000763994447904,1.22285396e-07,1.7513955412e-05,0.009929201843401,0.000751305496881
Urbanización Calimio,697.0,1152.0,65763429,8300.0,1143.7040159,7.99332277,0.26025748904,0.031936381772,0.010471226454,0.0011297442564,0.00101712176471,29016,0.31737282973,0.027921087836,0.044121352345401,9.8068077812e-05,0.012254479092892,3.823769032891566,0.336398648626506
San Luis II,696.0,1738.0,127723318,11400.0,1724.3727337,13.128957163,0.42796157769,0.052900902172,0.017455234458,0.0019682821321,0.00163153104016,61614,0.49504081069,0.04663094019,0.048239826788074,0.000113249834988,0.014311675790877,4.342463251666667,0.409043335
