#,,,,,,,"generated_by='OpenQuake engine 3.14.0-gitac4adff13b', start_date='2022-04-14T11:28:22', checksum=3625500031, risk_investigation_time=1.0, num_events=58764, effective_time=50000.0, limit_states='slight moderate extensive complete'"
return_period,loss_type,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,losses_value,losses_ratio
1,structural,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
2,structural,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
5,structural,3.44577E-02,9.88148E-08,2.06519E-02,1.00981E-08,4.47134E+06,7.64845E-05
10,structural,2.10329E+00,6.03162E-06,1.12514E+00,5.50161E-07,5.42670E+07,9.28266E-04
20,structural,2.30822E+01,6.61932E-05,1.19169E+01,5.82702E-06,2.51801E+08,4.30719E-03
50,structural,1.58267E+02,4.53863E-04,8.15544E+01,3.98776E-05,9.31953E+08,1.59415E-02
100,structural,4.05736E+02,1.16353E-03,2.14045E+02,1.04661E-04,1.88962E+09,3.23229E-02
200,structural,8.23258E+02,2.36087E-03,4.35987E+02,2.13185E-04,2.99745E+09,5.12729E-02
500,structural,1.50673E+03,4.32087E-03,8.11271E+02,3.96687E-04,5.08254E+09,8.69394E-02
1000,structural,2.15093E+03,6.16825E-03,1.19691E+03,5.85254E-04,6.47544E+09,1.10766E-01
2000,structural,3.08115E+03,8.83585E-03,1.68842E+03,8.25585E-04,8.41134E+09,1.43880E-01
5000,structural,3.77474E+03,1.08249E-02,2.12276E+03,1.03797E-03,1.04192E+10,1.78225E-01
10000,structural,4.72352E+03,1.35457E-02,2.56382E+03,1.25363E-03,1.15328E+10,1.97275E-01
20000,structural,5.36694E+03,1.53908E-02,2.80625E+03,1.37217E-03,1.22008E+10,2.08700E-01
50000,structural,5.53936E+03,1.58853E-02,3.33298E+03,1.62973E-03,1.33619E+10,2.28563E-01
