barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Santa Mónica,210.0,1116.0,717657799,3105.0,0.060821065811,0.014108327728,869259,0.121124401881642,0.005449916291308,0.454374483993559,0.0,0.0
San Vicente,209.0,1512.0,1241925985,2982.0,0.155261811213,0.02138746792,2095612,0.168738902971497,0.010268638307738,0.717218910798122,0.0,0.0
Los Andes,502.0,1085.0,104347940,9236.0,0.06464516189,0.062435941213,156872,0.150335785427792,0.005958079436866,0.676006292908185,0.0,0.0
Ignacio Rengifo,411.0,369.0,52874103,2163.0,0.02487611383,0.016565345409,93538,0.176906502247001,0.006741494262873,0.765850458113731,0.0,0.0
El Sena,501.0,1482.0,486420896,8354.0,0.08836122247,0.053366914862,741349,0.152409047338971,0.005962295713225,0.638818707948288,0.0,0.0
Popular,410.0,191.0,35402395,754.0,0.00911309273,0.003198343363,50050,0.141375842342552,0.00477125273822,0.424183469893899,0.0,0.0
Bolivariano,417.0,393.0,106835407,1415.0,0.02018990741,0.006763411251,149758,0.140175915953219,0.005137381020356,0.477979593710247,0.0,0.0
Los Andes B - La Riviera,597.0,941.0,100678359,6138.0,0.05911182401,0.044127565373,156640,0.155584232676789,0.006281809140276,0.718924167041382,0.0,0.0
Manzanares,405.0,322.0,156377624,1830.0,0.01715444242,0.007417266403,201232,0.128683616230282,0.005327466590062,0.405315103989071,0.0,0.0
Unidad Residencial Bueno Madrid,419.0,68.0,18044454,773.0,0.00299910701,0.004400278677,24456,0.135530928959814,0.004410451485294,0.569246918111255,0.0,0.0
Salomia,406.0,993.0,168109933,6728.0,0.05208507008,0.035606072862,243966,0.145122960619361,0.005245223573011,0.529222248246136,0.0,0.0
Sultana - Berlín - San Francisco,408.0,273.0,53075929,1541.0,0.01519377967,0.009435960705,76083,0.143347816247121,0.005565487058608,0.612327106099935,0.0,0.0
Alfonso Lopez I,701.0,2287.0,179079504,12403.0,0.06813439978,0.0324250565781,181608,0.10141199754777,0.002979204188019,0.261429142772716,0.0,0.0
Sector Patio Bonito,196.0,659.0,22795216,4811.0,0.018039344323,0.0094347030733,17342,0.076076631631668,0.002737381536115,0.196106902375805,0.0,0.0
Santander,402.0,766.0,293934998,1374.0,0.04187309037,0.006857081418,394251,0.134128576431002,0.005466460883812,0.499059782969432,0.0,0.0
Fepicol,798.0,702.0,135954740,4460.0,0.0208720244,0.014278453868,156225,0.11490934714488,0.002973222849003,0.320144705560538,0.0,0.0
Fátima,407.0,138.0,15618114,636.0,0.00862053572,0.004040596567,24711,0.158221078477083,0.006246765014493,0.635313925628931,0.0,0.0
