barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Eduardo Santos,1203.0,558.0,34149146,3378.0,0.02838065213,0.017248122668,48230,0.14123382451746,0.005086138374552,0.510601618354056,0.0,0.0
San Benito,1121.0,433.0,24422987,3312.0,0.02663084127,0.022015078611,38612,0.158097091848772,0.006150309762125,0.664706479800725,0.0,0.0
Promociones Populares B,1498.0,4674.0,120413766,24238.0,0.12069875694,0.045939281249,111551,0.09263988406526,0.00258234396534,0.189534125129961,0.0,0.0
Ciudadela del Rio - CVC,2197.0,1808.0,51670193,11296.0,0.03503078648,0.022187340031,46662,0.090308187926099,0.0019375435,0.196417670246105,0.0,0.0
Doce de Octubre,1209.0,660.0,60156606,4063.0,0.02887833936,0.019259521564,81403,0.135319201385389,0.004375505963636,0.474022189613586,0.0,0.0
Desepaz Invicali,2106.0,2539.0,74589636,13463.0,0.0677738572,0.030805213528,74275,0.099578604926482,0.00266931300512,0.228813886414618,0.0,0.0
Belén,2005.0,852.0,43109543,5162.0,0.019045978966,0.0078516913708,29142,0.067600554511668,0.00223544354061,0.152105605788454,0.0,0.0
El Jardín,1106.0,1821.0,187705629,11746.0,0.10224552587,0.068496670552,274062,0.146006196205183,0.005614800981329,0.583148906453261,0.0,0.0
Julio Rincón,1208.0,175.0,32638338,1921.0,0.00681271418,0.007860881571,40573,0.124310453730122,0.003892979531429,0.409207786100989,0.0,0.0
Rodrigo Lara Bonilla,1312.0,680.0,33557216,3454.0,0.01974259228,0.0081108277245,33912,0.101055939683274,0.002903322394118,0.234824195845397,0.0,0.0
Yira Castro,1390.0,362.0,23612932,2029.0,0.00861234281,0.005116258448,21603,0.091487600069625,0.002379100223757,0.252156650961065,0.0,0.0
Los Comuneros II,1305.0,1860.0,120331416,9790.0,0.05900004943,0.0296378472094,135320,0.112456003531315,0.00317204566828,0.302735926551583,0.0,0.0
La Fortaleza,1107.0,968.0,85061240,7268.0,0.05570573137,0.044400648865,127539,0.149938115871662,0.005754724315083,0.610906010800771,0.0,0.0
Eucaristico,1905.0,669.0,323332323,2265.0,0.039107642515,0.012879196004,387024,0.119698602311972,0.005845686474589,0.568617925121413,0.0,0.0
Cristóbal Colón,1009.0,2117.0,285169435,11128.0,0.10313026622,0.053479370816,391179,0.13717421751995,0.004871528871989,0.480583849892164,0.0,0.0
León XIII,1116.0,538.0,36304877,3581.0,0.03116339146,0.0229052658275,55318,0.152371419019109,0.005792451944238,0.639633226123988,0.0,0.0
Los Conquistadores,1119.0,493.0,29832443,3305.0,0.02292010185,0.015664407572,40149,0.134581694042343,0.004649107880325,0.473960894765507,0.0,0.0
Omar Torrijos,1307.0,800.0,50244476,3884.0,0.02184749645,0.0095114535246,51159,0.101819171081764,0.00273093705625,0.244888092806385,0.0,0.0
